 	m	w	é	s	é	ó	l	ó	n	d	z	i	s	i	e	k	o	o	y	á	o	t	ω	m	b	í	l	i	m	á	t	s	i	m	b	a	</S>
le	0.0288263	0.0488849	0.0523939	0.0124633	0.00923682	0.00750494	0.0130525	0.0175879	0.0457879	0.0577781	0.0863733	0.0668229	0.0945264	0.0683437	0.0400936	0.0189293	0.0154381	0.0132267	0.0175487	0.010345	0.0131132	0.0123597	0.0107934	0.00998863	0.0152283	0.0113961	0.0110184	0.0130719	0.0130052	0.0132137	0.0144547	0.014054	0.0162622	0.0187827	0.0238819	0.0346715	0.0295403
soleil	0.0600575	0.0284848	0.0480292	0.170741	0.174371	0.213312	0.118257	0.0451152	0.0367038	0.00853268	0.00557466	0.0036421	0.00323232	0.00337662	0.00466948	0.00403994	0.00265293	0.000783464	0.00164576	0.00108029	0.000732601	0.00097335	0.00200906	0.000839943	0.00202645	0.00106759	0.00121776	0.00517822	0.00513091	0.00459386	0.00950017	0.00611018	0.012306	0.00740277	0.00483277	0.00102546	0.000749993
a	0.0521394	0.018352	0.0395483	0.0599502	0.0547281	0.0312744	0.0316539	0.0215445	0.0222632	0.0200854	0.0156854	0.0189404	0.00910482	0.0148304	0.017812	0.0108811	0.0174168	0.0245032	0.0306324	0.0304359	0.0229964	0.0196096	0.0240954	0.0219663	0.0257892	0.0190261	0.0251261	0.0360034	0.0410118	0.0466077	0.039433	0.0288546	0.0419791	0.0230901	0.0155782	0.0155652	0.0114857
fait	0.0161714	0.0135196	0.0115533	0.0146406	0.0351629	0.0289851	0.0176963	0.0256872	0.0371346	0.0400085	0.0369671	0.0246145	0.0205446	0.0313164	0.0508571	0.0366684	0.0501844	0.032217	0.0265046	0.0254876	0.0266161	0.0336597	0.0329439	0.032756	0.0266894	0.0380046	0.0222304	0.0187238	0.0167238	0.0167588	0.0180075	0.0242528	0.0217043	0.0170266	0.0228608	0.0193299	0.0357905
éclater	0.0432177	0.0149769	0.0103914	0.00826336	0.0124068	0.0103455	0.00981392	0.0103033	0.0148358	0.0196222	0.0178074	0.0208974	0.0158502	0.0326414	0.0367581	0.0304556	0.0380508	0.0202504	0.0209037	0.0185613	0.0298704	0.0270069	0.0515984	0.0374476	0.0376702	0.0377223	0.0368993	0.0281895	0.0301739	0.0277791	0.0304308	0.0346378	0.0326331	0.0353951	0.0329856	0.0299625	0.0532446
le	0.0117284	0.0155036	0.0061824	0.00488647	0.00533886	0.00679198	0.0113659	0.0115006	0.0217822	0.0269032	0.028729	0.0262229	0.0285143	0.0324465	0.030787	0.0281455	0.0400672	0.0273699	0.0290057	0.026815	0.0349437	0.0272803	0.0333736	0.0379483	0.0285144	0.0426269	0.0311891	0.0315346	0.0268808	0.0238216	0.0262461	0.0339827	0.0356868	0.0384733	0.0443748	0.0373348	0.0457018
pneu	0.00749976	0.0134481	0.005588	0.00451085	0.00526458	0.00487174	0.00598841	0.00501003	0.00714392	0.00605734	0.00539365	0.00599873	0.00651782	0.00843971	0.0112793	0.0122836	0.0161567	0.0127802	0.0186181	0.0205631	0.0295881	0.0392562	0.0447123	0.0331445	0.0641412	0.0570398	0.0675397	0.0616422	0.0634521	0.0610054	0.0570578	0.0498633	0.0441556	0.0349056	0.0362611	0.0328692	0.0399518
du	0.0160536	0.0223834	0.0102437	0.0118294	0.0123016	0.0101374	0.0139431	0.0148055	0.0277649	0.0358541	0.0395866	0.0351919	0.0162757	0.0318145	0.0371965	0.0293313	0.0602978	0.0370967	0.0361304	0.0344424	0.0489219	0.0386454	0.0304341	0.0253308	0.0260958	0.0368569	0.0350703	0.0265168	0.022635	0.0231155	0.0200075	0.0246151	0.0142787	0.0122269	0.0150038	0.0141728	0.0533916
véhicule	0.0401402	0.0344315	0.0220177	0.013071	0.00759328	0.00406105	0.00293301	0.00199725	0.00340452	0.00428247	0.00406663	0.00691112	0.018746	0.0283042	0.0343498	0.050884	0.0492889	0.0347552	0.0540288	0.0493642	0.0466566	0.0548314	0.043609	0.0385041	0.0332847	0.0375014	0.0485427	0.0262671	0.0311226	0.0229081	0.0189968	0.0247494	0.0118937	0.00581603	0.0169254	0.0222084	0.051552
de	0.0247536	0.0222277	0.0180864	0.0124939	0.0105517	0.0100874	0.0089773	0.00659067	0.00784681	0.0105835	0.014168	0.0200634	0.0233588	0.037583	0.0424731	0.0425443	0.0660742	0.0324477	0.0359591	0.0319308	0.0285176	0.0245571	0.0273781	0.0218698	0.0230361	0.0244734	0.0258607	0.0142673	0.022545	0.0190307	0.0249013	0.0405735	0.0153839	0.00796218	0.027353	0.0362035	0.137285
tsimba	0.0588471	0.0566121	0.0414851	0.0207315	0.0141373	0.0108155	0.00493681	0.00438909	0.00764552	0.0123537	0.0104804	0.00728974	0.00966661	0.0125045	0.0156172	0.0187768	0.0297106	0.0156927	0.0217917	0.0310776	0.024703	0.029614	0.0272583	0.034573	0.0230914	0.0295013	0.0339366	0.0189015	0.0221383	0.0183193	0.0174223	0.0327557	0.0299572	0.0257527	0.0462165	0.0633527	0.117945
</S>	0.0346115	0.0255982	0.0234138	0.0189664	0.00886188	0.00787924	0.00322885	0.00347929	0.0065036	0.0105245	0.00961795	0.00843766	0.0139348	0.0194791	0.0211884	0.0282784	0.0362625	0.0261649	0.0374066	0.0420756	0.0354912	0.0386852	0.0470196	0.0619638	0.0510731	0.0428599	0.0442235	0.0208195	0.0292714	0.0191896	0.0153384	0.0191457	0.0183675	0.0130746	0.0240747	0.0441793	0.08931
