 	m	á	a	m	á	p	y	é	b	h	i	m	á	m	á	n	g	a	m	á	m	í	á	m	έ	ε	m	á	n	ω	</S>
cette	0.014196	0.0216505	0.0180936	0.0120296	0.0136642	0.0147685	0.0152121	0.025524	0.0437991	0.0581178	0.0591539	0.0615495	0.0315902	0.029053	0.0250758	0.0311798	0.0240611	0.0243817	0.040705	0.0538932	0.0455279	0.0501514	0.0497342	0.0441095	0.0369064	0.0288813	0.0209973	0.0217762	0.0230501	0.0279547	0.0332128
eau	0.0153417	0.0474521	0.0812123	0.170435	0.180663	0.236334	0.0862854	0.0454144	0.0355445	0.0118704	0.00836939	0.0043684	0.00511035	0.00355002	0.00930087	0.00306067	0.00160372	0.00237133	0.00269586	0.00394051	0.00166324	0.00374353	0.00418184	0.00793332	0.00685276	0.00926057	0.0058487	0.00275496	0.00136785	0.000852459	0.000617382
froide	0.0826328	0.0307054	0.0161997	0.020086	0.02014	0.0180295	0.019943	0.0242565	0.0239562	0.0168173	0.014644	0.0105212	0.0248179	0.0144963	0.0175003	0.0236802	0.0363362	0.0511183	0.0351689	0.0472506	0.101148	0.0664316	0.0379178	0.0351857	0.0390334	0.0448767	0.039748	0.0295886	0.0262912	0.0182607	0.0132181
est	0.0274106	0.0233754	0.0270604	0.0553652	0.0544045	0.059	0.0612321	0.030493	0.0189729	0.0219295	0.0253099	0.0268868	0.0324365	0.025622	0.020086	0.0212819	0.0199683	0.0243722	0.0262282	0.0193362	0.0180375	0.0182973	0.0182116	0.0170474	0.0186914	0.028482	0.0263861	0.0406124	0.0476651	0.065834	0.0799638
à	0.0419789	0.0282389	0.0250231	0.0340041	0.0356558	0.0433448	0.0317066	0.0312292	0.0250226	0.0164239	0.0187652	0.0189586	0.0217345	0.0138936	0.0183742	0.0215633	0.0139063	0.0134997	0.0223966	0.0239748	0.025086	0.0397165	0.0498856	0.0550845	0.0566275	0.0546778	0.0586957	0.0493429	0.037973	0.0273445	0.0458714
moi	0.0421933	0.022624	0.0121627	0.0132039	0.0157712	0.0208833	0.0174905	0.0250608	0.0213109	0.0204788	0.0272937	0.0328219	0.0329387	0.0339964	0.0374961	0.0259075	0.0211923	0.0261092	0.0219398	0.02583	0.0397657	0.0354106	0.0275557	0.0213342	0.0239737	0.0367514	0.0449975	0.0495802	0.0655721	0.0668189	0.0915349
et	0.0342243	0.0230971	0.0174833	0.0183374	0.0181834	0.0169323	0.0156589	0.0148073	0.0112207	0.0130252	0.0181274	0.0262975	0.0319723	0.0314888	0.0375732	0.0478937	0.0348416	0.0446224	0.0455699	0.047161	0.0434123	0.046884	0.0428371	0.0396179	0.0287479	0.0326008	0.0260332	0.026104	0.0248158	0.0440188	0.0964104
la	0.0381871	0.0253988	0.0156657	0.0163815	0.0199645	0.0192443	0.0166491	0.0171909	0.00901315	0.0134179	0.0165813	0.0224833	0.0176857	0.0180921	0.0318082	0.0409364	0.0650929	0.0472134	0.0511092	0.0402616	0.0362729	0.0416908	0.0386626	0.0276531	0.0265219	0.0230849	0.0243731	0.0320584	0.0420147	0.0581258	0.107165
chaude	0.101376	0.123722	0.0981438	0.0675952	0.0627712	0.0426069	0.0126427	0.00914885	0.00713042	0.00576906	0.00636808	0.00775488	0.00431013	0.00380365	0.00573952	0.00543996	0.00729415	0.0133951	0.0164201	0.0131533	0.015085	0.0205384	0.00952762	0.0152077	0.0253346	0.0215703	0.0215364	0.0327865	0.0489643	0.081469	0.0933949
est	0.134992	0.049995	0.0301189	0.0218416	0.0171604	0.014936	0.00780996	0.00490351	0.00315168	0.00432664	0.00700163	0.00959594	0.00840565	0.00786197	0.00861152	0.0106902	0.0103979	0.017713	0.0314182	0.0244578	0.0348291	0.0320334	0.0357863	0.0306878	0.0434511	0.0446238	0.0455554	0.0650422	0.0574899	0.0770878	0.108024
à	0.099179	0.0340038	0.0207038	0.0102846	0.00826623	0.00677624	0.00628998	0.00742873	0.00536819	0.0064051	0.00688985	0.00845328	0.00932619	0.0100457	0.0117009	0.0289965	0.0409494	0.0462398	0.0597519	0.0590714	0.0682425	0.0560681	0.0577328	0.0456414	0.0338531	0.0244477	0.025753	0.0338795	0.0318156	0.0483165	0.0881192
toi	0.0981225	0.0432755	0.0320097	0.020532	0.0172361	0.0111971	0.0046738	0.00341811	0.0027299	0.00380307	0.00423635	0.00510608	0.00579379	0.00672299	0.0117409	0.0169456	0.0105711	0.015483	0.0273842	0.0261783	0.0303458	0.0390149	0.0353778	0.0287758	0.0331799	0.0392271	0.0473728	0.0693021	0.0677027	0.0900125	0.152529
</S>	0.0694537	0.0336544	0.0289532	0.0217571	0.0185593	0.0128066	0.00600405	0.00658595	0.00553301	0.00712657	0.0071933	0.00860585	0.00624029	0.00682307	0.0102436	0.0213609	0.0288199	0.034956	0.0321526	0.0329863	0.0267185	0.0309327	0.0274198	0.0323219	0.0364384	0.0449822	0.0543906	0.0719825	0.0791061	0.091839	0.104053
