 	a	m	b	ω	r	i	á	l	e	s	i	i	o	t	ω	m	b	í	l	i	m	ó	k	o	n	d	z	i	</S>
les	0.105691	0.0193552	0.0356635	0.017573	0.0475072	0.079172	0.0753278	0.051551	0.0446094	0.046446	0.051038	0.0536154	0.0832313	0.0592045	0.0326526	0.0205089	0.0120958	0.0164405	0.0222222	0.0134608	0.0130461	0.0164748	0.0129828	0.0105245	0.0100782	0.0106971	0.0126654	0.0136304	0.0125343
militaires	0.0143606	0.0204452	0.0177012	0.0456733	0.0295535	0.0313648	0.0302691	0.0570222	0.0582253	0.0882406	0.0900298	0.0493855	0.0675658	0.0820245	0.0663047	0.0214693	0.0452299	0.0195257	0.034508	0.0205212	0.0170885	0.0230537	0.019762	0.0181346	0.00666127	0.00813959	0.00553713	0.00628784	0.00591528
ont	0.0253772	0.0537109	0.0241533	0.0212498	0.0221686	0.0266979	0.0239515	0.0326058	0.0308958	0.0352674	0.0380011	0.0383151	0.0272631	0.0413841	0.0442586	0.0415554	0.0640833	0.0354772	0.042961	0.0365292	0.037118	0.0367966	0.0430901	0.0343291	0.0371006	0.0241286	0.0212279	0.0299972	0.0303059
laissé	0.0106833	0.0230618	0.0372234	0.0578421	0.0674317	0.0493849	0.0401942	0.0509425	0.0420565	0.0460586	0.0642129	0.0465337	0.0256622	0.0194424	0.0152071	0.0231543	0.0256318	0.0241782	0.0200944	0.0214454	0.0491253	0.0321667	0.0352082	0.0366024	0.0394765	0.024232	0.0233778	0.0225799	0.02679
passer	0.0218555	0.0247532	0.0238063	0.024692	0.0256998	0.0244561	0.0252881	0.026394	0.0271228	0.0296726	0.0450089	0.043838	0.039095	0.040001	0.0290182	0.0308192	0.0210205	0.0235305	0.0284459	0.0263016	0.0594279	0.0424252	0.040804	0.0348204	0.0479925	0.0384329	0.043045	0.0419817	0.0702515
la	0.0200462	0.024877	0.0249595	0.0268327	0.0272695	0.0275617	0.0286648	0.0344788	0.0494445	0.0583824	0.0698164	0.0556954	0.0525435	0.0442661	0.0333936	0.0285367	0.0259772	0.0197135	0.020001	0.0205309	0.025452	0.0190154	0.0208811	0.02334	0.0364971	0.0298721	0.0502362	0.0419709	0.0597437
voiture	0.0422548	0.0344043	0.028419	0.0270231	0.0315576	0.0307905	0.0306213	0.0332247	0.031569	0.036901	0.0305275	0.0369353	0.0305212	0.0197864	0.0201302	0.011911	0.0113972	0.020575	0.0224563	0.0240187	0.0306427	0.0335342	0.0415901	0.0446689	0.0471079	0.0490188	0.0451015	0.0578591	0.0954526
du	0.0242296	0.0198291	0.0167312	0.015797	0.01628	0.0151914	0.0175145	0.0258255	0.026593	0.0234288	0.0157479	0.0160318	0.0223384	0.0206134	0.0211154	0.0244279	0.0201253	0.0237484	0.0320579	0.028209	0.0377664	0.0424425	0.0568798	0.0651814	0.0696871	0.0797163	0.0670214	0.071991	0.0834788
chef	0.0591663	0.0504151	0.0482584	0.0717974	0.0632508	0.0423667	0.034663	0.0352746	0.0189299	0.00926969	0.0120302	0.00609618	0.0120047	0.00614505	0.015712	0.00809922	0.00484086	0.0291008	0.0149436	0.0442375	0.0584168	0.0376006	0.0278326	0.0370953	0.0257664	0.0771423	0.0425823	0.0384215	0.0685402
</S>	0.0379327	0.0300759	0.0268583	0.025627	0.0219326	0.0145941	0.0145964	0.0107264	0.00480592	0.00235379	0.00256331	0.00295758	0.00616807	0.00734247	0.0120774	0.0246323	0.0390038	0.0293009	0.0375112	0.0430941	0.034369	0.0426791	0.0422627	0.0601399	0.0552444	0.0761048	0.0809691	0.0917525	0.122324
