 	a	l	ω	i	m	á	á	n	y	w	á	á	w	a	á	b	h	i	m	á	a	y	í	á	w	á	o	t	s	a	</S>
le	0.0299969	0.0131709	0.00449448	0.0177808	0.0186775	0.0280496	0.03712	0.0462833	0.0409551	0.0257196	0.0321696	0.0343937	0.0257974	0.0380176	0.0381379	0.0322857	0.064992	0.0687154	0.0225703	0.0346743	0.0286246	0.0588298	0.0438766	0.0263754	0.0229467	0.0273969	0.0552362	0.028999	0.0254679	0.0136481	0.0145965
vin	0.0342224	0.0481351	0.157169	0.225845	0.18294	0.103816	0.026577	0.0225268	0.0163637	0.00963108	0.00823719	0.00475466	0.00780123	0.00579405	0.00277043	0.00413664	0.00806841	0.0128286	0.00883104	0.0102373	0.0121238	0.0173264	0.0202095	0.0164177	0.0101305	0.00948747	0.00401254	0.00332058	0.00312052	0.00154529	0.0016201
qu'	0.0203668	0.0169847	0.0237268	0.0188349	0.0413391	0.0350506	0.0436158	0.0357144	0.0290234	0.0304909	0.0304788	0.0483895	0.0297504	0.0310691	0.0292736	0.0415142	0.0223544	0.0192856	0.0195371	0.0376321	0.0391674	0.0417951	0.0553277	0.0446005	0.0426287	0.0348336	0.0234295	0.0334887	0.0340982	0.0282719	0.0179263
il	0.0243992	0.0283372	0.0258186	0.0427233	0.027397	0.0548739	0.0421408	0.0336733	0.0238639	0.0272291	0.0334432	0.031495	0.0235273	0.02833	0.029276	0.0469012	0.0414434	0.043854	0.0356723	0.0234465	0.018654	0.0346273	0.0295681	0.0540854	0.0267278	0.030016	0.013431	0.0129972	0.0201967	0.0210383	0.0708133
prend	0.00681348	0.00934944	0.00933864	0.0196059	0.0340749	0.0432102	0.0408449	0.0593573	0.103823	0.0840864	0.0449975	0.0391495	0.0175657	0.029443	0.0233854	0.022887	0.0191537	0.00716613	0.0301904	0.0598939	0.0314487	0.0335419	0.0256107	0.0309862	0.0232894	0.0206328	0.0218514	0.0205095	0.0173858	0.0221389	0.048269
commence	0.0125203	0.0195018	0.0249997	0.0356417	0.0477004	0.0464596	0.0346849	0.0266717	0.0353277	0.0241976	0.0177956	0.0212869	0.0208767	0.0179368	0.0126663	0.0125715	0.0114468	0.0111312	0.0163662	0.0409992	0.0256798	0.0305726	0.0224022	0.027745	0.0335764	0.0479021	0.0531375	0.0447786	0.0527158	0.0622579	0.108449
à	0.0378637	0.034662	0.0318879	0.0301899	0.0354847	0.0407264	0.0296367	0.0363876	0.0545488	0.0399146	0.0257172	0.0230715	0.0158576	0.0156206	0.0128259	0.0110759	0.0105234	0.00722789	0.0220183	0.0345941	0.0270618	0.0277071	0.0209168	0.0207384	0.0223347	0.0282152	0.0348502	0.0300912	0.0371833	0.0754702	0.125596
l'	0.0401979	0.0458132	0.0424643	0.048816	0.0559031	0.0407141	0.0253987	0.0269879	0.0488045	0.029786	0.0194857	0.0214028	0.0191236	0.0143397	0.0096853	0.010325	0.00600415	0.00640817	0.0107151	0.0223168	0.00906955	0.0197728	0.0194241	0.0214268	0.0241459	0.0614549	0.0505484	0.0414258	0.0555293	0.052641	0.0998692
étourdir	0.0803744	0.0774632	0.0755482	0.0670375	0.0496242	0.0276971	0.0143391	0.0125556	0.0159711	0.00981526	0.012348	0.00843336	0.0115304	0.00854449	0.0103998	0.0129618	0.00651	0.00442968	0.0163541	0.013238	0.0035706	0.0139103	0.0108022	0.00542575	0.0200441	0.0181688	0.0416509	0.0444425	0.0631399	0.0372625	0.206407
</S>	0.0457982	0.044545	0.045834	0.040084	0.0318841	0.0220793	0.0183857	0.0185082	0.019943	0.0195232	0.0221042	0.0243457	0.0194368	0.0218745	0.0185015	0.0223713	0.00909194	0.0101905	0.0236686	0.0281659	0.0107087	0.034507	0.0276397	0.0133775	0.0192833	0.0357465	0.037058	0.0319117	0.0558859	0.0597931	0.167753
