 	w	á	á	n	g	á	i	t	ó	n	í	o	l	á	m	b	a	o	f	ú	ú	s	u	l	a	n	g	á	n	d	a	</S>
si	0.0557599	0.089148	0.0691343	0.0746414	0.0359275	0.0378544	0.043256	0.0358887	0.0578303	0.0498837	0.0472838	0.0229317	0.0295559	0.0269244	0.0192002	0.0280697	0.023759	0.028682	0.0263846	0.026094	0.0235212	0.0173496	0.0133265	0.00910562	0.00844893	0.0110813	0.0169683	0.0144277	0.0194644	0.0148404	0.0141659	0.00909073
je	0.147074	0.0936808	0.0375241	0.0400114	0.0521444	0.0330467	0.0340028	0.049457	0.0287612	0.0372815	0.0311683	0.0255053	0.0311097	0.0417052	0.0234246	0.0467521	0.0305236	0.02002	0.0371041	0.0245107	0.0361946	0.029675	0.0131122	0.00669242	0.0061517	0.00656505	0.00250008	0.00512407	0.0037671	0.00555992	0.00924573	0.0106044
refuse	0.00555664	0.0194922	0.0125286	0.0228041	0.0134679	0.00940179	0.0151637	0.0210114	0.025342	0.028923	0.0297006	0.0351601	0.0528068	0.059326	0.0528218	0.0850032	0.0430326	0.0475894	0.0449421	0.0626605	0.058608	0.0511966	0.0261526	0.0179957	0.0236385	0.011746	0.0183239	0.0156658	0.0181372	0.0207002	0.0279003	0.023201
de	0.0289565	0.0250024	0.0125422	0.0273875	0.0189319	0.0110068	0.0105666	0.0191492	0.016716	0.0285413	0.0217844	0.0391417	0.0328488	0.0304042	0.0397371	0.0476415	0.0935506	0.0941541	0.0643866	0.0453941	0.0544089	0.0476293	0.0434835	0.0227186	0.022043	0.0139204	0.00892431	0.00936887	0.00894715	0.00906304	0.0104962	0.0411536
préparer	0.0181407	0.0131983	0.0182336	0.0343957	0.0379771	0.0443039	0.0407113	0.04443	0.02444	0.0180414	0.0160246	0.0119284	0.0132541	0.0161206	0.0218794	0.0328181	0.024051	0.0375662	0.0395936	0.0484394	0.0581678	0.0558301	0.0454904	0.0363293	0.0255456	0.0303541	0.0219188	0.0277921	0.026017	0.025138	0.0361936	0.0556758
qui	0.00561528	0.0100696	0.00869283	0.0119057	0.0102207	0.00887423	0.0166894	0.0155901	0.0177315	0.0158519	0.0113249	0.00860422	0.0096003	0.00886811	0.0100118	0.0119147	0.00903745	0.0199327	0.0258582	0.0634837	0.0948238	0.0963062	0.0709611	0.0508028	0.0255618	0.0422028	0.0290993	0.042025	0.0397509	0.044516	0.0524733	0.1116
boudera	0.0143926	0.0123958	0.0132167	0.0171106	0.0154765	0.0130997	0.0164199	0.0167746	0.0166085	0.0154649	0.0135267	0.00932269	0.010292	0.00814141	0.0101042	0.0166662	0.0123429	0.0273647	0.0327577	0.0479645	0.06909	0.080878	0.0735325	0.0589629	0.0218248	0.0577241	0.025241	0.0449557	0.0464471	0.039924	0.0545438	0.0874332
contre	0.00858595	0.00415023	0.00820706	0.0108756	0.011176	0.00623081	0.0123177	0.0132261	0.0236114	0.0272436	0.0245401	0.0196464	0.0258277	0.0171297	0.0268039	0.0204999	0.0209916	0.0381609	0.0340149	0.032757	0.044948	0.0425599	0.0439412	0.0416192	0.0449869	0.0429333	0.0544261	0.049981	0.0390454	0.066517	0.0513073	0.0917383
moi	0.0142154	0.0219817	0.0295363	0.0336199	0.0258715	0.0113759	0.0212153	0.0153851	0.0251019	0.0281493	0.0134819	0.0165418	0.0193805	0.0234257	0.0411435	0.0351081	0.0506804	0.0670562	0.0408325	0.0311138	0.0522497	0.0525943	0.0491708	0.0339734	0.0268881	0.0278612	0.0242798	0.0333242	0.0221054	0.0288364	0.0247985	0.0587015
</S>	0.0252601	0.0280812	0.0253593	0.0253159	0.0156071	0.0105533	0.00860012	0.0126937	0.0107711	0.0160757	0.0175523	0.0199929	0.0185465	0.0160074	0.0154785	0.0193732	0.0197144	0.0213057	0.0251136	0.023313	0.0245226	0.0224078	0.0198209	0.0254638	0.0196563	0.0349104	0.0475793	0.04259	0.0785168	0.0856481	0.103395	0.120774
