 	n	g	á	l	í	i	d	i	n	g	á	a	t	ω	r	ω	i	p	é	n	d	í	a	k	ω	</S>
j'	0.113761	0.249009	0.232617	0.142229	0.0444577	0.0179334	0.0197182	0.0125986	0.00296241	0.00494308	0.00464136	0.00356618	0.00473188	0.00698414	0.00970894	0.0123873	0.0123403	0.0143498	0.0221151	0.0201825	0.0150083	0.0151567	0.0075599	0.00419046	0.00355661	0.00329167
aime	0.0733006	0.0124274	0.0132535	0.0130079	0.0250578	0.0440518	0.0580657	0.0998591	0.194026	0.151677	0.108492	0.0628465	0.0269376	0.014707	0.00890868	0.0113266	0.0103814	0.00659228	0.00841171	0.00406555	0.004498	0.00808182	0.00897657	0.00880978	0.00928472	0.0129535
mieux	0.0246112	0.0360072	0.0311831	0.0264497	0.0375756	0.026761	0.0219602	0.0402004	0.0242147	0.0122423	0.00943037	0.00937993	0.0104093	0.0399908	0.0553209	0.106207	0.106741	0.0395595	0.0466347	0.023176	0.0413209	0.0563783	0.0323984	0.0383572	0.0446467	0.058844
les	0.199825	0.109402	0.110376	0.0840496	0.0556334	0.0282818	0.0158765	0.0232292	0.0306928	0.0334765	0.0386531	0.0263486	0.00945518	0.00828066	0.00620816	0.0075183	0.00633112	0.00982125	0.0115308	0.0150221	0.0147441	0.0132467	0.0212045	0.0316829	0.0528362	0.0362733
bananes	0.041264	0.0315523	0.0312063	0.0303971	0.0296363	0.0151602	0.0213331	0.0213455	0.0362281	0.0435982	0.0423033	0.0475221	0.0268518	0.0260218	0.0301279	0.027552	0.0215952	0.0292593	0.0175243	0.0177224	0.0217505	0.028489	0.0360961	0.0584865	0.075077	0.191899
douces	0.115642	0.0847612	0.0672747	0.0586045	0.0492225	0.0313243	0.0216523	0.0211299	0.0304206	0.046403	0.0474961	0.0521927	0.0357265	0.0232357	0.0128336	0.00447954	0.00403662	0.00873775	0.00508136	0.00720683	0.0119012	0.0118384	0.0224545	0.0314861	0.0369253	0.157932
que	0.0888926	0.0623058	0.0752521	0.0889002	0.0385222	0.0122023	0.00948826	0.0112411	0.0220155	0.0197214	0.0172026	0.0129441	0.0104865	0.0149263	0.0108025	0.0124155	0.010892	0.0103804	0.00981479	0.00797215	0.0159267	0.0317484	0.0332565	0.0532051	0.0579834	0.261502
les	0.143866	0.0741719	0.0994784	0.110641	0.0574319	0.0149521	0.0108629	0.00752954	0.0124828	0.0134222	0.00869892	0.00546203	0.00435286	0.0077877	0.00803393	0.0144152	0.0142077	0.0116238	0.0115442	0.00815838	0.0234861	0.0418204	0.0414689	0.047698	0.059988	0.146415
bananes	0.0440218	0.0273867	0.0353748	0.0424662	0.0246053	0.0229762	0.0226601	0.0181686	0.0208144	0.0245144	0.0183175	0.0103687	0.0117901	0.011428	0.0196869	0.0359294	0.0520597	0.0262519	0.0631527	0.0307934	0.0510214	0.0680181	0.0743535	0.0726018	0.078175	0.0930637
à	0.302259	0.0939044	0.0997375	0.0584336	0.024025	0.0218689	0.0141487	0.00912096	0.0101326	0.00930802	0.00611011	0.00416923	0.00720894	0.00703454	0.00400134	0.0100085	0.010541	0.00664553	0.00983609	0.00637652	0.0131935	0.0234574	0.0255544	0.0376803	0.0490517	0.136192
cuire	0.181732	0.121195	0.0927195	0.0793707	0.0481405	0.0285687	0.0236566	0.0148999	0.00946137	0.00838464	0.00317939	0.0026562	0.0104462	0.00903593	0.0103175	0.0110967	0.017886	0.0126709	0.0163454	0.0120528	0.0171426	0.0190102	0.0306476	0.0621288	0.0750845	0.0821699
</S>	0.046347	0.045583	0.0465	0.0467373	0.0404077	0.0298412	0.0220341	0.0166238	0.0115213	0.0112082	0.00514257	0.00389339	0.00490971	0.00751504	0.00924446	0.0151699	0.01589	0.0133089	0.0163913	0.0114373	0.0245684	0.0344719	0.0994831	0.119864	0.133607	0.1683
