 	n	z	a	m	b	é	a	d	í	o	y	ε	s	i	i	k	o	ó	l	a	t	s	ε	n	g	ε	</S>
dieu	0.0183852	0.0116846	0.0179223	0.0123071	0.0431225	0.0368524	0.0666333	0.0756396	0.0876629	0.183568	0.0486699	0.0714157	0.0555542	0.0459313	0.0232107	0.0229609	0.024722	0.022292	0.0187911	0.018968	0.0132153	0.0108909	0.00877378	0.0135646	0.0156853	0.0138948	0.0176812
est	0.0288816	0.0768576	0.0875918	0.0900258	0.172049	0.189973	0.122131	0.0410166	0.0333203	0.0239683	0.0173622	0.011169	0.0188078	0.00682073	0.0105765	0.00799004	0.0122534	0.0117688	0.00601782	0.00932659	0.00384931	0.00475689	0.0049941	0.00246419	0.00269033	0.00157696	0.00176072
le	0.0438959	0.0591669	0.0419381	0.0444216	0.0552453	0.0861514	0.0543583	0.0508811	0.0265897	0.0173219	0.0239789	0.0237223	0.0332433	0.0386127	0.057684	0.0540389	0.0460997	0.0454145	0.0268033	0.0320857	0.0274088	0.0194229	0.0188403	0.01549	0.0179479	0.0181066	0.0211301
créateur	0.050635	0.0485598	0.0410621	0.0413941	0.0527787	0.0662826	0.0477764	0.0414582	0.0379543	0.0285587	0.0284907	0.02299	0.042272	0.047383	0.025838	0.0436095	0.0245771	0.0388975	0.0247673	0.0342521	0.0355346	0.0449144	0.0294312	0.0350042	0.0252142	0.0169033	0.0234609
du	0.0301093	0.0352906	0.0484766	0.0591269	0.0727261	0.0689463	0.0417381	0.0484984	0.0356736	0.0275774	0.0412827	0.0278809	0.0137087	0.0214553	0.0211215	0.0249613	0.0233434	0.0329193	0.0296114	0.0278276	0.0265961	0.0272032	0.0242743	0.025385	0.0289744	0.0449626	0.0903288
ciel	0.0461501	0.0361661	0.0382178	0.0453555	0.050596	0.0447838	0.0290021	0.0323303	0.0233049	0.0194213	0.0488319	0.0415796	0.0599635	0.0266173	0.0408994	0.0238812	0.0183848	0.029879	0.0229891	0.0185003	0.0275478	0.0284985	0.0249154	0.0290282	0.0320322	0.0500392	0.111085
et	0.0368411	0.0288334	0.0232338	0.0249662	0.0223964	0.0167024	0.011479	0.0119622	0.0152809	0.0333807	0.0229184	0.0238552	0.0214093	0.0256411	0.0400999	0.0383338	0.0399746	0.0516706	0.0486418	0.0403711	0.0621861	0.0573541	0.0513401	0.0415258	0.043694	0.0612047	0.104703
de	0.0267157	0.0290162	0.0333952	0.035719	0.0345328	0.0326022	0.02864	0.0264158	0.0207343	0.0184499	0.0155598	0.0203324	0.0125587	0.0156808	0.0172314	0.0162608	0.0182157	0.019722	0.027366	0.0328211	0.0405766	0.0489625	0.0613888	0.0647669	0.0626188	0.10622	0.133497
la	0.0661536	0.0407401	0.027878	0.0241186	0.0146675	0.0100246	0.00714515	0.00400361	0.00261035	0.0017669	0.00291755	0.00211119	0.00306524	0.00488055	0.0135761	0.0170454	0.0293607	0.0376336	0.0524058	0.0559028	0.0797801	0.0742282	0.0711252	0.0835607	0.078098	0.0889315	0.106269
terre	0.0353264	0.0230342	0.0162024	0.00745123	0.00293663	0.00220935	0.00252473	0.00279006	0.00360562	0.0044459	0.00443527	0.00348425	0.00386543	0.00817406	0.0160376	0.0186517	0.0274491	0.022566	0.0303481	0.035779	0.0741274	0.0965498	0.0794683	0.0885611	0.117654	0.130328	0.141994
</S>	0.135465	0.0428851	0.021642	0.019224	0.00716001	0.00386353	0.00469397	0.00257704	0.0016915	0.00104901	0.00148118	0.00127816	0.0016097	0.00343209	0.0151552	0.0243238	0.0396815	0.0336852	0.0316157	0.0376263	0.0528974	0.0499867	0.0679322	0.075681	0.07747	0.0955498	0.150343
