 	w	a	á	m	i	d	i	á	a	y	έ	l	i	m	á	i	p	έ	ε	l	á	i	s	á	l	a	l	á	w	a	l	a	o	d	i	m	í	</S>
il	0.0757122	0.144989	0.261316	0.190242	0.146536	0.0778073	0.0345665	0.0218453	0.00759187	0.00584562	0.00280165	0.00254505	0.00093324	0.0018794	0.00143925	0.00109161	0.00138803	0.00197432	0.00188021	0.00213357	0.00178958	0.00124137	0.000909757	0.000893568	0.000900302	0.000736671	0.000770937	0.00078897	0.00114962	0.000671653	0.000715059	0.000623402	0.000838043	0.000518636	0.000990779	0.000685065	0.000606751	0.000652369
a	0.0302469	0.0120809	0.0126492	0.00836592	0.00742677	0.00621288	0.011782	0.0234346	0.0713947	0.0461595	0.0552198	0.0422415	0.0550335	0.0658675	0.0201296	0.0276291	0.0193465	0.0311287	0.0248165	0.0255941	0.0277783	0.0365791	0.0353597	0.0354116	0.0478595	0.0216811	0.0195755	0.0191342	0.0357019	0.026835	0.0207036	0.0139142	0.0134411	0.00814419	0.0101246	0.00697521	0.00890117	0.0151199
trouvé	0.00958338	0.013342	0.0137668	0.0144053	0.00977954	0.0138299	0.0120709	0.0065193	0.00723458	0.00616658	0.00662401	0.008108	0.0183114	0.0212239	0.0229045	0.0279972	0.0226106	0.0400205	0.0402904	0.0638497	0.0913822	0.127633	0.0702623	0.0431005	0.0324897	0.027134	0.0277886	0.0209307	0.027064	0.0206319	0.0206484	0.0142661	0.0193881	0.0220199	0.0165197	0.0146127	0.0106215	0.0148683
une	0.0111968	0.0114086	0.00940724	0.0142497	0.0128024	0.01772	0.0161248	0.0227963	0.0215505	0.0189071	0.0227188	0.0245442	0.0369964	0.0275815	0.0357306	0.0617116	0.0261169	0.0329395	0.0331335	0.0159774	0.0231735	0.0318054	0.0435553	0.0383718	0.0342762	0.0716563	0.0192571	0.0218205	0.0111835	0.0294728	0.0240567	0.0235396	0.024008	0.0223537	0.0240487	0.0247277	0.0170078	0.0420714
astuce	0.0123622	0.0208117	0.0211813	0.0213877	0.017133	0.014615	0.010282	0.0110788	0.0132757	0.0141905	0.016481	0.020036	0.0290244	0.0257131	0.0304652	0.0343483	0.0434127	0.0580116	0.0294181	0.0516286	0.0585327	0.0439011	0.0567065	0.0432422	0.0340089	0.037645	0.0250386	0.0229837	0.0208568	0.0208217	0.0167	0.0154236	0.0158399	0.0155886	0.014704	0.0170914	0.0175461	0.0285121
pour	0.00737683	0.00731461	0.00686658	0.00765438	0.00822218	0.00829891	0.00893418	0.00940377	0.0169303	0.0202813	0.0209119	0.0253157	0.0278834	0.0288126	0.030598	0.0351006	0.0344456	0.0522381	0.0357586	0.0277588	0.0349839	0.0280291	0.046875	0.0681441	0.0477644	0.0400803	0.0343724	0.0245794	0.0231945	0.0357474	0.0254194	0.0222396	0.0257395	0.0214151	0.0242669	0.016034	0.0133511	0.0476575
faire	0.0063785	0.00692423	0.00588942	0.00551017	0.00883633	0.0109661	0.0120817	0.010393	0.0111379	0.0119543	0.0110268	0.010521	0.0135906	0.0153964	0.0188289	0.0203585	0.0275444	0.0361168	0.0236056	0.0366462	0.0514697	0.0631998	0.0590788	0.0601035	0.0567459	0.058068	0.0296858	0.0358607	0.035064	0.0492381	0.0209115	0.0189851	0.0211509	0.0289557	0.023284	0.0228378	0.0201932	0.0414604
faire	0.0173975	0.0178854	0.0177235	0.0183275	0.0193772	0.0180672	0.0173088	0.0181478	0.0169028	0.0175735	0.0146542	0.0118605	0.00960155	0.011066	0.0125291	0.00988335	0.0119892	0.0143322	0.0107105	0.0138439	0.0194199	0.024908	0.0286333	0.0412624	0.0347397	0.0273772	0.0349823	0.0364742	0.0356142	0.0432245	0.0316489	0.0336412	0.0407522	0.0488935	0.0496659	0.0515129	0.0499243	0.0681438
son	0.0167241	0.0158889	0.0172591	0.0174419	0.0185962	0.0140976	0.0123042	0.0156494	0.0124027	0.0130653	0.0103932	0.00935976	0.00902716	0.0090364	0.00906934	0.00844498	0.00847992	0.00884891	0.00853455	0.00943177	0.0120421	0.0173386	0.0197767	0.0257538	0.0233686	0.0252569	0.0316352	0.0248613	0.0308702	0.0498654	0.0520953	0.047467	0.0636958	0.0659732	0.0642131	0.0649501	0.0592507	0.0775304
travail	0.0143394	0.0151591	0.0172412	0.0176808	0.0165556	0.0142433	0.0139356	0.0142552	0.0152955	0.0156201	0.0142207	0.0152532	0.0168285	0.0157856	0.0137557	0.0138016	0.0137363	0.0139838	0.0135632	0.0131665	0.0174271	0.0244668	0.029708	0.0349857	0.0340407	0.0291293	0.0304738	0.03667	0.0339469	0.0416699	0.0350224	0.0415585	0.0479441	0.0475986	0.0448195	0.0475176	0.0550615	0.0695385
