 	w	a	l	á	a	b	o	m	á	i	b	v	a	b	á	b	i	a	s	á	p	o	o	m	ó	k	ú	n	á	</S>
c'	0.14173	0.158634	0.157074	0.164935	0.145543	0.0523019	0.0306141	0.0168151	0.0331884	0.0206871	0.0116321	0.00431185	0.00214226	0.000803029	0.000963247	0.00282043	0.0028923	0.00292911	0.00266589	0.00328374	0.00498524	0.00811611	0.00951364	0.00543448	0.00526232	0.00273829	0.00228952	0.00196232	0.00235175	0.00137985
est	0.13548	0.112386	0.153072	0.0485771	0.0481884	0.0350858	0.0330135	0.021585	0.0257178	0.0126919	0.0135005	0.018789	0.00746579	0.0162467	0.038352	0.0309022	0.0276648	0.0447951	0.0213111	0.0198453	0.0190657	0.0181903	0.0276721	0.0165784	0.0118513	0.00750743	0.00372968	0.00643271	0.0117307	0.012572
par	0.0112788	0.0158053	0.0197247	0.0293058	0.0279039	0.021158	0.0213879	0.0382958	0.0481519	0.0434139	0.0470092	0.0393228	0.057821	0.0572973	0.0665237	0.0281115	0.0316834	0.0248857	0.0189202	0.0173539	0.0132577	0.0107859	0.0108084	0.0144226	0.0169031	0.0281117	0.0308455	0.0384106	0.0558929	0.115207
haine	0.0431572	0.0238076	0.0336473	0.0148089	0.0389638	0.0430493	0.0557926	0.0318683	0.0391669	0.049746	0.0823128	0.0599021	0.0659156	0.0441793	0.0301666	0.0231599	0.0163616	0.0171068	0.0151055	0.0280412	0.0346393	0.0389999	0.0436005	0.0360469	0.0255223	0.0133882	0.0145415	0.00978346	0.0116161	0.0156023
qu'	0.0657149	0.0334979	0.0646251	0.0695537	0.0391198	0.0287111	0.0276372	0.0273378	0.026842	0.0285461	0.0371289	0.04677	0.0165517	0.0208893	0.0197407	0.0312206	0.0242923	0.0191988	0.0193775	0.0193951	0.0204349	0.0223493	0.0198607	0.0131568	0.0149869	0.0223226	0.028487	0.0301491	0.0384982	0.123604
il	0.0316639	0.0241518	0.0337952	0.0110813	0.0161285	0.0158605	0.0182885	0.0132699	0.0158535	0.0184375	0.01539	0.0102792	0.0142387	0.0268197	0.0279063	0.0328835	0.0323912	0.0288365	0.0312296	0.0200986	0.0182856	0.016516	0.0302331	0.0269852	0.0295045	0.0357285	0.0485599	0.0583809	0.0906763	0.206526
élimine	0.0177248	0.0109972	0.0178666	0.00740013	0.00936426	0.0106956	0.0121721	0.0117551	0.0141376	0.0153692	0.0191078	0.0186991	0.0228956	0.0233084	0.020594	0.0218552	0.0211809	0.024012	0.0237932	0.0235707	0.0412749	0.0483807	0.0710623	0.0494397	0.0612208	0.0437061	0.0394994	0.0402938	0.0840128	0.17461
le	0.00998985	0.00936773	0.00764904	0.00615638	0.00640975	0.00657862	0.00598044	0.00572371	0.00619344	0.00777799	0.00717016	0.0077601	0.0103351	0.013864	0.0160729	0.0224727	0.0187146	0.0168946	0.0253624	0.0257753	0.0420038	0.0556986	0.0579987	0.0664783	0.0656437	0.069688	0.0805926	0.0819412	0.0892856	0.154421
petit	0.017016	0.0156238	0.0146398	0.0223176	0.0236702	0.0232479	0.0199231	0.017695	0.0285004	0.0283282	0.017555	0.018192	0.0156641	0.0090678	0.0107921	0.0156275	0.0156087	0.0112493	0.0194571	0.0208138	0.0371576	0.0447163	0.0678222	0.0646284	0.0672406	0.0495668	0.0384141	0.0291111	0.061253	0.175101
bétail	0.017117	0.0152596	0.0137107	0.0123413	0.015939	0.0148942	0.0143171	0.0124031	0.0150346	0.0130349	0.0130726	0.0130413	0.0129007	0.0118907	0.0128594	0.0142034	0.0126352	0.0132741	0.0159041	0.0176166	0.0366489	0.0417962	0.0534804	0.0765207	0.0694524	0.066573	0.0680448	0.0818139	0.102084	0.122136
de	0.0201967	0.0177775	0.0137578	0.0141441	0.015779	0.0158724	0.0156811	0.0158017	0.0173265	0.0155045	0.0155142	0.014583	0.0156481	0.0140118	0.0139147	0.0149947	0.0164614	0.0150698	0.0196628	0.0275379	0.0246521	0.0168021	0.0180466	0.0479747	0.0511843	0.0732465	0.0922238	0.105272	0.113242	0.128116
ses	0.027069	0.0292365	0.0224195	0.0240927	0.0229911	0.0242882	0.0242913	0.0311161	0.0443624	0.0338054	0.0285761	0.024622	0.0290703	0.0134731	0.0103267	0.0124453	0.0146734	0.00996573	0.0155787	0.0298071	0.0241932	0.0267773	0.0267638	0.0334685	0.0299048	0.0355133	0.0496984	0.0663068	0.0877685	0.147395
voisins	0.0129831	0.0164463	0.0134173	0.0299436	0.0365669	0.0263014	0.0215459	0.0353759	0.0504274	0.0378048	0.028739	0.0212603	0.0219556	0.00637968	0.0103223	0.00985594	0.00899862	0.00637921	0.0087989	0.0143606	0.0229915	0.0268505	0.0263009	0.0559568	0.0546106	0.0613121	0.0703601	0.0645492	0.0878922	0.111314
</S>	0.0186435	0.0167756	0.0156722	0.0135763	0.0172285	0.0160142	0.0151739	0.013206	0.0141733	0.0127131	0.013601	0.0128448	0.0142557	0.0143609	0.0189152	0.0178426	0.0145151	0.0143001	0.0136254	0.0154498	0.0200021	0.0217088	0.0253112	0.0569794	0.0677898	0.0908068	0.0999114	0.103137	0.103451	0.108016
