 	n	g	ó	l	ó	m	i	á	p	έ	ε	n	g	á	m	b	ε	s	í	t	s	í	n	a	n	g	á	í	d	z	e	o	b	é	á	w	a	m	í	t	ώ	ω	l	á	m	w	á	n	a	y	a	n	g	á	k	a	á	</S>
mon	0.0708117	0.0531379	0.00834204	0.00469669	0.00702887	0.0069839	0.0128474	0.00782477	0.0247867	0.0159217	0.0129256	0.00929497	0.0163978	0.0262686	0.0452578	0.0327024	0.0255942	0.0267681	0.0309208	0.0299261	0.0190794	0.0210733	0.0146513	0.0123579	0.0132478	0.00794313	0.012094	0.00414183	0.00426188	0.00568714	0.00754298	0.00814067	0.00874344	0.0183441	0.0110499	0.00580611	0.0058612	0.00778702	0.00572289	0.00648347	0.0126356	0.00888306	0.00952415	0.0109533	0.013469	0.0136412	0.00987993	0.0182493	0.0114559	0.0244858	0.0162903	0.0222182	0.0189863	0.0257743	0.0341519	0.0307976	0.028143	0.0220037
oncle	0.326136	0.0992509	0.106466	0.0534569	0.0524914	0.0504611	0.036373	0.0211756	0.0134399	0.00884425	0.0106025	0.0168313	0.0123722	0.0173326	0.00837247	0.00452548	0.00600508	0.00602864	0.00498944	0.00722771	0.00567821	0.00491883	0.00461808	0.00643624	0.00503363	0.013351	0.00578298	0.00813837	0.00956879	0.00494355	0.00413992	0.0025479	0.00118251	0.000760539	0.000835844	0.000480296	0.000459955	0.000228588	0.000273513	0.000183645	0.000938698	0.000961324	0.00186839	0.00181633	0.00177623	0.00967409	0.00569917	0.000694259	0.0109603	0.00320497	0.00400141	0.00690642	0.00447958	0.00165838	0.00208456	0.000530082	0.000556845	0.000244173
m'	0.013436	0.0182772	0.00897238	0.00778523	0.00629409	0.00811859	0.0119035	0.0121045	0.0160992	0.0142059	0.0257322	0.0340351	0.0208416	0.0149246	0.0152787	0.0191457	0.020706	0.0278523	0.044934	0.0181816	0.0265204	0.0232289	0.020108	0.0159855	0.0202922	0.0122906	0.0119412	0.0127266	0.0105921	0.00947879	0.0121804	0.00820416	0.0112379	0.0116082	0.00746269	0.00841824	0.00717244	0.00803678	0.015104	0.0129902	0.0154657	0.0119456	0.00806581	0.0100088	0.00796812	0.0286988	0.0140757	0.0555808	0.0661028	0.041849	0.0270163	0.0185765	0.0140565	0.0159511	0.0116456	0.0134287	0.00875448	0.00640164
a	0.0174758	0.0131846	0.0141585	0.0119896	0.0143814	0.0149102	0.0133864	0.0116442	0.013751	0.0142311	0.0144741	0.0142108	0.00956918	0.00743773	0.0140708	0.0152882	0.00931762	0.0187138	0.0277806	0.0182644	0.021466	0.0380448	0.0352306	0.0245612	0.0391828	0.0423243	0.0347527	0.0352593	0.0260772	0.0148341	0.0132469	0.0197475	0.00959719	0.00962485	0.0122696	0.0147316	0.0112178	0.0131225	0.0151826	0.0109519	0.00610973	0.00450127	0.00488299	0.00779373	0.00806171	0.0140392	0.0368165	0.0298029	0.0166211	0.0190883	0.0131154	0.013648	0.0124639	0.0112051	0.0126835	0.0124271	0.0131568	0.0339176
reproché	0.0140286	0.00664153	0.00714857	0.00723533	0.00755291	0.00795864	0.0117447	0.0160135	0.0147628	0.0171046	0.0152999	0.0189017	0.0117082	0.00959202	0.0135403	0.0135535	0.0155915	0.018187	0.029571	0.0246733	0.0287358	0.0295937	0.0394344	0.0355827	0.0304397	0.0328199	0.0295996	0.0208555	0.0244871	0.0205323	0.0150382	0.0293322	0.0217	0.0262284	0.0264837	0.0263159	0.0220427	0.0267066	0.0126357	0.0162988	0.00743965	0.00709951	0.00657425	0.00555079	0.0089331	0.0133794	0.0155486	0.00854799	0.00942164	0.00855087	0.00916793	0.012718	0.0120485	0.0128504	0.0108944	0.0118853	0.0166159	0.027101
de	0.00747414	0.00334889	0.0041797	0.00685513	0.005233	0.00562811	0.00648119	0.00711502	0.00662239	0.00723023	0.00652693	0.0080167	0.00641494	0.00544529	0.00770174	0.00831895	0.0125946	0.00694869	0.0196711	0.0091191	0.0147093	0.0113541	0.0147233	0.0226708	0.0122299	0.0208192	0.0295449	0.0282904	0.0439604	0.0396753	0.0410588	0.0416423	0.0535149	0.0469316	0.0543779	0.0600806	0.0404319	0.0462622	0.0409559	0.0445602	0.0114061	0.0164117	0.0108175	0.00982637	0.0104218	0.00444385	0.00519895	0.00551216	0.00426974	0.0040983	0.00396079	0.00452306	0.00483933	0.00518401	0.00691197	0.00880012	0.00794035	0.0167139
ne	0.00718209	0.00371484	0.00472701	0.0055285	0.00545071	0.00589697	0.00640681	0.00704661	0.00636074	0.0061531	0.00654515	0.00753374	0.00647591	0.00653867	0.00723625	0.00757669	0.0093837	0.00895355	0.0173335	0.0126249	0.0207841	0.0186326	0.0255464	0.0364657	0.0235572	0.0329223	0.0332477	0.0301259	0.0339616	0.028705	0.0428452	0.0292221	0.0526323	0.0442045	0.0547416	0.0402848	0.0373255	0.0298417	0.0173019	0.0262631	0.0157186	0.0251188	0.0128971	0.0141633	0.00811467	0.00565923	0.00447217	0.00880662	0.00516423	0.00489027	0.00688808	0.00821167	0.00807957	0.00880857	0.0109907	0.0123356	0.0123863	0.0200138
pas	0.0094056	0.00559571	0.00601957	0.00779821	0.00616558	0.00590175	0.0051042	0.00500467	0.00406825	0.00363004	0.00323788	0.00398635	0.00447897	0.0050362	0.00459719	0.00474793	0.00597419	0.00447272	0.00993253	0.00516706	0.00743277	0.00670671	0.0120834	0.0127755	0.0115478	0.0122333	0.0158294	0.0170469	0.023344	0.019576	0.0326061	0.0303384	0.0383268	0.0433619	0.0455686	0.0433668	0.0346038	0.0329957	0.0367449	0.0413907	0.0278429	0.0406489	0.0349246	0.040936	0.0295642	0.0131847	0.0173381	0.0110991	0.012621	0.0150106	0.0104549	0.0159492	0.0145259	0.0127523	0.0168078	0.0171876	0.0186531	0.0222949
l'	0.0177051	0.00849755	0.00840754	0.00770758	0.00567344	0.00520138	0.00594099	0.00797436	0.00726402	0.00766903	0.00462065	0.00656904	0.00703335	0.00597892	0.00986029	0.00781234	0.0151515	0.00763904	0.0233773	0.0127389	0.0248393	0.0131841	0.0160427	0.022652	0.00861217	0.0230836	0.0215939	0.0283225	0.0369532	0.0285329	0.0469735	0.03303	0.0469913	0.0337928	0.0436245	0.0471563	0.0548875	0.0391658	0.0318297	0.0241824	0.0122831	0.0187389	0.00818078	0.00729975	0.0080937	0.00381432	0.00456266	0.00374137	0.0031696	0.0050265	0.00364289	0.0107992	0.011866	0.00860842	0.0154626	0.0143114	0.0230549	0.0290713
avoir	0.0138458	0.0108325	0.00767124	0.00618228	0.00501811	0.00484529	0.00506148	0.00574245	0.00529464	0.00669804	0.00542314	0.0062505	0.00535853	0.00560758	0.00630003	0.00585974	0.0080569	0.00683761	0.0135952	0.00815219	0.0166413	0.011445	0.0129761	0.0146647	0.00945644	0.0167085	0.0173711	0.0179516	0.0216312	0.0207768	0.0290474	0.0222109	0.0413641	0.0354118	0.0336662	0.0259775	0.0249521	0.0249755	0.0369018	0.0406426	0.0419931	0.0380564	0.02995	0.0242348	0.0113195	0.00220786	0.00228742	0.00537299	0.00284053	0.00617572	0.00238734	0.0179968	0.0178687	0.0167519	0.0237845	0.0236148	0.0395662	0.0761854
invité	0.0362805	0.0231998	0.0294967	0.0319179	0.0297047	0.0249547	0.0109916	0.0128752	0.00852156	0.00931999	0.00948992	0.0138071	0.00849111	0.00666079	0.00957043	0.00940571	0.0074706	0.00850917	0.0119689	0.0065657	0.00716951	0.00893858	0.0144999	0.00845629	0.00957241	0.0148119	0.0154724	0.0303971	0.0282049	0.0167865	0.0200411	0.0155611	0.0183963	0.0153126	0.0180673	0.0229887	0.0108049	0.0121412	0.0175518	0.0155651	0.0139694	0.0130629	0.015354	0.0149689	0.0154761	0.00980883	0.0158177	0.00556376	0.0110924	0.0120819	0.00788096	0.0246348	0.0213699	0.0195027	0.0331187	0.0366663	0.0334796	0.0662095
au	0.0557314	0.0225457	0.0268691	0.0183243	0.0151053	0.0151524	0.00755489	0.00984223	0.00923727	0.0121371	0.0114265	0.0173911	0.00860055	0.00640308	0.00748496	0.0103113	0.00779004	0.0116273	0.0150466	0.0122642	0.0158743	0.0206879	0.0289221	0.0167209	0.0238668	0.0265154	0.0249261	0.0243251	0.017441	0.0113183	0.00975912	0.0200256	0.0108174	0.0114986	0.0110817	0.0122628	0.0153922	0.0142516	0.0150585	0.0139535	0.00786273	0.00961977	0.0128493	0.012343	0.0233018	0.0179944	0.0255144	0.0106647	0.014815	0.0149672	0.0155512	0.018464	0.0191243	0.0181751	0.0209802	0.0207445	0.0232495	0.0682349
mariage	0.0307131	0.0209768	0.015386	0.0101382	0.010187	0.0104154	0.0109646	0.0124752	0.0141264	0.0160687	0.0115389	0.0123449	0.0109525	0.00995279	0.0122346	0.011652	0.0136116	0.0137806	0.0227315	0.0169684	0.0228648	0.0200957	0.0219541	0.0182001	0.0134702	0.0246547	0.0210258	0.022204	0.025397	0.017008	0.0155742	0.0204674	0.0278737	0.0230218	0.0352666	0.0324027	0.0230038	0.0193145	0.016943	0.0180885	0.0139052	0.0132199	0.00790158	0.00675645	0.00450386	0.000988917	0.00127615	0.00173088	0.0011201	0.00314883	0.00171059	0.00935963	0.0111623	0.0109337	0.0175153	0.0181486	0.026188	0.12438
de	0.0306972	0.0212787	0.0216129	0.0173519	0.0184645	0.0161215	0.00894048	0.00735214	0.00733262	0.00946231	0.00835071	0.0085118	0.00503534	0.00430784	0.00739801	0.00850797	0.00686695	0.00985699	0.0162549	0.0108135	0.0168641	0.0177378	0.0238324	0.0175982	0.0157286	0.0250498	0.0194854	0.0212826	0.0225497	0.0172125	0.01669	0.0248733	0.0245095	0.0216678	0.0229142	0.0205796	0.0249887	0.0258915	0.013426	0.0212841	0.00730841	0.00932227	0.00816326	0.00732547	0.00944203	0.00177226	0.00389145	0.00323254	0.00351139	0.00748545	0.00535314	0.0196845	0.022312	0.0208813	0.0225346	0.0260591	0.0332009	0.129836
ma	0.0324584	0.0245248	0.0273593	0.02179	0.0234664	0.0220022	0.0117411	0.00976596	0.0088757	0.00964312	0.00928043	0.00905087	0.00833507	0.00856622	0.00941006	0.0105627	0.00888336	0.0111244	0.0165133	0.010641	0.0117047	0.0142348	0.0225711	0.00954107	0.0147415	0.0179111	0.0138835	0.0158558	0.0136433	0.0108431	0.00861743	0.0127647	0.0118974	0.0106498	0.018065	0.0205305	0.00989234	0.0107865	0.0109078	0.0100987	0.00640539	0.00655615	0.00631089	0.00677843	0.00756826	0.00547348	0.0201579	0.00454267	0.00749184	0.00994592	0.00574632	0.0187751	0.0197995	0.0166616	0.0267081	0.0330231	0.0373962	0.197525
fille	0.0174727	0.0119152	0.0128913	0.0143162	0.0147698	0.0144094	0.0104889	0.00776982	0.00801924	0.00951416	0.00863544	0.00514543	0.00576239	0.0054361	0.00706276	0.00773087	0.00502391	0.00563224	0.00598051	0.00420598	0.00489997	0.00561686	0.00993776	0.00290485	0.00655313	0.0120416	0.00701446	0.0137541	0.0115291	0.010159	0.0080783	0.015986	0.0115827	0.0121361	0.0128141	0.0110173	0.0112096	0.0124168	0.00698069	0.0108361	0.00646935	0.0097119	0.0102417	0.0101351	0.0102228	0.00470541	0.0133064	0.00854693	0.0128384	0.0263776	0.0134725	0.05624	0.0600453	0.0441925	0.0564246	0.0696876	0.0727228	0.135008
