 	n	g	ó	l	ó	m	i	á	b	έ	r	i	w	a	t	s	í	n	a	w	a	a	d	í	a	t	ú	e	ó	p	i	a	</S>
son	0.0982407	0.0581699	0.0247998	0.0111361	0.00554193	0.00583971	0.00541978	0.0100506	0.0117511	0.0190363	0.0216598	0.0226638	0.0124922	0.0518723	0.0503436	0.025309	0.0125279	0.0281122	0.0494538	0.0574715	0.0579491	0.0779746	0.0331028	0.0315051	0.0170179	0.025044	0.0254186	0.0250957	0.0298102	0.0323717	0.0249432	0.0245485	0.0133264
oncle	0.218348	0.299586	0.157321	0.102908	0.0463285	0.0405125	0.0580156	0.0281503	0.0198761	0.0128362	0.00419794	0.00150718	0.000917674	0.00088975	0.000706276	0.000435835	0.000614294	0.000578057	0.00022509	0.000273526	0.000116877	0.000661432	0.000695787	0.000817265	0.000302963	0.000696773	0.000235684	0.000357425	0.00047623	0.000530637	0.000550786	0.000249841	8.04318e-05
l'	0.017356	0.0334911	0.046264	0.0530103	0.0303849	0.0494817	0.0581361	0.0554611	0.0352731	0.0185418	0.0183328	0.0143962	0.035754	0.025475	0.0256939	0.0487966	0.0483514	0.0343368	0.0394512	0.028471	0.019257	0.0243493	0.035763	0.025457	0.0147761	0.0273856	0.0239313	0.0213005	0.0271499	0.0273242	0.0154689	0.0134878	0.00789023
a	0.0158946	0.0162714	0.0170686	0.0256399	0.0459554	0.049136	0.0514308	0.0373104	0.0385409	0.0298317	0.0328589	0.0272518	0.104802	0.0587841	0.0241333	0.0450574	0.0539999	0.0329479	0.0206438	0.0215091	0.0146325	0.0249752	0.0361535	0.040972	0.0286787	0.0101779	0.0154021	0.0131391	0.0125664	0.0105637	0.0105715	0.014228	0.0188718
battu	0.0154931	0.0084819	0.00890127	0.0121801	0.0103941	0.0172553	0.0214276	0.0202321	0.0188697	0.0229322	0.0297065	0.035913	0.0326874	0.0334756	0.0295939	0.0514619	0.0463112	0.0396336	0.0388769	0.0295178	0.0471287	0.0373581	0.0308736	0.0424814	0.0475649	0.0351474	0.0321652	0.0315849	0.035461	0.0318562	0.0328192	0.0309987	0.0412158
parce	0.0151318	0.0102088	0.00850981	0.0156666	0.008821	0.0372398	0.0358056	0.0279547	0.0295148	0.0328061	0.0366494	0.0334868	0.0234455	0.0376384	0.0335376	0.0513411	0.040419	0.0275836	0.0175174	0.0325516	0.0313771	0.031111	0.0240904	0.0366148	0.034513	0.0248741	0.0269732	0.0316233	0.0346605	0.0406112	0.0547596	0.0347043	0.038258
qu'	0.0547407	0.0264801	0.019507	0.040631	0.0194419	0.084225	0.070152	0.0563881	0.046005	0.0352449	0.0626252	0.0241308	0.0186285	0.0158813	0.0112613	0.0190749	0.0279221	0.0116992	0.0096298	0.0199406	0.0194249	0.0116696	0.0151666	0.0148197	0.0210691	0.0166529	0.0163136	0.0175816	0.021058	0.0242943	0.043462	0.0332602	0.0716179
il	0.035069	0.023568	0.0239872	0.032377	0.0255657	0.0545622	0.0575458	0.0526466	0.0434154	0.0284507	0.0363944	0.0299304	0.0109655	0.0166554	0.0171006	0.0204016	0.0191208	0.015206	0.0126162	0.0187421	0.0209591	0.0176353	0.0102031	0.0199732	0.0260744	0.015502	0.0272312	0.0245588	0.0286446	0.0277976	0.038998	0.0434165	0.124686
est	0.0837595	0.0432356	0.0375759	0.0390557	0.0245759	0.0755226	0.0594044	0.0384143	0.0266967	0.0172133	0.0291282	0.0219501	0.0102979	0.0274967	0.0260096	0.0460268	0.0516612	0.0291287	0.0226773	0.0275236	0.0242579	0.0162975	0.00992543	0.0137171	0.0102958	0.00494857	0.00767061	0.00687032	0.0114891	0.0232742	0.0308536	0.0206846	0.0823613
têtu	0.0472393	0.0245423	0.0247883	0.0320798	0.0289356	0.0410435	0.0436464	0.0325138	0.0229278	0.015501	0.0148636	0.0144616	0.008563	0.0160706	0.0197474	0.0291125	0.034639	0.0380858	0.0345338	0.0325919	0.0371105	0.0396088	0.0229108	0.0440941	0.0296808	0.0158482	0.0288293	0.0260991	0.0209045	0.0255879	0.0317617	0.0370695	0.0846078
</S>	0.037591	0.0306787	0.0311718	0.0388751	0.0264635	0.0278822	0.033018	0.0284628	0.0248182	0.0227152	0.0215827	0.0237892	0.0133662	0.019552	0.0152137	0.0267104	0.0407279	0.0339438	0.0275528	0.0333556	0.050331	0.0407447	0.0217762	0.0246805	0.0523811	0.0176592	0.0256356	0.0232572	0.0249058	0.0250479	0.0285242	0.0291944	0.0783913
