 	b	ó	y	a	ó	p	i	i	m	b	o	s	i	m	ó	p	a	l	í	</S>
le	0.0811877	0.0538125	0.0308078	0.0197476	0.0273141	0.0501363	0.0598945	0.0684454	0.0653924	0.0655612	0.0576576	0.0471549	0.0405202	0.0421602	0.0423545	0.046295	0.0599056	0.0406158	0.0443688	0.056668
piège	0.0141127	0.0260169	0.101395	0.234268	0.278389	0.153453	0.0778004	0.0417424	0.0253329	0.0102165	0.0116877	0.00891243	0.00514257	0.00257423	0.0023796	0.00129988	0.00150868	0.00106807	0.00160389	0.00109606
a	0.0289832	0.0265899	0.0131961	0.0146527	0.0195495	0.0322336	0.0489895	0.034491	0.030662	0.0385685	0.0925375	0.10264	0.0899669	0.0998067	0.0969254	0.0855277	0.0490173	0.0364496	0.0407317	0.0184809
pris	0.0255993	0.0383688	0.0532905	0.0420785	0.0379501	0.0469222	0.0749822	0.077891	0.0807605	0.0784994	0.0590457	0.0488696	0.0501801	0.0423843	0.0393078	0.0473407	0.0345803	0.0321557	0.0358476	0.0539457
le	0.0690427	0.0547379	0.0563479	0.0543223	0.0437503	0.0483203	0.051796	0.0469776	0.0349953	0.0251701	0.0273016	0.0293106	0.0358079	0.0230399	0.0276301	0.0305349	0.0535922	0.0514339	0.0665595	0.169329
cabri	0.0426505	0.0275439	0.0398323	0.0370672	0.0405284	0.0392966	0.028122	0.0294212	0.0298391	0.0357211	0.0323329	0.030362	0.0456209	0.0504514	0.0466953	0.0572173	0.0759833	0.0797624	0.0895593	0.141993
par	0.0322298	0.0319593	0.0268428	0.0241988	0.0221672	0.019033	0.0157458	0.00955388	0.0158284	0.0349645	0.0569484	0.0730279	0.0706976	0.0590009	0.0691879	0.0857569	0.0921477	0.058667	0.0829528	0.119089
le	0.0463315	0.0441644	0.0394825	0.0464362	0.0483004	0.0323097	0.0207784	0.0124067	0.00980177	0.0104293	0.011021	0.0160622	0.0255903	0.0339672	0.0471546	0.0666272	0.0872445	0.0987628	0.1179	0.185229
sabot	0.0555703	0.0365018	0.0308525	0.0253988	0.010704	0.00809171	0.00575674	0.0042563	0.00536044	0.00939447	0.0172691	0.0404349	0.0655662	0.0753051	0.0700481	0.0668361	0.0565895	0.0795049	0.140708	0.195851
</S>	0.0838067	0.074771	0.0515267	0.0333338	0.0227213	0.0201772	0.0163179	0.0100919	0.0145458	0.024303	0.0263961	0.053346	0.0530779	0.0273553	0.0319803	0.0385088	0.033195	0.055796	0.116792	0.211957
