 	a	n	y	ω	s	í	b	á	a	p	i	á	a	m	b	á	s	i	s	í	b	h	y	á	á	g	h	á	</S>
les	0.0943	0.0794386	0.0542514	0.0163516	0.0117547	0.00832151	0.0145416	0.017518	0.0217023	0.110433	0.0540099	0.0627581	0.0507828	0.0308765	0.0277129	0.035093	0.0397915	0.0312248	0.015546	0.0131546	0.0121785	0.0155062	0.0225476	0.0330657	0.0332962	0.0299492	0.0302633	0.0217501	0.0118801
oiseaux	0.043182	0.0355256	0.0470911	0.116194	0.156195	0.14635	0.0519743	0.0650293	0.0312958	0.0219911	0.0144375	0.0167795	0.0226968	0.00691578	0.00866861	0.00775301	0.0141378	0.0159868	0.0204667	0.0115203	0.0162779	0.0167865	0.0284946	0.0295456	0.0234282	0.0105382	0.0111973	0.00490087	0.0046406
attrapent	0.0392725	0.0385732	0.0291729	0.0202738	0.0166359	0.0236196	0.0203966	0.0367377	0.0387474	0.0615867	0.0594988	0.0627695	0.0559949	0.0507709	0.0315489	0.0353826	0.0327152	0.0261033	0.0221695	0.0315882	0.0252832	0.0398722	0.0372253	0.0412339	0.0403614	0.0257066	0.0256909	0.0135765	0.0174919
les	0.0132276	0.0205491	0.0275386	0.0349031	0.0461084	0.0980113	0.0677952	0.0466151	0.0234529	0.0266395	0.0192936	0.0178892	0.0445407	0.0311768	0.0286748	0.0129	0.0263108	0.0197056	0.0271042	0.0180569	0.0343261	0.0322571	0.0283061	0.0608714	0.0454272	0.0293676	0.0267062	0.0303011	0.0619437
insectes	0.0373798	0.0204062	0.0231005	0.0228969	0.0295118	0.0398991	0.0354035	0.0417802	0.0514498	0.0497017	0.0418102	0.0410697	0.0393027	0.0371335	0.0261792	0.0228471	0.0295427	0.031055	0.028865	0.0357597	0.038578	0.018168	0.041804	0.0425009	0.0380018	0.0240192	0.0309353	0.0308955	0.050003
dans	0.0351521	0.0233577	0.0201593	0.0197548	0.0241317	0.0251573	0.0294524	0.0299991	0.0409513	0.0399154	0.0424458	0.0551555	0.0834856	0.0346551	0.0344318	0.0238692	0.0234155	0.0184246	0.0189976	0.0158958	0.0229865	0.0159268	0.031782	0.0434549	0.0453855	0.0355007	0.0438453	0.0459318	0.0763789
la	0.0960839	0.036038	0.0241349	0.017111	0.0214629	0.0220408	0.0229965	0.0209303	0.0223604	0.0482686	0.0537334	0.0447596	0.0269181	0.0334771	0.0394721	0.0322898	0.0317897	0.0292398	0.0216281	0.0214182	0.0296292	0.035269	0.0288889	0.0435147	0.0309635	0.0316938	0.0372695	0.0350978	0.0615204
savane	0.0302056	0.0172127	0.0126167	0.0147317	0.024163	0.0252157	0.0170566	0.0103393	0.01537	0.0134398	0.0113548	0.0173177	0.0232032	0.0167981	0.0187182	0.0138435	0.016541	0.0215252	0.0298237	0.0248478	0.0494691	0.0521253	0.0619166	0.0523039	0.0666395	0.0581228	0.0722473	0.0715163	0.141335
brûlée	0.0377838	0.0265412	0.022851	0.0236035	0.0303008	0.0295414	0.0211459	0.0126995	0.0144088	0.0143035	0.0125112	0.0118222	0.0216041	0.0154388	0.0169167	0.0136213	0.0200445	0.0247087	0.0333851	0.0166459	0.0309948	0.0267385	0.0345723	0.0371835	0.0509452	0.0597141	0.0591118	0.0502978	0.230564
</S>	0.034471	0.0215648	0.0178105	0.0182045	0.0232455	0.0245481	0.0269313	0.0227251	0.0339962	0.0392975	0.037486	0.0128119	0.0162786	0.0300834	0.0263054	0.0344561	0.0364481	0.0365022	0.0468517	0.0232269	0.0179301	0.0141889	0.0206753	0.0162271	0.0266253	0.0396146	0.0284965	0.0524681	0.220529
