 	e	k	u	r	u	r	ú	y	é	é	k	u	r	ú	r	á	w	a	a	t	ú	n	g	ú	y	é	l	o	y	a	a	á	b	o	n	g	í	</S>
sa	0.016677	0.0217544	0.0199019	0.0146525	0.0240926	0.0231991	0.0318413	0.0289987	0.0348609	0.0397261	0.0499406	0.0583103	0.046284	0.0607334	0.085321	0.0213664	0.028076	0.0209892	0.0221065	0.0273274	0.0134149	0.0125287	0.0119419	0.0150605	0.012102	0.00793204	0.0155161	0.0181998	0.0317027	0.0171131	0.0190554	0.0158781	0.0198988	0.0182353	0.0174457	0.0245551	0.0239595	0.0293012
manière	0.0112485	0.0338796	0.0553085	0.0473005	0.0312436	0.0332597	0.0226419	0.0208866	0.0644563	0.0897238	0.118272	0.116018	0.0649604	0.0177012	0.0407904	0.0150813	0.0563728	0.0225154	0.0174333	0.0143188	0.0069497	0.00554835	0.0173953	0.0112135	0.00283059	0.00368267	0.00258916	0.00164234	0.00727936	0.00629239	0.0071613	0.00833329	0.00884974	0.0104204	0.00322048	0.00148053	0.00130529	0.000392942
de	0.170591	0.0602377	0.0238233	0.0209354	0.0277247	0.0256972	0.0170077	0.0166389	0.023779	0.00961499	0.0118815	0.00720379	0.00983758	0.0146546	0.0190281	0.0142445	0.0128851	0.0391988	0.0292093	0.0354676	0.0295537	0.0223699	0.0417365	0.0278268	0.0341402	0.0263496	0.0168514	0.0236893	0.0214901	0.053736	0.020405	0.0112512	0.0121832	0.0129639	0.0134961	0.0135949	0.0198275	0.0088741
réchauffer	0.0110829	0.0137899	0.0165418	0.0157704	0.0249247	0.0240785	0.0210388	0.0151984	0.0253779	0.0139746	0.0224141	0.0159054	0.00922092	0.0141898	0.0324605	0.0105586	0.0106536	0.0249135	0.0715415	0.0451782	0.0484574	0.0704364	0.0651341	0.0374781	0.0669889	0.0571549	0.0445659	0.034095	0.020214	0.0133698	0.0107699	0.0101835	0.0090516	0.00964842	0.00925554	0.0115169	0.019744	0.0231216
le	0.0195126	0.0220764	0.0232207	0.0234653	0.0301126	0.0307452	0.0254005	0.0198233	0.0171864	0.00935668	0.0152554	0.0145172	0.00964785	0.00873029	0.0190464	0.0104437	0.0147607	0.0239641	0.0393706	0.0618935	0.0466049	0.0426273	0.0640348	0.052131	0.0651392	0.0377578	0.0231337	0.0185655	0.0211498	0.0119652	0.0129504	0.0102249	0.0124881	0.010939	0.0155968	0.0233904	0.0403345	0.0524373
repas	0.0247456	0.0289007	0.044525	0.0517312	0.0511463	0.0440362	0.0323546	0.0213794	0.0320689	0.021529	0.0271782	0.034277	0.0213662	0.0215389	0.0230705	0.0167345	0.0135917	0.0105741	0.0117713	0.0148283	0.0121046	0.0187542	0.0173035	0.0218896	0.0133259	0.0168048	0.0260817	0.0227842	0.031724	0.0251719	0.0217555	0.0222487	0.0196584	0.0307898	0.0386924	0.0279417	0.04394	0.0416816
risque	0.0395391	0.0366437	0.0288719	0.0502741	0.0559996	0.048422	0.0372208	0.0292857	0.0200663	0.0130163	0.0129678	0.00977876	0.00708151	0.00740199	0.00868432	0.00483233	0.00544399	0.00664919	0.0252007	0.031885	0.0247561	0.0277459	0.0202456	0.0337337	0.036214	0.0213433	0.0231124	0.0139478	0.0165514	0.00934665	0.0175372	0.0141905	0.0248065	0.0244904	0.0306366	0.0366359	0.048341	0.0971003
de	0.0335845	0.0827672	0.0743542	0.0948362	0.0869764	0.0717561	0.0634047	0.0452511	0.0325407	0.0151448	0.0226045	0.01251	0.00766241	0.00892485	0.0071972	0.00369649	0.00276222	0.0015685	0.00403841	0.00304137	0.0027766	0.00618849	0.00531123	0.00444125	0.00561384	0.00686009	0.0111727	0.00730846	0.0117563	0.00922206	0.014327	0.0119593	0.0254648	0.0225016	0.0368172	0.0311062	0.0420363	0.0705146
tout	0.0423493	0.0456463	0.0453243	0.0434118	0.0422674	0.0368874	0.0220154	0.0197281	0.0149025	0.0112849	0.0121542	0.00809013	0.00681753	0.00622453	0.0128207	0.00748422	0.00859897	0.00701887	0.0171569	0.00575406	0.0066013	0.0226985	0.00631679	0.00965404	0.00648215	0.0145539	0.0369406	0.0245721	0.0371013	0.0235393	0.0294709	0.0316054	0.0362819	0.0330841	0.05244	0.056414	0.0630247	0.0932815
calciner	0.0693446	0.0421301	0.0340651	0.0284524	0.0212225	0.0137409	0.0101088	0.0118371	0.00966908	0.00793853	0.00811927	0.00540211	0.00517214	0.00546795	0.00927966	0.0056639	0.00822244	0.00603764	0.0131144	0.00818827	0.00882667	0.0187156	0.00782205	0.0122766	0.012338	0.0141038	0.0319587	0.02604	0.0434242	0.0281276	0.034356	0.0418007	0.0515752	0.0385267	0.0623503	0.0750675	0.080666	0.0888474
</S>	0.0582767	0.0427564	0.0419978	0.0419739	0.0361434	0.0213496	0.0140594	0.0129047	0.0113272	0.00693838	0.00875488	0.00489317	0.00311638	0.00345515	0.00539698	0.00359407	0.00419199	0.00391658	0.00985457	0.0116013	0.00956254	0.0238293	0.0151417	0.0143152	0.031931	0.0274054	0.0323332	0.0262077	0.0266562	0.0175901	0.0169623	0.0192608	0.0330845	0.0215755	0.0455734	0.0756137	0.0847179	0.131737
