 	m	ú	b	h	u	ó	l	ω	n	g	i	e	b	ώ	ω	s	á	p	ε	n	g	ε	y	á	n	g	á	</S>
le	0.0226588	0.0314569	0.0150604	0.0107207	0.0126361	0.0116428	0.0140967	0.0220538	0.0593194	0.10592	0.0661107	0.0445555	0.0361987	0.0298956	0.0209513	0.0230933	0.0215074	0.0212668	0.0206977	0.0266111	0.0374492	0.0313393	0.0550216	0.054987	0.0514881	0.0490508	0.0570838	0.047126
voleur	0.0304582	0.129138	0.0945139	0.102095	0.0742052	0.120935	0.110357	0.124502	0.0624641	0.0481948	0.0321115	0.0190681	0.0106805	0.00834803	0.0033311	0.0024618	0.00241638	0.00475495	0.00358314	0.0016074	0.0051628	0.00158726	0.00259792	0.00265705	0.000837184	0.00101113	0.000523794	0.000397442
a	0.0338797	0.0421366	0.0568384	0.0475637	0.0572087	0.0835012	0.136728	0.0971268	0.0831418	0.07441	0.0483682	0.0506548	0.0402063	0.0457468	0.0216291	0.0092504	0.0106727	0.00583621	0.00526301	0.00345897	0.0133108	0.00660951	0.00640191	0.00621708	0.00289156	0.00181607	0.0039079	0.00522338
glissé	0.0476741	0.0339656	0.0276685	0.0316937	0.0361614	0.0384074	0.0223828	0.0191384	0.0237247	0.0217921	0.0298168	0.0276384	0.0244153	0.0266772	0.0312772	0.0295609	0.0528612	0.0353916	0.035293	0.0411492	0.0496119	0.0297578	0.0307733	0.0179846	0.0300102	0.0613969	0.0684112	0.0753646
sa	0.0397954	0.0356674	0.0335605	0.0342413	0.0337412	0.0322576	0.0268978	0.0205674	0.019535	0.0133226	0.0148035	0.0124893	0.0124929	0.0160411	0.0237121	0.0316829	0.0303674	0.0252317	0.0441869	0.0451549	0.0284392	0.0445294	0.0414915	0.0327053	0.0440547	0.0742466	0.0857296	0.103055
main	0.0214689	0.0215227	0.015654	0.0163861	0.0178275	0.0159814	0.015473	0.0107112	0.00957582	0.0102061	0.0133132	0.0170887	0.0197806	0.026268	0.0370942	0.0635451	0.0613825	0.0659603	0.0730806	0.0669964	0.0360475	0.0597052	0.0434618	0.0478822	0.0512077	0.0446919	0.0531703	0.0645171
dans	0.0231366	0.0219579	0.0174264	0.0159385	0.0149886	0.0155221	0.0130484	0.00903591	0.00652368	0.0054219	0.0100138	0.00861654	0.0093524	0.0135781	0.0205202	0.0310083	0.0430603	0.0567135	0.0618397	0.0639234	0.0594376	0.0671238	0.0599024	0.0552902	0.0578895	0.0722531	0.0741392	0.0923381
mon	0.0615662	0.0228781	0.0156672	0.0145989	0.0140534	0.018803	0.0150023	0.00645447	0.0054011	0.00434506	0.00548046	0.00393627	0.00445492	0.00825845	0.0187681	0.0228665	0.0357724	0.042247	0.0440083	0.053682	0.0343829	0.0460881	0.0566423	0.0427346	0.0556346	0.0771797	0.108011	0.161082
sac	0.055415	0.0265495	0.0146795	0.0110667	0.0095772	0.00750388	0.00209331	0.00109506	0.00111743	0.00100815	0.00170607	0.00203904	0.00277455	0.00579337	0.0192821	0.0438603	0.0553772	0.0692745	0.0826969	0.089264	0.0466292	0.0729557	0.0391118	0.0427721	0.0190468	0.0468002	0.0724839	0.158026
</S>	0.067795	0.0368791	0.0366338	0.0228357	0.0112869	0.01554	0.0120531	0.00431733	0.00439795	0.00729116	0.010245	0.00756338	0.00922894	0.0123615	0.0239569	0.0279456	0.0407909	0.0475677	0.0571419	0.0547315	0.038727	0.0492369	0.0358804	0.0217845	0.0359261	0.0593984	0.109525	0.138959
