 	o	l	ώ	b	h	i	á	b	ó	m	b	i	p	a	m	b	e	s	á	l	e	n	d	z	a	n	d	z	a	</S>
le	0.00845403	0.0140395	0.0145317	0.0138817	0.0145281	0.0153448	0.048333	0.0326495	0.0255054	0.0395985	0.0408411	0.0498276	0.0533364	0.0631149	0.0407755	0.0371624	0.0298604	0.0318407	0.0447913	0.0335121	0.0284744	0.0326381	0.032161	0.0314127	0.0344305	0.0413203	0.043724	0.0332737	0.0321416	0.0384949
pêcheur	0.00456726	0.00580931	0.00642731	0.00787538	0.00927387	0.0140033	0.0498356	0.157925	0.108809	0.177402	0.165949	0.135946	0.0520706	0.0213398	0.0161383	0.0108781	0.00460341	0.00227581	0.00478548	0.00168953	0.00365541	0.00450385	0.00372701	0.0069683	0.00661084	0.00685884	0.00541121	0.00363513	0.000660172	0.000364977
a	0.0268212	0.0219926	0.0435523	0.0448044	0.0585255	0.0929344	0.0847588	0.0707561	0.0660781	0.040961	0.0383112	0.030155	0.022623	0.0374351	0.0454899	0.0346949	0.0284758	0.0279323	0.0246868	0.0241946	0.0262466	0.0224253	0.0155705	0.0187186	0.0126356	0.0131331	0.00914612	0.00945039	0.00497856	0.00251196
conservé	0.0200627	0.0189979	0.0223775	0.0248953	0.0264692	0.030664	0.0353389	0.0384249	0.0346039	0.0330771	0.0420361	0.0457002	0.0485229	0.065125	0.0755457	0.0588998	0.0556589	0.037001	0.0347362	0.0310198	0.0207667	0.0199519	0.0159367	0.0197234	0.013973	0.0183636	0.0199519	0.022531	0.0307066	0.0389382
ses	0.0673805	0.0247362	0.018076	0.0151406	0.0196724	0.029562	0.0314501	0.0369818	0.041891	0.0396627	0.0481963	0.046889	0.0456379	0.0523235	0.0579403	0.0541322	0.0499771	0.0406678	0.0314896	0.033369	0.0224353	0.0209219	0.0200126	0.0209829	0.0167193	0.0196484	0.0214098	0.0228113	0.0214247	0.0284581
appâts	0.0163097	0.0112632	0.00846699	0.00923367	0.00596441	0.00576702	0.00483842	0.0136613	0.0129058	0.0146443	0.0258939	0.0165474	0.0232757	0.0180895	0.0205027	0.0297375	0.0410442	0.0245459	0.0473799	0.0334813	0.041726	0.073651	0.0739575	0.0867381	0.0765695	0.0653124	0.0557218	0.0619007	0.0337263	0.0471438
dans	0.026545	0.0186185	0.0191921	0.0211703	0.0208515	0.024533	0.0222607	0.0280294	0.0217315	0.0144273	0.0234508	0.0262256	0.0228058	0.0291204	0.0291059	0.0229211	0.0233447	0.0311913	0.0259925	0.0431071	0.0477136	0.0446396	0.044108	0.0500644	0.0425216	0.0466113	0.0387216	0.0567026	0.0615944	0.0726983
une	0.057745	0.0461973	0.0392959	0.0360432	0.0199577	0.019317	0.0158118	0.0187561	0.0190202	0.0147336	0.0361645	0.0250766	0.0195491	0.0212013	0.0172227	0.0172062	0.0207033	0.0218255	0.0227773	0.0256951	0.024863	0.0223618	0.0316285	0.0225956	0.0254885	0.0308598	0.0233158	0.0508582	0.0720528	0.181677
boîte	0.0559843	0.0469244	0.0339904	0.0225305	0.00968671	0.00640932	0.00652713	0.00796021	0.00880791	0.00795089	0.0175584	0.0121006	0.0143731	0.0168772	0.0148255	0.0186362	0.0221315	0.0230557	0.0134262	0.0153656	0.0210363	0.020182	0.033002	0.0306654	0.0526351	0.0581258	0.0300259	0.0761294	0.0770312	0.226045
</S>	0.053698	0.0496594	0.0468838	0.0426229	0.0314251	0.0150139	0.0124841	0.0127946	0.0110194	0.0105502	0.0145192	0.0128929	0.0153219	0.0141866	0.0158804	0.0167551	0.0184024	0.0134416	0.0134288	0.0154425	0.0171269	0.0160823	0.0224652	0.0286185	0.0347343	0.0493337	0.0436073	0.0722423	0.0955789	0.183788
