 	n	g	á	í	t	έ	ε	e	d	z	e	b	h	é	y	á	l	ó	n	g	ó	ó	e	b	é	e	y	é	é	d	z	a	r	í	b	á	a	m	o	r	o	m	ó	t	ω	m	b	í	l	i	</S>
j'	0.112015	0.299873	0.178858	0.119313	0.0690507	0.0311573	0.00306299	0.00276805	0.00225358	0.00254238	0.00258479	0.00355164	0.00345939	0.00554297	0.00730269	0.00766056	0.00580078	0.00469729	0.00397823	0.00598833	0.00516398	0.00405215	0.00431048	0.00370109	0.00338036	0.00491517	0.00386644	0.00305827	0.00422241	0.00426746	0.0048579	0.00419145	0.00454102	0.00362407	0.00441533	0.0049087	0.00400748	0.0034032	0.00382492	0.00363464	0.00358557	0.00229993	0.0034331	0.00397652	0.00262679	0.00473476	0.00372519	0.00501514	0.0049125	0.0056467	0.00623614
ai	0.0386213	0.013216	0.0294593	0.0499447	0.0390613	0.036802	0.0730527	0.0595016	0.0371226	0.041855	0.0519728	0.043057	0.0385829	0.0305769	0.0273136	0.0294384	0.0149161	0.0149771	0.0103229	0.0183795	0.0124322	0.0114961	0.00695636	0.00732723	0.0169422	0.010233	0.0155079	0.0202143	0.0169478	0.0134444	0.00852838	0.0156129	0.0175879	0.0146083	0.0166357	0.00830293	0.00669776	0.00817782	0.0113213	0.00623832	0.0122295	0.00875908	0.00463843	0.000923044	0.00405139	0.00358714	0.0042859	0.00308851	0.00447223	0.003795	0.0067833
vu	0.0137442	0.0119759	0.00598189	0.00839215	0.0184461	0.0221404	0.0325939	0.0141435	0.0168796	0.0192353	0.0157622	0.0198208	0.0192413	0.0185876	0.0233404	0.0195639	0.0195806	0.0175374	0.0254828	0.0174564	0.0162105	0.0174062	0.013466	0.0171517	0.0165887	0.0197177	0.0183217	0.0150806	0.0126628	0.0189949	0.0239181	0.0263874	0.0248937	0.0272559	0.0247832	0.0231542	0.0271592	0.043939	0.0421022	0.0382812	0.0368041	0.0253475	0.0178973	0.00824942	0.0124315	0.0144427	0.0131642	0.00978203	0.0104964	0.0148051	0.00919865
une	0.0160434	0.0301172	0.0299774	0.0119879	0.00854226	0.010919	0.0118096	0.0247707	0.0219102	0.022022	0.0125633	0.0157276	0.0132217	0.00957246	0.00961202	0.0173506	0.0199963	0.0237096	0.0198343	0.0157915	0.0170522	0.0320511	0.0281819	0.0250096	0.0254445	0.0217237	0.0202709	0.0264497	0.0191477	0.0230068	0.0247652	0.0311933	0.0231565	0.0235092	0.0246678	0.0174061	0.0242102	0.0140997	0.0164701	0.0141891	0.0158428	0.013231	0.0129569	0.0218024	0.01531	0.0212059	0.0170195	0.0203425	0.0211683	0.0210156	0.0226209
nappe	0.00399267	0.00258193	0.0028422	0.00227821	0.00202484	0.0075116	0.00433841	0.00575812	0.0082476	0.00984501	0.00480532	0.0115269	0.00914024	0.0103694	0.00952024	0.00861898	0.00974837	0.0121585	0.0104374	0.0140542	0.0119489	0.0098355	0.00777973	0.0101828	0.0119498	0.0123355	0.0155899	0.0146446	0.0140247	0.0254756	0.0231123	0.0301205	0.0269648	0.0500093	0.0289516	0.0412737	0.0282098	0.0356264	0.0408711	0.0309097	0.0339395	0.0589131	0.0547887	0.0510496	0.0544876	0.0329144	0.0302118	0.0183775	0.0147535	0.0150633	0.0158847
de	0.0109758	0.00477901	0.0030735	0.00258832	0.00163859	0.00525272	0.00993069	0.00933004	0.00986006	0.00768747	0.00920844	0.0108663	0.00740652	0.00879128	0.0113076	0.0131245	0.0140588	0.0178899	0.0163921	0.0163237	0.0199099	0.0192089	0.0227613	0.040487	0.0337523	0.039077	0.0488581	0.0539915	0.0399009	0.0426153	0.0494365	0.045455	0.0369458	0.0379382	0.0245219	0.0182858	0.0261579	0.02385	0.0189802	0.0380582	0.0201187	0.0176362	0.013781	0.00833258	0.0114311	0.010534	0.0113662	0.00980395	0.00889338	0.00780251	0.00962335
sang	0.0205155	0.010536	0.0131102	0.00650884	0.00791945	0.0185759	0.0163955	0.0139342	0.012533	0.0128018	0.0139049	0.0147093	0.0135554	0.0155361	0.016413	0.0213871	0.0215259	0.0247218	0.0235161	0.0232789	0.0280954	0.019672	0.0178808	0.0193295	0.0165412	0.0220644	0.025696	0.0220072	0.0219218	0.0170011	0.0188424	0.0202801	0.0150496	0.0261873	0.0162833	0.0190038	0.0195381	0.023669	0.0209375	0.0246304	0.022928	0.0245502	0.0237075	0.0173859	0.0190615	0.0166145	0.0199064	0.0193523	0.0243788	0.0273505	0.0487547
là	0.0101822	0.010199	0.0160781	0.0144962	0.00610005	0.0161781	0.0104069	0.0133332	0.0156805	0.0128924	0.012108	0.0139635	0.0122476	0.0148291	0.0152263	0.0227292	0.0262015	0.0372784	0.032212	0.0375123	0.0302716	0.0210488	0.0212867	0.021705	0.0216278	0.0291162	0.0234231	0.0194198	0.0194167	0.0198151	0.020694	0.0189418	0.0174643	0.0157617	0.0166012	0.0160325	0.0131962	0.0129844	0.0169687	0.0167992	0.0173338	0.016489	0.0141202	0.0152488	0.014964	0.0178654	0.0236473	0.021169	0.0258966	0.0246594	0.0661772
où	0.0245226	0.0298786	0.0356755	0.0246058	0.0153119	0.0156708	0.0117508	0.0109796	0.010392	0.00918887	0.00801147	0.00937626	0.00769083	0.00855302	0.00784115	0.0114238	0.0110907	0.0182719	0.018451	0.0181024	0.0175307	0.0128424	0.0160416	0.020351	0.0184483	0.0286071	0.0207539	0.0170826	0.0168073	0.0193912	0.0227544	0.0176691	0.0147283	0.0162139	0.0178327	0.0207394	0.0152614	0.016678	0.0142441	0.0150266	0.0167203	0.0177649	0.0178498	0.0146251	0.0175462	0.0190354	0.0255237	0.0287075	0.0381485	0.0417785	0.0965071
une	0.0321944	0.022762	0.0274746	0.0182938	0.0133713	0.0157138	0.0117548	0.0080812	0.00875206	0.00736177	0.00718125	0.00855698	0.00748524	0.00920825	0.0106738	0.0164968	0.0186839	0.0285698	0.0241682	0.0222456	0.0184359	0.0160866	0.0185093	0.0199077	0.0193211	0.0201921	0.0227352	0.0228475	0.0170352	0.0157796	0.0184938	0.0181939	0.0174571	0.0171239	0.0170235	0.0168751	0.0100139	0.0119513	0.0139393	0.0114219	0.0147345	0.0109804	0.00861849	0.0081461	0.0135893	0.0189643	0.0266528	0.0337331	0.0458553	0.0504274	0.105925
