 	b	a	r	e	b	ó	n	g	ó	n	d	z	a	á	t	á	b	h	i	i	m	b	ώ	n	g	ω	m	í	l	o	n	d	a	l	á	k	ó	ó	</S>
les	0.19529	0.0530255	0.0205232	0.0134386	0.0136918	0.0172705	0.019495	0.0267126	0.033743	0.0342664	0.0441562	0.0509219	0.0462303	0.0349217	0.024406	0.0224028	0.0240596	0.0121114	0.0217141	0.0160327	0.0119033	0.00950466	0.0113196	0.0109823	0.0197985	0.017215	0.013849	0.0120212	0.0167709	0.0115551	0.0171803	0.0131595	0.011521	0.0146711	0.0118044	0.011792	0.0164048	0.0216894	0.0224448
habitants	0.0440404	0.0461105	0.0677899	0.123119	0.100703	0.10277	0.0574744	0.0403097	0.0189336	0.0200435	0.0236	0.0203578	0.0172419	0.019502	0.0214384	0.0259654	0.0289301	0.0152208	0.0220034	0.0107693	0.00784009	0.00720428	0.0147341	0.0118215	0.00972059	0.012502	0.0125465	0.0106097	0.0106829	0.0105814	0.00969005	0.00995497	0.00755559	0.00709255	0.00727799	0.00515229	0.00859145	0.00629701	0.00382234
d'	0.0249764	0.0210806	0.0200998	0.0145102	0.015636	0.0191051	0.0239691	0.0238207	0.0234932	0.0247264	0.033702	0.030673	0.0371444	0.0300246	0.0213466	0.0210399	0.0323362	0.0458262	0.0384457	0.041922	0.0286163	0.0269947	0.0436356	0.0421331	0.0357851	0.0284429	0.0249565	0.0288779	0.0277332	0.0320348	0.02175	0.0181345	0.0167258	0.0169997	0.0140764	0.0129357	0.0147372	0.0147921	0.00676048
ongondza	0.01598	0.0240322	0.0354952	0.0394909	0.0341304	0.0374049	0.0476448	0.05966	0.0498089	0.0347857	0.0315027	0.0284294	0.0337109	0.0318322	0.0262256	0.0210654	0.0220768	0.0263953	0.0220822	0.0368131	0.0249423	0.0239322	0.0162573	0.0211345	0.0148336	0.0117635	0.0166668	0.015162	0.0152819	0.0133567	0.0124577	0.0122653	0.0113766	0.0110812	0.013768	0.0188045	0.0216914	0.0268172	0.0398407
ont	0.0124493	0.0149469	0.0173648	0.0171131	0.0177065	0.0190013	0.0205365	0.0237698	0.0226181	0.0211351	0.0196895	0.0234372	0.0286964	0.0306868	0.0431136	0.0314854	0.0271538	0.0501826	0.0526603	0.0538246	0.0370805	0.0475618	0.0212496	0.0244763	0.019069	0.0141661	0.0222129	0.0243996	0.0237136	0.0227163	0.0148548	0.0153187	0.0133032	0.0105287	0.0129863	0.0194566	0.0236125	0.0290726	0.0566495
collecté	0.0163053	0.0118512	0.012415	0.0157897	0.0182814	0.0214718	0.0222463	0.0188978	0.0197186	0.0173694	0.0161866	0.0168895	0.0199477	0.0202478	0.027197	0.0282148	0.0378318	0.0590307	0.0509315	0.0434301	0.0404786	0.0419839	0.0272793	0.0268497	0.0230918	0.0225003	0.0269074	0.02488	0.0256487	0.0226976	0.0205327	0.0231523	0.0218653	0.0206615	0.0216977	0.0228126	0.0237136	0.0253462	0.043647
de	0.0148813	0.0163957	0.0174617	0.0174971	0.0174164	0.0172179	0.0176689	0.0178502	0.0169358	0.0167362	0.0163151	0.0162044	0.0165719	0.0166998	0.018185	0.0186355	0.0238869	0.0361289	0.0465349	0.0384528	0.0381551	0.0414983	0.0327868	0.0361459	0.02713	0.0223844	0.025292	0.0275152	0.0240474	0.0186413	0.0212098	0.0198659	0.020136	0.0215819	0.0285517	0.0360776	0.0395285	0.0442445	0.0575311
l'	0.0372352	0.0279966	0.0207736	0.0209822	0.0225114	0.022079	0.0228206	0.0201261	0.0117643	0.00979085	0.00925883	0.00880185	0.0093907	0.00974771	0.0110335	0.0115074	0.0181488	0.0277301	0.0393153	0.0230794	0.0270859	0.0355294	0.0305832	0.0341742	0.0242486	0.0227029	0.022918	0.0242444	0.0209582	0.019899	0.0224437	0.0200574	0.0200781	0.0230634	0.0301723	0.0370917	0.0439395	0.0519876	0.104729
argent	0.00819427	0.00935028	0.00910539	0.0101972	0.0107631	0.0111142	0.00993616	0.00892574	0.0100792	0.00979479	0.0104185	0.0106159	0.00721423	0.00690633	0.0104805	0.014058	0.0187493	0.0160573	0.0205973	0.0279172	0.0260953	0.0272318	0.0380485	0.0428798	0.0328709	0.027724	0.0231192	0.0290016	0.0238172	0.0223727	0.0301123	0.0226566	0.0212705	0.0355525	0.0619118	0.0409121	0.066411	0.0683814	0.119156
pour	0.0163164	0.0126014	0.0122964	0.0109391	0.0118349	0.0121588	0.00956559	0.00493378	0.00376381	0.00333938	0.00335457	0.00408801	0.00419228	0.00506781	0.00814384	0.0077441	0.0151942	0.0231394	0.0219323	0.0202455	0.0331252	0.0486954	0.0614384	0.0712845	0.0410949	0.0308701	0.0321475	0.037017	0.0302344	0.0234508	0.0193383	0.0163436	0.0187364	0.022222	0.0451942	0.0369233	0.0505725	0.0651325	0.105327
