 	p	ó	s	á	y	á	b	á	n	a	é	d	í	l	a	w	á	k	a	á	</S>
il	0.0318625	0.0373115	0.0704559	0.0652493	0.0256897	0.0543733	0.0957613	0.0724833	0.0583083	0.0863884	0.0556664	0.0480732	0.0350656	0.0267448	0.0189577	0.0234046	0.0299811	0.0668005	0.0305205	0.0326408	0.0342614
n'	0.137916	0.155508	0.116988	0.0764256	0.104188	0.0626572	0.0413862	0.0229021	0.0123008	0.0148258	0.010994	0.0142066	0.0220168	0.0236596	0.0338994	0.0128574	0.0127903	0.0244822	0.0255498	0.0205852	0.0538604
a	0.125191	0.0849023	0.0484952	0.0322543	0.0405733	0.0262689	0.0301095	0.0149008	0.0139849	0.00787148	0.0238606	0.029548	0.0585323	0.0467115	0.050806	0.118901	0.0508235	0.0656564	0.0522799	0.0469461	0.0313832
pas	0.0925616	0.0915187	0.0733631	0.0771373	0.0637727	0.0440193	0.0460425	0.0571855	0.0332635	0.0439353	0.0421886	0.043931	0.0757591	0.0359318	0.0433692	0.0654634	0.0176774	0.00628363	0.00653875	0.0184356	0.0216219
d'	0.105193	0.0516562	0.0252569	0.0170143	0.0173932	0.0146013	0.0119933	0.00920217	0.00599955	0.00401791	0.00829441	0.00926226	0.0176596	0.0139529	0.0480084	0.126528	0.112242	0.112522	0.0767497	0.10891	0.103543
amour	0.0970439	0.0554705	0.0422744	0.0453817	0.0339157	0.0201255	0.0241386	0.0230118	0.0229735	0.0178195	0.0389961	0.0307123	0.0333627	0.0332665	0.0316801	0.0838938	0.135683	0.0715906	0.0530072	0.0390933	0.0665591
pour	0.0745209	0.0344719	0.0214411	0.0267098	0.036517	0.0288781	0.0288433	0.0252459	0.0229768	0.0235785	0.0391935	0.0259418	0.0348163	0.0293576	0.0338925	0.101909	0.15573	0.0907263	0.0493986	0.0493522	0.0664992
ses	0.0788604	0.0488552	0.0378255	0.0347217	0.0269111	0.0219891	0.0255516	0.0288984	0.0347381	0.0895783	0.088155	0.0461265	0.0477984	0.054103	0.0402025	0.0459685	0.0456521	0.0469008	0.0356421	0.0381272	0.0833945
enfants	0.164665	0.102382	0.069061	0.0520022	0.0366113	0.0244867	0.0258241	0.0246294	0.0213131	0.0406419	0.0359341	0.0283002	0.0368217	0.0223768	0.0169014	0.0351668	0.0271709	0.0447836	0.0429866	0.0424381	0.105503
</S>	0.145379	0.106299	0.0855269	0.0790399	0.0648208	0.0280974	0.0302929	0.0246511	0.0182237	0.0161176	0.0178189	0.0128093	0.0252223	0.0231143	0.0192793	0.0548288	0.0347278	0.0448758	0.0535821	0.0554948	0.0597985
