 	t	á	á	y	a	b	í	s	í	a	d	í	í	a	m	b	ε	s	í	w	a	m	έ	n	d	e	</S>
notre	0.00536083	0.00821745	0.058569	0.0320267	0.021993	0.00849867	0.0043557	0.00692672	0.0147448	0.0166225	0.0265675	0.0543571	0.0898104	0.142208	0.143988	0.123341	0.0576896	0.0400557	0.0345006	0.0312217	0.0083265	0.0116999	0.00859819	0.00929666	0.012456	0.0147534	0.0138148
père	0.0800277	0.196063	0.118332	0.107397	0.0957618	0.107195	0.148073	0.0422266	0.0163887	0.00929164	0.0131182	0.00909211	0.00517956	0.00662421	0.00809639	0.0056195	0.00291989	0.00351501	0.0033329	0.00165427	0.00207434	0.00726479	0.00253519	0.0022666	0.00339286	0.00172803	0.00082937
a	0.0439622	0.0282008	0.0332375	0.0409742	0.0464222	0.10467	0.0783277	0.10148	0.0609151	0.049661	0.046519	0.0720322	0.0661147	0.0373776	0.0236703	0.0191674	0.0190479	0.0173584	0.0171206	0.0169313	0.0078415	0.0107062	0.01044	0.0103467	0.0121256	0.0130897	0.0122602
l'	0.0476356	0.0382603	0.0304933	0.0339289	0.0267623	0.0275215	0.0269436	0.0231823	0.0222372	0.0336586	0.0506442	0.039418	0.084205	0.0569533	0.0318603	0.0419187	0.0462903	0.0337495	0.0476293	0.0365164	0.024404	0.0317958	0.0318726	0.0289405	0.0375044	0.0352516	0.0304225
habitude	0.0257574	0.0389178	0.0281243	0.030726	0.0311577	0.0288376	0.022098	0.0214817	0.0162013	0.0181154	0.0175529	0.0220662	0.0372906	0.031255	0.0367656	0.0509583	0.0361317	0.0393365	0.0504894	0.0536808	0.0545694	0.0569362	0.0545426	0.0534832	0.0544951	0.0496571	0.0393721
de	0.14555	0.0983836	0.0589803	0.0492567	0.0437523	0.0328461	0.0387515	0.0250739	0.0226991	0.0174003	0.0105358	0.00807752	0.00787121	0.00583939	0.00684202	0.0100181	0.0205189	0.0227262	0.0234352	0.0222913	0.0133055	0.0119527	0.0224361	0.0199358	0.0355622	0.0296858	0.196272
culpabiliser	0.0502625	0.0336315	0.0312612	0.0319904	0.0337952	0.0366033	0.0368973	0.0521754	0.0518628	0.0495315	0.0281174	0.023678	0.0244255	0.0172648	0.0203804	0.0296515	0.0473957	0.0482499	0.0351864	0.0291398	0.0221144	0.023918	0.0246435	0.02245	0.0502709	0.0468815	0.0982213
les	0.0551738	0.058671	0.0626388	0.0488852	0.0645134	0.0417337	0.026519	0.0172016	0.0209314	0.0172489	0.010877	0.012505	0.0185176	0.0179855	0.0188357	0.0247942	0.0339514	0.0349357	0.0303556	0.0288963	0.0192027	0.0228977	0.0293042	0.0421923	0.0656798	0.056131	0.119421
autres	0.131531	0.127904	0.0970164	0.0709043	0.0704959	0.0299801	0.0131352	0.00499123	0.00486368	0.00376347	0.00223909	0.00265775	0.00550739	0.00489605	0.0077944	0.00924638	0.0106262	0.0220005	0.0217737	0.0148806	0.0206855	0.0201604	0.0226559	0.0231815	0.0706845	0.0498221	0.136603
</S>	0.0891857	0.0969683	0.0447543	0.034457	0.0277032	0.0194332	0.0180417	0.0167099	0.0105034	0.00932716	0.00719094	0.00446907	0.00455072	0.00432311	0.0063908	0.00742049	0.0183409	0.0134263	0.0530111	0.0368362	0.0523486	0.0513242	0.0701014	0.0743931	0.0700087	0.0722424	0.0865381
