 	k	o	b	h	á	e	p	ω	r	ω	r	ω	b	a	á	ó	y	á	á	l	a	m	w	á	n	a	a	n	y	ω	ω	</S>
prends	0.0172501	0.0186757	0.0217802	0.0306871	0.0420164	0.0391929	0.0569629	0.0479422	0.065715	0.0518696	0.0530624	0.0431535	0.0415612	0.0257143	0.0420828	0.0293017	0.0295957	0.0239193	0.02774	0.0420368	0.0448821	0.0284586	0.00742297	0.0171164	0.00922661	0.0213737	0.0134527	0.0266004	0.0193226	0.021799	0.0214379	0.018647
les	0.0626304	0.0455379	0.072507	0.0699156	0.101852	0.0678708	0.0761834	0.0429784	0.0407492	0.0396388	0.0583744	0.0527722	0.0593771	0.0342055	0.0304302	0.018436	0.0322668	0.0175476	0.0110951	0.0137388	0.00461537	0.00333433	0.00470095	0.00511869	0.00414055	0.0044948	0.00366258	0.0027733	0.00331704	0.00255944	0.00471876	0.00845689
feuilles	0.0245416	0.0287936	0.0253292	0.0282599	0.0418872	0.0526289	0.0502132	0.0710108	0.0363241	0.0437188	0.0235786	0.0350453	0.0273959	0.0234143	0.0310176	0.0343305	0.0300488	0.074508	0.0872536	0.0328748	0.0556752	0.0326732	0.0224684	0.012948	0.0140681	0.0138579	0.00583928	0.012464	0.00693763	0.0121504	0.00633634	0.00240662
epororo	0.0387153	0.0472774	0.0515333	0.0522038	0.0723991	0.0643971	0.0424086	0.0485053	0.0295532	0.0448017	0.0336491	0.0415942	0.0292773	0.0278041	0.0258805	0.0174797	0.0160228	0.00813287	0.0148823	0.0124465	0.0164561	0.0397437	0.00969929	0.0210726	0.0183958	0.016312	0.0195286	0.0193807	0.0249164	0.0295056	0.0292065	0.0368184
pour	0.0128914	0.0228076	0.0362576	0.0442889	0.0541797	0.0498524	0.0495762	0.0558636	0.0396926	0.0377282	0.0320037	0.0254348	0.0253794	0.027806	0.02222	0.019373	0.0269226	0.0156744	0.0157781	0.0156633	0.019967	0.0353636	0.0216291	0.0331519	0.0320199	0.0463173	0.0232547	0.0233695	0.0230459	0.0276911	0.0333896	0.0514069
nettoyer	0.0411217	0.0333511	0.0304131	0.0313949	0.0312631	0.0300425	0.0286015	0.0263925	0.0214477	0.0157366	0.0137328	0.015007	0.0163338	0.022471	0.0198219	0.0187086	0.0282775	0.0213559	0.0187128	0.0373514	0.029676	0.0292194	0.0223671	0.0280425	0.0277845	0.0502028	0.0248537	0.0332179	0.0328894	0.0435866	0.078117	0.0985058
les	0.0307257	0.0306491	0.0325396	0.0317062	0.0339461	0.0312607	0.0339019	0.0428879	0.0498126	0.0507434	0.0435588	0.0341853	0.0356334	0.0436153	0.0343105	0.0276119	0.0272549	0.0208432	0.0209986	0.0391428	0.0326242	0.0385744	0.0158561	0.0192496	0.0152423	0.0173992	0.0162491	0.0138991	0.0135319	0.0292364	0.0381009	0.0547091
fesses	0.0684584	0.046182	0.0367179	0.0306718	0.027004	0.0181617	0.0196948	0.0294094	0.0449961	0.0622586	0.0685281	0.0522898	0.0512376	0.0402705	0.0640353	0.0294318	0.0364357	0.0188882	0.0144526	0.0308009	0.0108954	0.00803279	0.00249879	0.00279715	0.00267607	0.00811135	0.00360537	0.0122962	0.0113257	0.0216654	0.044456	0.0817146
de	0.0863084	0.047845	0.0308506	0.0260866	0.0315805	0.0251079	0.0197196	0.0270741	0.0416661	0.0556259	0.049201	0.0366673	0.0325541	0.0259273	0.0630958	0.0478072	0.0766802	0.0366614	0.0239482	0.0169416	0.00692263	0.0105867	0.000899659	0.00293428	0.00188199	0.0114274	0.00481097	0.0114553	0.0104155	0.019717	0.035058	0.0825417
l'	0.0771746	0.0492809	0.0380263	0.0296815	0.0248985	0.0186005	0.0137119	0.0211939	0.0245731	0.0365596	0.0377822	0.0372998	0.0369813	0.0340819	0.0332614	0.0318343	0.0175272	0.0110634	0.0159152	0.0160127	0.0149622	0.0118977	0.0039382	0.00861948	0.00737345	0.0158641	0.0130089	0.0189797	0.0253952	0.0457039	0.0936164	0.13518
enfant	0.0510123	0.0438964	0.0410799	0.0375249	0.0288171	0.0175978	0.013543	0.0134312	0.0120777	0.0116002	0.0116451	0.0112931	0.0102855	0.00781742	0.00778618	0.00394319	0.00534126	0.00394878	0.00432179	0.0076484	0.00705381	0.00863545	0.00303489	0.00519021	0.0046643	0.0144292	0.0116604	0.0434143	0.0547734	0.113724	0.151352	0.237457
</S>	0.11135	0.069157	0.0584989	0.0574187	0.0519613	0.0381058	0.0324072	0.0235889	0.0238608	0.0161801	0.0134206	0.0128872	0.0114317	0.0118403	0.0132367	0.0142743	0.0140813	0.00546442	0.00622116	0.0135449	0.0135008	0.0138566	0.00204368	0.0136567	0.0103614	0.0205194	0.0202845	0.0265753	0.0322091	0.0516332	0.0873957	0.109032
