 	a	b	v	ú	ε	b	ó	b	á	a	f	u	u	l	á	l	a	n	g	á	t	s	í	n	a	n	g	á	í	t	ó	n	i	o	p	έ	b	á	a	b	e	a	</S>
mes	0.126908	0.0524197	0.00750273	0.00692629	0.00968123	0.017964	0.0130396	0.0167945	0.0342941	0.0511887	0.0538093	0.0371739	0.0420977	0.0432165	0.0300472	0.0354337	0.0367675	0.0281971	0.0428152	0.0168612	0.0181446	0.0115153	0.00364735	0.00430041	0.00468543	0.00877033	0.0105904	0.0174422	0.0108618	0.00530645	0.00572575	0.00599792	0.00861711	0.00765607	0.0144436	0.0188803	0.0216348	0.0228166	0.0231092	0.0238089	0.0187435	0.0127024	0.0174615
beaux-parents	0.0823073	0.100614	0.0508827	0.0766762	0.0671211	0.0263305	0.0164775	0.00692879	0.0111248	0.0191123	0.02428	0.00862304	0.0115289	0.0255801	0.0203413	0.0249133	0.0322071	0.0171433	0.0122909	0.0174973	0.0119314	0.00506766	0.00796922	0.0056341	0.00615928	0.00753525	0.00905374	0.0147335	0.0152792	0.0124094	0.0187752	0.019245	0.0190182	0.0157307	0.0280771	0.0348917	0.0328932	0.0228074	0.0217986	0.016601	0.0142454	0.00334526	0.00481839
boudent	0.0681873	0.0381493	0.0392995	0.024697	0.0263333	0.032756	0.0499219	0.0456453	0.0463388	0.045645	0.0392014	0.031985	0.0350546	0.03134	0.0386722	0.0338011	0.0213496	0.0196369	0.011964	0.0148999	0.0185732	0.00763994	0.0174424	0.011993	0.0164066	0.0151392	0.0121473	0.0101863	0.0120637	0.0156877	0.0143568	0.0181169	0.0129339	0.0184749	0.0171981	0.0130333	0.0144662	0.0142016	0.0101481	0.00980361	0.00695571	0.00888506	0.00926863
contre	0.0292532	0.0216836	0.0282484	0.0393888	0.0390462	0.0307601	0.0283555	0.0299821	0.0267391	0.0213932	0.0171154	0.0239415	0.0217011	0.0237473	0.0241562	0.0260468	0.0162173	0.0252222	0.00946518	0.0131246	0.011509	0.0225219	0.0139171	0.0136768	0.00972478	0.00928982	0.0138878	0.00914028	0.018251	0.0152977	0.0154933	0.0194132	0.0327836	0.0184895	0.0251603	0.0178449	0.0239839	0.01554	0.0209196	0.029138	0.0407767	0.0450087	0.0626441
moi	0.0310937	0.0245223	0.0260981	0.0252397	0.0261769	0.0263845	0.0210542	0.0219699	0.0193011	0.0202307	0.01768	0.0244264	0.0214217	0.0317868	0.018957	0.0272529	0.0227815	0.0330409	0.0233881	0.0220295	0.0216882	0.0341867	0.0226583	0.0250625	0.0227675	0.0238301	0.0420483	0.0238767	0.036142	0.0209737	0.0127425	0.00566205	0.0111192	0.0153665	0.0158311	0.0139092	0.0124567	0.0136917	0.021572	0.0180078	0.0249935	0.0247868	0.0517908
parce	0.0312226	0.0120443	0.016004	0.0179357	0.0218841	0.0254185	0.0245092	0.0220094	0.0179061	0.0160353	0.0130822	0.016174	0.0153008	0.0133097	0.00563657	0.0110271	0.0110225	0.0164661	0.025688	0.027071	0.0380099	0.0348706	0.0497324	0.0353618	0.0393107	0.0375126	0.0540204	0.0490593	0.0546688	0.0430107	0.0308659	0.0137171	0.0118925	0.0111859	0.00805296	0.00841711	0.00926623	0.00949443	0.0150114	0.0118916	0.0135184	0.0192024	0.0421797
que	0.0379342	0.0164591	0.027207	0.0212731	0.0246509	0.0352453	0.0512075	0.0319399	0.0537019	0.0361756	0.0252728	0.0272085	0.0223347	0.0252234	0.00708738	0.0111992	0.0166805	0.0244276	0.0238645	0.0216181	0.0203538	0.0312878	0.0249079	0.0220859	0.0247061	0.016982	0.0408489	0.0234261	0.0287734	0.0208343	0.0170807	0.0110389	0.0157505	0.0231351	0.0167967	0.0116301	0.0074984	0.00656294	0.0114214	0.00766848	0.0124504	0.0159471	0.0481021
j'	0.0241542	0.0223129	0.0303914	0.0280195	0.0259045	0.0228287	0.0344545	0.0256152	0.0266103	0.0164031	0.0123654	0.0174188	0.0125878	0.0138458	0.00649629	0.0135877	0.0113819	0.0217845	0.0146744	0.0171291	0.0190885	0.031589	0.0320546	0.0306863	0.0275271	0.0288174	0.0500651	0.0408849	0.0662003	0.03498	0.0268877	0.0128623	0.0145262	0.00618682	0.00567824	0.00659916	0.00759527	0.00735594	0.0104114	0.0126623	0.0224754	0.0330179	0.073882
ai	0.0139959	0.011651	0.0128164	0.0116953	0.0110589	0.00890639	0.00600554	0.00472028	0.00430142	0.00414794	0.00411869	0.00436766	0.00396804	0.00484923	0.00437332	0.00479726	0.00483882	0.00534293	0.00565351	0.00750162	0.011755	0.0192512	0.033852	0.0233864	0.0297912	0.0356403	0.0651565	0.0775525	0.12383	0.13884	0.0899127	0.0574813	0.0232381	0.00742105	0.0074031	0.00668364	0.00846935	0.0069181	0.0079256	0.0108112	0.0153794	0.02127	0.0389217
refusé	0.0562601	0.0200487	0.0167987	0.0108983	0.0104394	0.00982513	0.0112798	0.00883139	0.0107357	0.00911892	0.0105945	0.00898587	0.00768448	0.00859683	0.0106897	0.0138378	0.0205553	0.0165772	0.0261953	0.0332557	0.0385972	0.0303316	0.0478522	0.0391861	0.0432611	0.0307506	0.0472209	0.0553436	0.0489275	0.0506006	0.0393919	0.0292771	0.0275329	0.0117475	0.010134	0.0088308	0.0103776	0.0094724	0.0126176	0.0135452	0.0162608	0.0216066	0.0359253
