 	w	a	l	á	a	k	y	á	e	k	u	l	a	m	í	b	o	m	a	l	á	m	b	é	b	h	á	</S>
il	0.110688	0.153892	0.227597	0.187079	0.132938	0.0622958	0.0171956	0.0247121	0.010221	0.00860922	0.00494774	0.00295366	0.00305549	0.00182614	0.00532311	0.0029577	0.00487765	0.00575498	0.0105136	0.0058192	0.00298101	0.00235207	0.00184102	0.00188598	0.0020568	0.00196188	0.00179428	0.00186979
tend	0.0151699	0.0153899	0.0150315	0.0218065	0.0129012	0.0456373	0.048845	0.0650974	0.146633	0.103536	0.107669	0.132071	0.0816997	0.0619295	0.0353632	0.025999	0.00908588	0.007918	0.00571574	0.00364168	0.00282243	0.00552616	0.00744785	0.00199634	0.0023853	0.00175419	0.00423697	0.0126904
des	0.0164829	0.0336873	0.0540978	0.0791755	0.0649725	0.0462926	0.0509676	0.0392026	0.0678168	0.0541329	0.0475455	0.0325655	0.0290458	0.0516775	0.0693224	0.0501285	0.019926	0.0306008	0.0177496	0.0171237	0.0121127	0.0129516	0.0111952	0.00996665	0.0103826	0.0126588	0.0170074	0.0412113
pièges	0.0154053	0.0172559	0.0182043	0.0187785	0.0191486	0.0153416	0.0108242	0.0103284	0.00914767	0.016047	0.0346031	0.0363093	0.0513309	0.0356304	0.031641	0.0348139	0.0351232	0.0452505	0.0665442	0.0514883	0.0638109	0.054272	0.0611542	0.0260986	0.0332983	0.0330937	0.0613547	0.0937013
en	0.0104111	0.00593829	0.00582592	0.00605844	0.00819509	0.00864189	0.00775013	0.00700591	0.0106521	0.0142296	0.0273894	0.0308249	0.0309766	0.0316735	0.0314082	0.0313873	0.0292775	0.029745	0.0202585	0.0240211	0.0371001	0.0873018	0.104332	0.0693759	0.0557199	0.0700283	0.0950887	0.109383
bois	0.014747	0.0181964	0.0193574	0.0204746	0.0194424	0.0201521	0.0209065	0.0224293	0.0215867	0.0182467	0.0172342	0.0158094	0.0183915	0.0171161	0.0125535	0.0159999	0.0232653	0.0433804	0.0468161	0.0387478	0.0385	0.0410212	0.0557684	0.0462729	0.072596	0.07183	0.0899616	0.139196
pour	0.0153659	0.0171679	0.0163917	0.0142363	0.0159386	0.018087	0.0182016	0.0185732	0.0198634	0.021866	0.0237294	0.0201753	0.0212032	0.0205219	0.0150857	0.011678	0.0164915	0.0395468	0.0486245	0.0485899	0.0513599	0.059253	0.068836	0.0675976	0.0700234	0.0716662	0.079024	0.0909022
prendre	0.0171448	0.0172938	0.0167971	0.0171963	0.0165906	0.0175228	0.0171615	0.017469	0.0180125	0.0220056	0.035095	0.0384811	0.0369	0.038252	0.0340055	0.0326854	0.0311115	0.0244935	0.0279099	0.0362465	0.047297	0.0538913	0.0577031	0.0608693	0.0614412	0.066053	0.0701409	0.0702299
les	0.0204762	0.0210971	0.01937	0.0215316	0.0183427	0.0208828	0.0188489	0.02053	0.017857	0.0227342	0.0286252	0.0301213	0.0277427	0.0290004	0.0266443	0.0258479	0.0258414	0.0246713	0.0286162	0.0330975	0.0415095	0.0530704	0.0531458	0.0688431	0.0627008	0.0791165	0.0785523	0.0811829
hérissons	0.01209	0.00983012	0.0101032	0.011601	0.0132352	0.0136348	0.0173246	0.0239482	0.0159605	0.0197975	0.0202578	0.0129074	0.0182579	0.0126076	0.0110789	0.0105625	0.0110802	0.0209342	0.0398698	0.0340804	0.0424539	0.0576815	0.0790251	0.0682877	0.077613	0.0944945	0.113383	0.127899
</S>	0.0129925	0.0136342	0.0130051	0.0142649	0.013952	0.0196323	0.017903	0.0148959	0.0232927	0.0272729	0.0398852	0.0438848	0.0420036	0.0387364	0.0304316	0.0330517	0.033397	0.0273042	0.0259387	0.0212197	0.0259511	0.0339826	0.03915	0.0567833	0.0493971	0.0784632	0.0736541	0.13592
