 	b	í	s	í	l	é	b	í	n	i	o	y	í	í	é	d	z	w	e	b	í	s	í	e	n	y	έ	í	</S>
nous	0.180365	0.220994	0.102296	0.0418117	0.0445118	0.033464	0.0379981	0.0335801	0.019189	0.0258246	0.0249321	0.0234023	0.025579	0.0191612	0.0175876	0.0150176	0.0139396	0.0176702	0.0106875	0.0089308	0.00894187	0.00999508	0.0110865	0.0059311	0.00844655	0.00904953	0.00852124	0.0103577	0.0107271
avons	0.0909147	0.0782446	0.0578635	0.0851116	0.0666503	0.0722412	0.0794991	0.0750448	0.0237249	0.0296857	0.0343448	0.0549395	0.0669372	0.0233003	0.0283348	0.0194861	0.0161397	0.00911048	0.0090714	0.00657941	0.00891053	0.0101127	0.01587	0.0128599	0.00857379	0.0045228	0.00340672	0.00376545	0.004754
beaucoup	0.0190885	0.0148387	0.0202291	0.033606	0.0224908	0.0382737	0.0466277	0.0462953	0.0587273	0.0596272	0.073487	0.104716	0.110096	0.0587907	0.024586	0.0256793	0.0464594	0.0355347	0.0227338	0.017436	0.0116184	0.0109267	0.0112879	0.0109253	0.0116462	0.0144342	0.0178586	0.0171547	0.0148249
dansé	0.027347	0.0216055	0.0186189	0.0260787	0.018114	0.0195684	0.0226285	0.0281074	0.0515261	0.0597666	0.0479616	0.0506975	0.0587565	0.0755599	0.0781638	0.0495605	0.0459341	0.0353984	0.0200426	0.0172982	0.0144883	0.0154673	0.0155693	0.0170744	0.0167017	0.0234709	0.0284557	0.0391754	0.0568628
lorsque	0.0139094	0.0144386	0.0145163	0.0319648	0.0167317	0.0157674	0.0222954	0.0236592	0.0266715	0.0250667	0.0334827	0.0469778	0.0621656	0.0458775	0.0540264	0.0550561	0.0505867	0.0338243	0.0315514	0.0265141	0.021398	0.0291118	0.025837	0.0294589	0.0361069	0.0446121	0.0466848	0.0532593	0.0684477
nous	0.0384242	0.046903	0.039116	0.0454995	0.0755748	0.0642891	0.0348906	0.0286011	0.0297827	0.0287589	0.0378833	0.0490604	0.0652315	0.0336354	0.0259257	0.0284188	0.0275153	0.0279974	0.0252684	0.0227533	0.023179	0.0209037	0.0196588	0.0202792	0.0214208	0.0279573	0.0249246	0.0255002	0.0406471
étions	0.0598683	0.0509949	0.0430825	0.0628412	0.0463405	0.0277422	0.0333082	0.0317447	0.0358841	0.0302226	0.0401854	0.0486088	0.0558631	0.0345429	0.036724	0.0323832	0.0230196	0.031008	0.0171479	0.0149378	0.0133356	0.0126624	0.0163767	0.0171335	0.0234678	0.0286491	0.034519	0.0400826	0.0573234
partis	0.0233937	0.0215196	0.0155542	0.0165743	0.0148845	0.0134477	0.0156512	0.0157777	0.0157261	0.0134727	0.0162506	0.0207055	0.0412813	0.0384996	0.0409468	0.0519226	0.0478985	0.0491206	0.0405929	0.0303378	0.031449	0.0370192	0.0448237	0.0453327	0.0526297	0.0507268	0.0565533	0.0678274	0.0700804
à	0.0198217	0.0200914	0.0171619	0.0170033	0.0170481	0.0185207	0.0190413	0.0179694	0.0208563	0.0196786	0.0190745	0.0188842	0.0221677	0.0210082	0.0285268	0.0342534	0.0249004	0.0357883	0.0466222	0.0425777	0.0430498	0.0430611	0.0531558	0.0558303	0.0623577	0.0648382	0.065376	0.0652018	0.0661332
la	0.0364843	0.0348793	0.0246068	0.0190523	0.0188287	0.020036	0.0219914	0.0223232	0.023644	0.0168355	0.0165947	0.0192419	0.0271303	0.0211733	0.0337475	0.0355914	0.0262935	0.0371073	0.0485988	0.031906	0.032491	0.0291281	0.0387006	0.0406054	0.0557166	0.061845	0.0641293	0.0660023	0.0753154
fête	0.01728	0.0144436	0.0100157	0.00596624	0.00656252	0.00920025	0.011695	0.012768	0.0154024	0.0119546	0.0155221	0.0169712	0.0185196	0.0174049	0.0211881	0.0198149	0.0189297	0.0266621	0.0416862	0.0358653	0.0428266	0.0437957	0.0534262	0.0535672	0.0731923	0.0720914	0.0929021	0.103166	0.11718
</S>	0.0254034	0.0234457	0.0181556	0.0151536	0.0141406	0.0176661	0.0167354	0.0186501	0.0185775	0.0168881	0.0180783	0.0215719	0.0296613	0.0339488	0.0466666	0.049942	0.0290689	0.0391528	0.0423973	0.0378384	0.0354038	0.0299151	0.0428036	0.0354807	0.0449876	0.0503032	0.0648122	0.0650971	0.0980542
