 	m	w	á	n	a	w	ú	u	á	m	i	b	h	á	n	d	á	k	y	e	b	h	é	k	y	e	b	h	é	</S>
cet	0.00573728	0.0125759	0.0186532	0.00906835	0.00507454	0.0106486	0.00755857	0.0124448	0.0161577	0.0234576	0.0281569	0.095722	0.0901633	0.0644248	0.0403895	0.0355947	0.0387966	0.0341254	0.0341745	0.033511	0.0318731	0.0317142	0.0331023	0.0299892	0.0313632	0.0337843	0.0363816	0.0473667	0.0512485	0.0567416
enfant-là	0.0429616	0.0247871	0.0277764	0.02552	0.0647617	0.0266924	0.155814	0.16611	0.0824171	0.100962	0.0988306	0.0748092	0.054732	0.0132483	0.00327078	0.00407329	0.00715896	0.000903362	0.00323975	0.000975557	0.000835145	0.000638051	0.00241176	0.0030979	0.00262465	0.00387777	0.0047082	0.00173616	0.000479056	0.000547725
s'	0.0145428	0.0101969	0.00885675	0.0111234	0.0221931	0.00683009	0.0141093	0.0120077	0.0226681	0.0117006	0.0421027	0.0286768	0.0276753	0.0423845	0.0409067	0.032821	0.041698	0.0953784	0.0968792	0.0504248	0.0762372	0.0561882	0.0679701	0.0604623	0.0380133	0.0323936	0.01688	0.00706046	0.00733856	0.00428023
initie	0.0257142	0.00954914	0.00610201	0.00291367	0.00392359	0.00399959	0.00629472	0.00588802	0.00467829	0.0038286	0.00821168	0.00994674	0.0066243	0.0152369	0.0111844	0.0111038	0.038644	0.0843078	0.087915	0.107558	0.0883962	0.0678828	0.0892895	0.0534461	0.0441081	0.0512019	0.0413961	0.0350547	0.032611	0.0429887
à	0.0791895	0.0279469	0.0298284	0.020214	0.0157135	0.00890134	0.0132962	0.0114255	0.00712445	0.0146961	0.0363667	0.0517063	0.0383998	0.0527583	0.0311155	0.0219683	0.0262664	0.0157993	0.024004	0.0126278	0.0168001	0.0172081	0.0225711	0.0360687	0.027342	0.0547323	0.0663664	0.0646675	0.068613	0.0862826
la	0.0592624	0.0231112	0.0249429	0.0239454	0.00934485	0.00789824	0.00491469	0.00459253	0.0061417	0.00599177	0.00792374	0.00805908	0.00751716	0.0106206	0.0119615	0.0130844	0.0144223	0.0354195	0.0323447	0.0286541	0.0292469	0.0185291	0.0135581	0.0275479	0.0308615	0.0537828	0.0675029	0.092895	0.134668	0.191256
pratique	0.0314896	0.0491302	0.0683416	0.0373453	0.0380472	0.0441794	0.0181256	0.0253242	0.0406758	0.030761	0.0323557	0.0214921	0.0381643	0.116046	0.115233	0.0411516	0.0301014	0.0367152	0.0250714	0.025444	0.013702	0.00655614	0.0148502	0.0105861	0.010695	0.0107284	0.0138731	0.0112266	0.0172567	0.0253307
du	0.105592	0.0998933	0.07235	0.0810277	0.0240466	0.0151022	0.00824798	0.00879343	0.0162328	0.012177	0.0151567	0.0125028	0.0161878	0.0332009	0.028668	0.0204596	0.0182414	0.0373773	0.0286852	0.0196275	0.0158297	0.0155928	0.0194141	0.0170483	0.0143262	0.0180417	0.0168679	0.0282102	0.0473065	0.133792
kyebé-kyebé	0.0339518	0.0214381	0.0155664	0.0105438	0.00550838	0.00548412	0.00563422	0.00603636	0.00496171	0.00416777	0.00571744	0.00420362	0.00548911	0.0129304	0.0155866	0.00834608	0.0123226	0.021195	0.0273207	0.0474848	0.0522924	0.0499188	0.0521748	0.0583883	0.052827	0.0670441	0.0692815	0.0739959	0.130722	0.119466
</S>	0.0684814	0.0542635	0.031941	0.0290877	0.0112248	0.00740709	0.00445459	0.00533298	0.0040601	0.00327443	0.00438789	0.00359537	0.00414766	0.00822753	0.0102989	0.00739201	0.016677	0.0305085	0.0423005	0.0454432	0.0500974	0.0274536	0.0574961	0.040529	0.0366951	0.0648133	0.0543059	0.0724754	0.10116	0.102469
