 	k	o	n	g	á	á	w	a	b	h	á	a	d	í	o	b	í	a	k	a	á	</S>
attends-le	0.00798781	0.0149794	0.028638	0.0637918	0.0509874	0.0735903	0.0586003	0.0673602	0.0788962	0.0797435	0.0544784	0.0419024	0.0405588	0.0309894	0.0335201	0.0303927	0.0359985	0.0435103	0.0357277	0.0530438	0.0458485	0.0294544
ici	0.183083	0.103194	0.164362	0.0666729	0.111403	0.0582876	0.0768428	0.0309814	0.0383573	0.0155055	0.0146118	0.0155869	0.0180224	0.0118027	0.0119991	0.0141078	0.015323	0.00861059	0.00673377	0.0107887	0.00950697	0.014217
il	0.0482889	0.0364588	0.0480955	0.0392922	0.0534725	0.0250879	0.0345521	0.0557619	0.0336715	0.0742543	0.0607852	0.0785379	0.0673515	0.0395734	0.017153	0.0181158	0.0212328	0.0192288	0.032574	0.0464824	0.0541052	0.0959241
n'	0.0731016	0.0532136	0.052888	0.0385985	0.0461677	0.0355484	0.0375719	0.0277252	0.0314969	0.0315647	0.0260121	0.0282014	0.0153385	0.0327037	0.0469849	0.0250958	0.0300856	0.018893	0.00668759	0.0434161	0.0458488	0.252856
en	0.0261623	0.0202652	0.0206142	0.0162829	0.0177369	0.0119747	0.0176038	0.013226	0.013974	0.0232593	0.0231906	0.0218416	0.0140232	0.0316158	0.0465989	0.0431654	0.0254289	0.0306734	0.0294094	0.105366	0.159742	0.287846
a	0.0799448	0.0704045	0.0694542	0.0681225	0.0204875	0.0331231	0.0324725	0.0242318	0.0333668	0.0306719	0.025919	0.0233958	0.0322349	0.0485752	0.0355783	0.0257375	0.0271325	0.0315815	0.0303156	0.0644378	0.0657964	0.127016
pas	0.0654287	0.0463241	0.0408196	0.0411121	0.0277441	0.0282382	0.0272829	0.0147401	0.0231582	0.0226692	0.018292	0.0173391	0.0171741	0.0316544	0.0299241	0.0280099	0.0511479	0.0408589	0.0640586	0.116314	0.0877865	0.159923
pour	0.232819	0.130531	0.0809433	0.0723486	0.0227413	0.0187044	0.0291968	0.0105646	0.0143232	0.0141006	0.0139385	0.00944611	0.00629653	0.00791447	0.0084698	0.00892332	0.014076	0.0195418	0.03389	0.0654378	0.0471165	0.138676
longtemps	0.106149	0.0672946	0.0522203	0.0386302	0.026727	0.0147031	0.023806	0.0118558	0.0115803	0.0162527	0.0231244	0.0116289	0.00948508	0.0182186	0.0217311	0.0188732	0.0399673	0.0512738	0.0885896	0.127416	0.0788558	0.141617
</S>	0.0475677	0.0398418	0.0386693	0.0348496	0.0294725	0.0167256	0.023242	0.0125273	0.0122282	0.0190289	0.0251323	0.0124909	0.00936889	0.0114626	0.0152467	0.0142824	0.0465245	0.0484604	0.0976846	0.129125	0.10264	0.213428
