 	á	m	a	i	w	á	t	o	n	g	a	s	á	o	p	i	t	á	á	l	e	t	s	í	n	a	á	d	z	e	o	b	h	e	r	á	o	m	a	á	w	á	w	a	ó	n	d	é	e	k	a	k	á	</S>
on	0.37165	0.243662	0.0658275	0.00252077	0.0149129	0.0159467	0.0280021	0.0348304	0.0331211	0.0160223	0.00861	0.0145162	0.0134185	0.00969829	0.0106299	0.00694347	0.00729909	0.00481002	0.00287923	0.00341851	0.00423471	0.00275705	0.00161517	0.000898007	0.000815095	0.000909447	0.000761717	0.000661211	0.000673952	0.000910705	0.000721705	0.000933431	0.00110205	0.00128087	0.00136461	0.00157159	0.00185884	0.00173113	0.00162165	0.00253074	0.00178054	0.0019157	0.00140632	0.00175867	0.00207926	0.00500428	0.00317803	0.00484147	0.00908735	0.00889616	0.00651197	0.00584552	0.00588684	0.00413545
lui	0.0193093	0.03189	0.0233356	0.0361568	0.0293749	0.0144153	0.0255504	0.0308521	0.0434634	0.0403418	0.0361419	0.0405861	0.0675376	0.0504726	0.0467983	0.0472141	0.0273781	0.0259046	0.0248226	0.0273493	0.0216632	0.0152805	0.0176954	0.00930291	0.00868657	0.0103989	0.0343757	0.0182992	0.0276961	0.0151371	0.0250931	0.0132403	0.00890704	0.00730081	0.00562581	0.00540767	0.0037995	0.00296591	0.0030287	0.00287699	0.00291577	0.00164016	0.00126371	0.000988937	0.00180143	0.00410295	0.00163268	0.00474242	0.00782151	0.0106821	0.00511263	0.00252413	0.00301623	0.0060791
a	0.0115289	0.00686488	0.00892303	0.0144504	0.0035513	0.00620676	0.00589845	0.00478843	0.0100651	0.016065	0.0199567	0.0323806	0.0317651	0.0587652	0.0380353	0.0529407	0.0530888	0.03813	0.0776455	0.0663452	0.0512329	0.0548398	0.0409151	0.0156807	0.0142068	0.0155151	0.00948256	0.0120385	0.0134548	0.010328	0.00875201	0.010051	0.00655251	0.00526672	0.00869098	0.00837852	0.0113136	0.0139905	0.0145546	0.00906521	0.0298122	0.00819061	0.0107132	0.0126062	0.00473616	0.00268777	0.00196476	0.00368584	0.00463052	0.0070133	0.00554573	0.00526109	0.00716409	0.00428316
fait	0.00533278	0.00628502	0.00838572	0.0088683	0.00501892	0.00418141	0.00486579	0.00476565	0.00759483	0.0116759	0.0103597	0.0143108	0.0165294	0.0217102	0.029836	0.0386751	0.035506	0.0311838	0.0384961	0.0384045	0.0329136	0.0362886	0.0634776	0.0384582	0.0359951	0.0262514	0.0934715	0.0462749	0.075881	0.0196242	0.04783	0.0191874	0.0120077	0.0104809	0.00745849	0.00631067	0.00532637	0.007386	0.00570551	0.00701531	0.00490819	0.00325658	0.00573782	0.0057846	0.00417091	0.0016823	0.00232259	0.00270679	0.00195765	0.00242192	0.00262987	0.00350955	0.00613065	0.0134505
une	0.00248991	0.00314291	0.00313449	0.00614108	0.00212605	0.00370208	0.00511424	0.00465872	0.00771375	0.00887851	0.00836214	0.0124898	0.00894086	0.00972812	0.00934032	0.00636807	0.0118367	0.0186478	0.0393131	0.0626736	0.0360477	0.0548597	0.0711386	0.0415442	0.0519853	0.0378752	0.0581429	0.0644962	0.0549252	0.0376725	0.0557498	0.0132789	0.0222634	0.0151456	0.0157584	0.0173676	0.0112957	0.0101114	0.00869335	0.0100611	0.00433003	0.00361433	0.00419095	0.00157091	0.00328374	0.00354017	0.00499043	0.00602957	0.00447813	0.00509577	0.00548873	0.0060895	0.00675738	0.0173255
injection	0.0115496	0.0166001	0.0165487	0.03552	0.0111427	0.00910036	0.0138444	0.0173648	0.0172926	0.0340747	0.0175303	0.0373428	0.0203334	0.0218769	0.0120162	0.0123966	0.0137476	0.0215196	0.0475518	0.017346	0.0306922	0.0252931	0.0311841	0.0277704	0.0235349	0.0172081	0.0167635	0.013463	0.0140202	0.0117024	0.0166714	0.0133228	0.016019	0.0125654	0.0142276	0.0158174	0.0210987	0.00918271	0.0152807	0.035749	0.0134135	0.0140858	0.00755208	0.00365003	0.00642704	0.0101839	0.00993431	0.011773	0.0133041	0.0135997	0.0133816	0.0192621	0.0206814	0.0564855
à	0.00399915	0.00487848	0.00403342	0.00578242	0.00382526	0.00385965	0.00531928	0.0055097	0.00632124	0.00717439	0.00741335	0.00946315	0.00650604	0.00752319	0.00515859	0.00683702	0.00625078	0.00678895	0.0196749	0.00872112	0.0237627	0.0154701	0.0182275	0.0357937	0.0262925	0.0349027	0.0602953	0.0590536	0.0803397	0.0476125	0.0680205	0.0472265	0.0386609	0.0305141	0.0253513	0.021991	0.0243789	0.0292249	0.0251077	0.0233183	0.0147232	0.0214265	0.013343	0.0105867	0.00726712	0.00329159	0.00639963	0.00379799	0.00314172	0.00321233	0.0049315	0.00703956	0.00946826	0.0207864
l'	0.00845404	0.0096054	0.00964656	0.01207	0.00594917	0.00476488	0.00686793	0.00682328	0.00729225	0.00812073	0.00618543	0.00755433	0.0059154	0.00514094	0.00587347	0.00460743	0.00571272	0.00564862	0.00795167	0.00620276	0.0109491	0.00916443	0.00968768	0.022822	0.0178689	0.0339884	0.0437149	0.0736624	0.0590417	0.0265454	0.0308676	0.028063	0.0251841	0.0230362	0.0266006	0.0267919	0.0256001	0.0433388	0.0412112	0.0316835	0.0223867	0.0231954	0.0184491	0.00390543	0.0111169	0.0140209	0.0168417	0.0163953	0.013901	0.015108	0.0210091	0.0226338	0.0235959	0.0272318
hôpital	0.0117976	0.0102021	0.0108185	0.0123776	0.00529831	0.00487009	0.004359	0.00430319	0.00489402	0.0059756	0.00492982	0.00687579	0.00682452	0.00882276	0.0107841	0.00933148	0.0117476	0.0104257	0.0127109	0.0108853	0.013701	0.0113917	0.0115202	0.0247163	0.0135678	0.0243315	0.0395263	0.0639468	0.0670437	0.0311777	0.0443014	0.0409674	0.0388796	0.0343143	0.0326932	0.0284033	0.0273845	0.0407013	0.0216384	0.0171383	0.0112616	0.0104714	0.0113778	0.00418906	0.00655676	0.00831963	0.00792346	0.0113008	0.0114091	0.0117199	0.0204782	0.0262184	0.0266553	0.0365399
du	0.0111441	0.00858487	0.00940119	0.0112519	0.00618414	0.00580744	0.00527944	0.00554892	0.00510463	0.00636952	0.00509704	0.00686562	0.00794489	0.0139684	0.0158961	0.0221605	0.0182406	0.0166366	0.0214188	0.0170032	0.0240121	0.0180322	0.0258574	0.0317555	0.0283626	0.0321578	0.0349644	0.0355225	0.0344923	0.0329042	0.0338978	0.0302626	0.0312567	0.0297774	0.0289851	0.0266938	0.0262191	0.0275208	0.0239346	0.0187468	0.0115804	0.0114623	0.0166536	0.00653738	0.0120441	0.0062652	0.0114061	0.0100361	0.00974196	0.0106659	0.0167627	0.0183822	0.0254828	0.0377157
fait	0.012952	0.0133062	0.0104177	0.00827236	0.00824595	0.00562086	0.00792822	0.0102235	0.0116614	0.013531	0.0121775	0.017573	0.0205795	0.0290622	0.0317027	0.051583	0.0268912	0.0260427	0.024786	0.0217133	0.028244	0.0222554	0.0238916	0.0216485	0.025616	0.0318519	0.0319489	0.0278641	0.023704	0.0237828	0.0333599	0.015462	0.02132	0.0194609	0.0197802	0.0227226	0.019984	0.0162169	0.0164525	0.0207895	0.00881236	0.00641709	0.00558116	0.0012162	0.00451304	0.00443031	0.00363697	0.0055345	0.0090073	0.0111964	0.0141817	0.0215331	0.0295252	0.0437885
qu'	0.00887662	0.0061421	0.00700933	0.0101455	0.00696102	0.00555843	0.00613054	0.00684974	0.00754243	0.00846628	0.00580382	0.00815107	0.00898948	0.00944302	0.0110299	0.0173745	0.0105445	0.00915106	0.0116644	0.0177911	0.0145113	0.0126043	0.0315965	0.0311757	0.0242818	0.0341375	0.102718	0.065395	0.0909095	0.0422577	0.0559887	0.0201845	0.0208274	0.0175427	0.0151707	0.0141581	0.0116829	0.0157291	0.0155723	0.0135535	0.00984109	0.00797476	0.0100088	0.00280141	0.0109095	0.00717261	0.012561	0.0120408	0.0129584	0.0136157	0.014713	0.0157453	0.0171819	0.0188532
on	0.0031572	0.00320556	0.00308727	0.00396656	0.00154477	0.00132461	0.0014865	0.00108129	0.00198758	0.00337745	0.00306816	0.0039197	0.00549088	0.00643778	0.0101573	0.0150372	0.017475	0.017496	0.0189449	0.0216322	0.0273477	0.0231971	0.048652	0.0624783	0.0480432	0.0483828	0.111529	0.0479265	0.109919	0.0482511	0.0520555	0.015398	0.0147731	0.0119979	0.013289	0.0111465	0.0100895	0.0114439	0.00894893	0.00657452	0.0103029	0.00573996	0.0137934	0.0113391	0.0114306	0.00739437	0.00987131	0.00798162	0.00757344	0.00847986	0.00791004	0.00803291	0.00699512	0.00783432
n'	0.0100532	0.00932813	0.00885326	0.0144422	0.00605475	0.00522743	0.00514549	0.0054018	0.0070705	0.00667016	0.00680216	0.00922547	0.0106185	0.0145417	0.0177748	0.0308289	0.0190379	0.0163255	0.0250737	0.0196392	0.0264528	0.0157483	0.0296327	0.0348126	0.0282867	0.0441484	0.0483027	0.0436194	0.0587317	0.0328126	0.0390708	0.0310027	0.0231532	0.0193019	0.0197892	0.0184913	0.0161567	0.0184252	0.0184614	0.0141369	0.0125069	0.00694096	0.0125856	0.0041825	0.0107919	0.00639938	0.0121105	0.0113585	0.0134148	0.0145802	0.0147365	0.015734	0.016833	0.0191733
a	0.00568228	0.00605473	0.00524046	0.0073787	0.00259342	0.00255711	0.00223877	0.00246569	0.00510516	0.00396535	0.0067157	0.00967707	0.0113042	0.0196185	0.026282	0.0233309	0.028045	0.019597	0.0305807	0.0311228	0.0376838	0.0220633	0.0391427	0.0287573	0.0383457	0.052142	0.0709494	0.0514838	0.0706479	0.0325157	0.0523823	0.0223757	0.0216114	0.0159997	0.0200698	0.0211269	0.018184	0.0173089	0.0192098	0.0118508	0.0152754	0.0029162	0.00713936	0.00363758	0.0071931	0.00237351	0.00448345	0.00352924	0.00373876	0.00402207	0.00524045	0.00658229	0.00846487	0.0119971
pas	0.0432899	0.0263688	0.0314258	0.0233455	0.0136283	0.00987342	0.0120607	0.0187041	0.014697	0.0124712	0.007984	0.0148752	0.0176943	0.0350804	0.0337999	0.0238225	0.0127521	0.0106362	0.0114521	0.0167229	0.0123264	0.0116329	0.0264126	0.0264161	0.019859	0.0238349	0.0744749	0.0465325	0.0626783	0.0398254	0.0568121	0.0155611	0.0191642	0.0147366	0.0100398	0.00756175	0.00703689	0.00996148	0.00691511	0.00574551	0.00363126	0.00316898	0.00447325	0.0024461	0.00449509	0.00402398	0.00487142	0.00639195	0.00895654	0.011301	0.0108525	0.0116242	0.0129866	0.0225648
pu	0.00602122	0.00612865	0.0058019	0.00606823	0.00257021	0.00272947	0.00258168	0.00285672	0.00329753	0.00305255	0.00248202	0.00420737	0.00440922	0.0057046	0.00884586	0.00594797	0.00965937	0.00497088	0.00960257	0.0283492	0.0197442	0.0165208	0.0399959	0.0364371	0.0448384	0.054049	0.125287	0.102729	0.12754	0.0559798	0.102957	0.00849141	0.0182281	0.00963074	0.00671989	0.00635332	0.00500197	0.00363254	0.00680779	0.00450896	0.00168239	0.00182968	0.00174465	0.00104838	0.00265093	0.00217781	0.00366229	0.0034307	0.00501752	0.0085508	0.00706666	0.00712969	0.0115985	0.0216698
le	0.0117029	0.0134225	0.0127773	0.0115908	0.00641022	0.00620701	0.00617484	0.00698505	0.0067914	0.00555952	0.00479457	0.00715953	0.00795212	0.00912	0.0124463	0.00921294	0.0125349	0.00611159	0.00975492	0.0192224	0.0176974	0.0124492	0.030693	0.024856	0.0340845	0.0336483	0.128187	0.083388	0.117466	0.0479026	0.08915	0.007964	0.0124494	0.00800945	0.00700346	0.00790863	0.00642687	0.00521378	0.0106874	0.00648004	0.00266105	0.00334387	0.00321168	0.00192231	0.0046325	0.00398336	0.00502008	0.00483106	0.00629961	0.00933111	0.00909655	0.0092194	0.0156952	0.0431562
faire	0.0352489	0.0363982	0.0323823	0.0224949	0.0157123	0.0163742	0.0134648	0.0131666	0.0125912	0.00707275	0.00882233	0.012578	0.0132662	0.0227877	0.0274647	0.0209625	0.0218585	0.0122343	0.0145	0.0154884	0.018464	0.0155878	0.0166155	0.0119302	0.0177423	0.0185354	0.0339093	0.0221313	0.0300646	0.0166511	0.0277335	0.00881732	0.0133516	0.0114537	0.0114214	0.013353	0.0139043	0.00703216	0.0140874	0.0142531	0.0032255	0.00629805	0.00440594	0.00157969	0.00783581	0.00987425	0.0140748	0.0170312	0.0252895	0.0245446	0.0220177	0.0362945	0.0437091	0.0719116
à	0.0223145	0.0234338	0.0240529	0.0222981	0.0113912	0.0110933	0.0111901	0.0112021	0.0115005	0.0106602	0.00820288	0.0121287	0.011577	0.0121119	0.0149737	0.00800797	0.0148205	0.00940882	0.0121493	0.022761	0.0167364	0.0143286	0.0249202	0.0117407	0.0258101	0.0190838	0.0727278	0.0437039	0.0841561	0.0258462	0.0522612	0.00644632	0.00918474	0.00655616	0.00629777	0.00745286	0.00897244	0.00613212	0.0137659	0.00928282	0.00547884	0.00576828	0.00591896	0.0050654	0.00959352	0.00752473	0.0107881	0.00989505	0.0132493	0.0183685	0.0205434	0.0218986	0.0353628	0.0798598
la	0.026395	0.0270553	0.0268904	0.0271577	0.0117643	0.0103006	0.01117	0.0101751	0.0127507	0.015002	0.0075491	0.0129237	0.0137266	0.0123849	0.0155415	0.0100681	0.0144532	0.0103321	0.012754	0.0172908	0.0174617	0.0156617	0.0170968	0.0119418	0.025002	0.0211729	0.0467062	0.0295832	0.0461108	0.0163851	0.0304196	0.00886375	0.0119481	0.0100999	0.0096665	0.00993388	0.0126334	0.0083453	0.0152046	0.013499	0.00572632	0.00641808	0.00903889	0.00508399	0.01602	0.0117081	0.0174798	0.0165379	0.0229959	0.0267819	0.0267554	0.0316364	0.0419691	0.0784267
maison	0.0136614	0.0166243	0.0127544	0.0123374	0.0094524	0.00911807	0.0105383	0.0121879	0.0114753	0.0128273	0.00814657	0.0109236	0.011579	0.0134469	0.0167991	0.0129428	0.0164411	0.013443	0.0122141	0.0117857	0.0183177	0.0169608	0.0110206	0.00838684	0.0156134	0.0142495	0.0159662	0.0131297	0.0137731	0.0125073	0.0183538	0.00833815	0.0126929	0.0117204	0.011867	0.0133008	0.0167294	0.00978606	0.0172446	0.0267821	0.00501847	0.00795623	0.00564604	0.00221158	0.0156066	0.0133805	0.0210276	0.0231537	0.0473068	0.0568489	0.0465914	0.0560324	0.0748193	0.0889613
</S>	0.0128796	0.0131184	0.0128493	0.0129214	0.00625586	0.00635215	0.00688586	0.00872126	0.0114911	0.0155902	0.00833013	0.0123287	0.0135937	0.0126697	0.0142118	0.00819542	0.0120899	0.0105708	0.0112322	0.0136216	0.0191	0.01855	0.0173625	0.0164022	0.0269172	0.0226846	0.047231	0.0373989	0.0507303	0.0281956	0.0376292	0.0132241	0.0142483	0.0110437	0.0113079	0.0117464	0.0187018	0.0101806	0.0175853	0.019854	0.00546717	0.00899268	0.00926162	0.00460769	0.0163029	0.0111592	0.0191517	0.0166863	0.0238932	0.0358585	0.0338652	0.0326358	0.0450147	0.0631006
