 	o	k	ω	n	y	i	m	ó	ó	t	ó	n	g	á	b	á	a	m	é	k	a	á	m	ó	o	b	í	a	</S>
une	0.0109004	0.0117499	0.0147611	0.0167769	0.0325379	0.028858	0.0305092	0.027792	0.0331592	0.0368257	0.0418356	0.0463134	0.0573149	0.0598983	0.0776494	0.0724857	0.0599445	0.0566889	0.0362918	0.0379857	0.0251235	0.0322748	0.0241358	0.020264	0.0230817	0.0215814	0.0206958	0.0220952	0.0204695
nasse	0.0115695	0.0250343	0.0680757	0.0934682	0.122679	0.114255	0.0995608	0.0438005	0.0159253	0.0130828	0.00902996	0.00999312	0.0209969	0.0522664	0.052375	0.0553662	0.0453263	0.0362584	0.0206417	0.0168244	0.0142881	0.0136678	0.0193011	0.00846796	0.011097	0.00350281	0.00233635	0.000427685	0.000380987
tissée	0.137769	0.0838471	0.0572547	0.0355869	0.034112	0.0320543	0.033023	0.0253682	0.0185354	0.011795	0.0136097	0.0123921	0.0240494	0.0289566	0.0256452	0.0293297	0.0296881	0.0492027	0.057546	0.0565716	0.0514011	0.0456578	0.0174057	0.0262128	0.0172318	0.0119478	0.0127914	0.00986013	0.0111549
avec	0.072505	0.066059	0.0627214	0.0519691	0.0413753	0.0342239	0.022089	0.0209835	0.0240241	0.0248568	0.0258507	0.0386541	0.0312844	0.0315462	0.0398285	0.0449475	0.0560613	0.0550689	0.02032	0.0235002	0.0153385	0.0227574	0.0271928	0.0293957	0.0242481	0.0207472	0.0225548	0.0196232	0.0302738
la	0.0320671	0.0330263	0.0424695	0.0606574	0.0804481	0.0694413	0.0538998	0.0404196	0.0342556	0.0280818	0.0261381	0.0258545	0.0177433	0.0351426	0.0325563	0.0283219	0.0254053	0.0431887	0.0539692	0.0419592	0.0312084	0.0292468	0.0216878	0.0189399	0.0128036	0.0134389	0.0167136	0.0126608	0.0382547
liane	0.0358306	0.0364104	0.0349196	0.042438	0.0490822	0.0543568	0.056439	0.0518051	0.0450723	0.02498	0.0237052	0.0242528	0.0240998	0.0266485	0.0242757	0.0185271	0.0165489	0.0216944	0.039358	0.03792	0.0367028	0.0359525	0.0257956	0.0355922	0.0225846	0.0334197	0.0441176	0.0263943	0.0510762
ekaa	0.109695	0.0921971	0.0733882	0.0431235	0.0365956	0.0431237	0.0434343	0.0463859	0.0512796	0.0365481	0.0401798	0.0426791	0.0528318	0.0364885	0.0156459	0.00921488	0.00367444	0.00418882	0.00300837	0.00589904	0.00440563	0.00545904	0.00954489	0.00991608	0.0185936	0.0155717	0.0211457	0.032012	0.0937697
est	0.0847338	0.0699058	0.0569955	0.0625926	0.0595395	0.0562946	0.0396738	0.0390103	0.0374203	0.0302062	0.0240662	0.0314051	0.0305817	0.0239088	0.0150206	0.0129364	0.00897747	0.00578914	0.00535149	0.00633335	0.00539378	0.0104868	0.0229409	0.0279913	0.0257322	0.0353655	0.0412975	0.0340942	0.0959553
durable	0.0734611	0.0793497	0.0587451	0.0581104	0.0479129	0.0463831	0.0350551	0.0314174	0.032816	0.0336853	0.0309539	0.0380369	0.0351976	0.0306354	0.0296664	0.0179959	0.0109316	0.0126035	0.012574	0.008106	0.00478838	0.0034443	0.00611593	0.00630887	0.02788	0.0200416	0.0368512	0.0252631	0.145669
</S>	0.0407277	0.042415	0.036351	0.0378797	0.0319779	0.0288863	0.029218	0.0345122	0.0433598	0.0426309	0.0375744	0.0437221	0.0389462	0.020913	0.0131311	0.00968655	0.0050362	0.00511934	0.00381232	0.00867063	0.00801618	0.00894088	0.0243113	0.027638	0.0369385	0.0485764	0.0733299	0.0603354	0.157343
