 	o	b	o	s	ó	m	í	l	á	m	b	a	l	á	n	y	a	m	a	k	á	a	l	ó	o	k	y	é	n	á	á	w	a	</S>
avant	0.00838538	0.0112209	0.0121779	0.0116177	0.0136873	0.018728	0.0168332	0.0256152	0.044579	0.0419464	0.0450495	0.0369507	0.0384515	0.0570906	0.0573473	0.0396782	0.0354462	0.0437243	0.0326913	0.0401278	0.0280724	0.0247845	0.0230075	0.0185025	0.0244239	0.0173492	0.0200242	0.0238821	0.0324501	0.0338705	0.0356913	0.0389506	0.0292687	0.0183744
de	0.0601215	0.026891	0.0184795	0.0162624	0.0120617	0.00789073	0.0100451	0.019639	0.01842	0.0292397	0.051099	0.0385762	0.0697625	0.0572172	0.0749988	0.0835499	0.0654833	0.0609025	0.0422576	0.0293633	0.0151206	0.0197335	0.0105239	0.0148776	0.0224013	0.0166097	0.0198237	0.0246824	0.0100334	0.0116709	0.020482	0.00627003	0.00953384	0.0059761
cuire	0.0988108	0.0637445	0.0450409	0.0330302	0.0327092	0.020979	0.016099	0.0180017	0.0150216	0.0155425	0.0110023	0.00845338	0.00900514	0.015315	0.0157247	0.0151433	0.0165741	0.0244058	0.0259341	0.0373964	0.0288658	0.0274512	0.0273701	0.0241154	0.0348295	0.0250865	0.0434697	0.0415422	0.0385233	0.0376792	0.0554999	0.0361362	0.0255051	0.0159925
la	0.0290643	0.0177859	0.0116159	0.0104811	0.0126097	0.00446414	0.00433339	0.00543683	0.00621911	0.00376813	0.0041776	0.00334878	0.00294478	0.00548164	0.00431025	0.00663684	0.013724	0.0271535	0.0323149	0.0878328	0.0613052	0.0826323	0.083841	0.0706661	0.0863866	0.0654495	0.053675	0.033476	0.0271892	0.0318285	0.0216378	0.0125752	0.0294312	0.046203
viande	0.0307614	0.0421243	0.0482244	0.049551	0.0485412	0.0252725	0.0230339	0.0200659	0.0315756	0.0348069	0.0193602	0.0289073	0.0204379	0.0289181	0.0160364	0.0149773	0.0213603	0.0209016	0.0192029	0.0286744	0.0278885	0.024116	0.0256839	0.034047	0.0481841	0.0275976	0.0219174	0.0269258	0.0275955	0.0194791	0.0274709	0.0316538	0.0218322	0.0628745
il	0.0352888	0.0468946	0.0541871	0.049577	0.0502939	0.0554373	0.058941	0.0505603	0.0658995	0.0412694	0.0276714	0.0348098	0.0210428	0.031319	0.0209283	0.0172173	0.0328002	0.04029	0.0366683	0.0281495	0.0294563	0.0198079	0.0149724	0.0121902	0.0178722	0.00909803	0.00778461	0.00933426	0.0086863	0.00741582	0.0107158	0.0114961	0.00987964	0.0320452
faut	0.0502912	0.0430201	0.0382208	0.032837	0.0291358	0.016743	0.0125766	0.0124222	0.0126687	0.0115718	0.0117909	0.0116717	0.012134	0.0133327	0.0135557	0.0141526	0.0181107	0.0204841	0.0246134	0.0318758	0.0288596	0.0183345	0.0197711	0.0257799	0.0451917	0.0403487	0.0424316	0.0478964	0.0528623	0.0394469	0.0396173	0.045005	0.0456278	0.0776184
la	0.0545322	0.0370996	0.0319414	0.0245948	0.0213473	0.0152339	0.0145676	0.013813	0.0126624	0.0154516	0.0188029	0.0185794	0.0186215	0.0234645	0.0211714	0.029811	0.024438	0.023586	0.0284611	0.0292269	0.0303502	0.0265642	0.0212722	0.0255194	0.0422594	0.0466769	0.0450335	0.0391422	0.042532	0.0302067	0.0276452	0.0332034	0.0328295	0.0793586
découper	0.0950092	0.0580491	0.0392737	0.0254036	0.0273244	0.0266997	0.0249948	0.0256129	0.024871	0.0245355	0.0234476	0.0213847	0.0252219	0.0289303	0.0274247	0.034239	0.0260701	0.0237235	0.0189319	0.0229672	0.016181	0.0119438	0.0107367	0.0175074	0.0227456	0.0214472	0.0320039	0.0325566	0.0320013	0.00978707	0.0239675	0.0324609	0.0292369	0.0833094
</S>	0.0484977	0.0321773	0.0287436	0.0267087	0.030585	0.0213351	0.0184141	0.0156573	0.0143572	0.0128221	0.0118255	0.0110276	0.0119487	0.0123534	0.0110146	0.0127179	0.0103247	0.0136184	0.0106779	0.0228334	0.0138492	0.0109376	0.0149683	0.0242593	0.0476943	0.0435633	0.0483299	0.0559913	0.0590241	0.0444722	0.0529897	0.0605118	0.0598637	0.0859051
