 	n	g	ó	o	á	b	έ	r	i	w	a	t	s	i	n	a	w	a	l	á	a	s	u	m	b	ú	s	á	i	k	á	n	d	á	</S>
la	0.0628355	0.0281849	0.0346049	0.00879539	0.0113467	0.00658001	0.00714792	0.00649053	0.0108974	0.017839	0.0247056	0.0305087	0.0202015	0.0204348	0.0292533	0.0134905	0.0247989	0.0287059	0.0420508	0.0588554	0.0371485	0.0454564	0.0410743	0.0321151	0.0310044	0.0327258	0.0370432	0.0341451	0.0318041	0.0248998	0.0360879	0.0439546	0.0335594	0.0211972	0.0300565
mère	0.493017	0.122445	0.0585398	0.0933771	0.029424	0.0746365	0.037548	0.0150112	0.0105701	0.0154369	0.00576779	0.00751005	0.00192686	0.00103602	0.000180235	0.000365843	0.000127159	0.000133266	0.000224284	0.000675832	0.00210449	0.00202493	0.00284041	0.000893777	0.00185865	0.00225053	0.00479233	0.0038675	0.00436556	0.000972911	0.0022763	0.00256396	0.000647979	0.000234602	0.000352328
l'	0.00909168	0.0317751	0.0445013	0.0318042	0.0203553	0.0449684	0.0286633	0.0254395	0.0169834	0.0231873	0.0261882	0.044537	0.0242886	0.0455146	0.0307898	0.0211591	0.0353322	0.0253351	0.0268571	0.0300009	0.0254431	0.0359951	0.0179009	0.0253918	0.0234213	0.0267067	0.0381594	0.0874891	0.0273765	0.00974525	0.0308812	0.0224243	0.0143153	0.0176035	0.0103743
a	0.0118764	0.0348348	0.0403762	0.115361	0.0380052	0.0692541	0.0308882	0.0272997	0.029362	0.0362118	0.0442308	0.0636509	0.0535626	0.0297527	0.0163649	0.0306168	0.0187163	0.00983887	0.0121448	0.0122336	0.0215553	0.0295781	0.026234	0.0111293	0.0109953	0.0145905	0.0136804	0.0144724	0.010884	0.0044119	0.0184506	0.028787	0.0221127	0.0108227	0.0377146
frappé	0.0185514	0.0143736	0.0237556	0.022566	0.0208059	0.0229307	0.0250235	0.0256925	0.0319378	0.0248565	0.0209273	0.0310651	0.0229808	0.0102651	0.00813401	0.0323284	0.0147216	0.00808778	0.00881933	0.0192332	0.0338877	0.0316893	0.0358617	0.0311736	0.0393577	0.0371952	0.0424397	0.0272926	0.0337536	0.0277117	0.0382786	0.0543947	0.060824	0.0342999	0.0647841
parce	0.0200445	0.0173329	0.036838	0.0408054	0.0365629	0.0383428	0.0387799	0.0428282	0.0491679	0.0412677	0.0296774	0.0520041	0.0293228	0.0194375	0.022146	0.0431678	0.0215529	0.0316796	0.0241	0.0250556	0.0228445	0.0286978	0.0205747	0.0141068	0.00718391	0.00962311	0.00693507	0.00448196	0.00884416	0.00695871	0.0101998	0.0226104	0.0552856	0.0357602	0.0857794
qu'	0.00993223	0.00874804	0.0282611	0.0358725	0.0508019	0.0621185	0.0664555	0.0546379	0.0263207	0.026761	0.051757	0.0226023	0.0471756	0.0160158	0.00837447	0.0132176	0.0147673	0.0170651	0.0235153	0.00936846	0.0203976	0.0255252	0.0167057	0.0156271	0.0195027	0.0180507	0.0242739	0.0192786	0.0279331	0.0263407	0.0242534	0.0273122	0.0352381	0.0555452	0.0502474
il	0.0106852	0.00957307	0.0253487	0.0301005	0.033275	0.0423749	0.0424908	0.036454	0.0178085	0.020609	0.0219506	0.0163931	0.0332215	0.0131002	0.0161804	0.015285	0.0127509	0.0196701	0.0261947	0.0202882	0.0251232	0.0272152	0.0333911	0.0263457	0.0231123	0.0196131	0.0299103	0.018381	0.0290167	0.0318325	0.0276179	0.0379821	0.0391146	0.0735165	0.0940735
abîme	0.0331521	0.0220372	0.0402111	0.0347462	0.0347221	0.0413456	0.0584865	0.0283935	0.0151343	0.0227371	0.0217898	0.0140359	0.0417743	0.0230147	0.0121885	0.0536707	0.0298039	0.0314734	0.0295454	0.0240529	0.0389932	0.0282702	0.020902	0.0119926	0.00837592	0.00844572	0.0149025	0.0111023	0.0216766	0.0153748	0.019009	0.0264717	0.0345712	0.0530613	0.0745359
ses	0.0231128	0.0230712	0.0414936	0.038655	0.0282522	0.039847	0.0221437	0.0123198	0.00776903	0.00571559	0.00364014	0.00871956	0.00836652	0.00679008	0.00765219	0.0246241	0.00901658	0.0140413	0.0143867	0.0213791	0.0298446	0.0305622	0.0396339	0.0375256	0.0269772	0.0272338	0.038103	0.0171165	0.0420037	0.0185525	0.0210897	0.0479714	0.0504356	0.105536	0.106418
vêtements	0.0254012	0.0248937	0.0182101	0.0121938	0.0099065	0.011336	0.00662733	0.00417482	0.00518975	0.00417227	0.00351975	0.00634764	0.00413709	0.00430918	0.00494022	0.0116618	0.00505143	0.00659937	0.0100468	0.0133806	0.0203205	0.0293147	0.0339588	0.0191211	0.0291247	0.0279151	0.0522793	0.0333702	0.0676009	0.05809	0.0712941	0.0902873	0.083014	0.0939131	0.0982966
</S>	0.041152	0.0398079	0.0459375	0.0438161	0.016903	0.0258631	0.0126686	0.00901095	0.0098946	0.00424102	0.00244078	0.00756853	0.00437839	0.00544812	0.00435462	0.0115129	0.00505613	0.00667252	0.00733929	0.0181264	0.0162144	0.018888	0.0336155	0.0294981	0.0297411	0.0347814	0.0409892	0.0303247	0.0369238	0.0294045	0.0329564	0.0433174	0.0523638	0.0941124	0.154677
