 	b	í	s	í	l	a	m	w	á	s	í	l	é	m	o	d	z	w	á	o	p	f	ú	r	á	a	b	h	έ	n	g	έ	s	a	w	ó	m	á	m	í	t	ó	a	</S>
mon	0.0252831	0.0658742	0.0526384	0.0728426	0.0174616	0.0153962	0.0157958	0.0302032	0.0143345	0.032015	0.0382515	0.0414325	0.0197745	0.0355401	0.0297153	0.0394378	0.0179737	0.0335302	0.0090628	0.00617282	0.0153179	0.00918567	0.00861223	0.0139427	0.00867708	0.00984217	0.009441	0.0135479	0.0120608	0.0234496	0.0140149	0.0169484	0.0118399	0.0146126	0.0123414	0.0132631	0.0199141	0.0245602	0.0227043	0.02399	0.0210334	0.0247521	0.024871	0.0183418
épouse	0.0749879	0.189973	0.0970096	0.12141	0.0752624	0.053264	0.0245356	0.0332013	0.0157771	0.0110411	0.0255424	0.0084009	0.00274237	0.00331526	0.00246219	0.00364758	0.00367337	0.00235596	0.00311661	0.00169486	0.00216761	0.00221855	0.00326903	0.00255635	0.00935746	0.00710599	0.0116153	0.00882784	0.014627	0.027326	0.0145119	0.016039	0.00990048	0.0120789	0.0085256	0.00938906	0.0133091	0.0295464	0.0136023	0.0140424	0.00750432	0.00506038	0.00271414	0.00129106
et	0.0387725	0.0845996	0.0905185	0.112796	0.0687612	0.0500459	0.0446129	0.0303061	0.0480828	0.0252214	0.0114129	0.0081193	0.00918249	0.00995759	0.00771433	0.0135385	0.0120139	0.0101914	0.0148175	0.00675297	0.00780164	0.00948806	0.0103102	0.0106428	0.0172728	0.0121864	0.0259017	0.0105811	0.0173713	0.0117248	0.0242957	0.00942316	0.0144604	0.00789176	0.00838153	0.00767822	0.014457	0.010047	0.0173835	0.010339	0.0113125	0.0123007	0.0137	0.0076306
moi	0.108986	0.076061	0.0741236	0.0265341	0.0115029	0.00887857	0.00910255	0.0120868	0.0123258	0.011228	0.00631399	0.0120079	0.0154881	0.0155192	0.0183654	0.0157373	0.0225947	0.0238019	0.0162548	0.0175377	0.0161763	0.0144194	0.019928	0.0171958	0.0180363	0.0178962	0.0178301	0.0164131	0.0193907	0.0158372	0.0197635	0.0138494	0.0254491	0.022808	0.0271101	0.0237813	0.0283582	0.0317042	0.024573	0.0185035	0.01921	0.0177371	0.0186726	0.0209071
nous	0.0375216	0.037613	0.0376631	0.0156233	0.0156756	0.0125058	0.00876637	0.00950261	0.0176924	0.013303	0.0111518	0.0186454	0.0173922	0.0136832	0.0141885	0.0197524	0.0392007	0.0142874	0.0427437	0.0275881	0.0389826	0.0372378	0.054589	0.0376111	0.0458651	0.0405706	0.0387707	0.0225098	0.0391954	0.0182709	0.0399304	0.013113	0.0166062	0.0139339	0.0182387	0.0126953	0.0111455	0.00834602	0.0062945	0.00508545	0.0106951	0.0101081	0.011136	0.0245685
partons	0.0344408	0.0302425	0.0269018	0.0125331	0.010901	0.00876864	0.00729966	0.011333	0.0117459	0.0135165	0.00743695	0.0120891	0.01139	0.0110423	0.0147023	0.0147099	0.0178601	0.0207395	0.0199375	0.0295098	0.0370141	0.0417562	0.0448727	0.0382233	0.0453054	0.043616	0.0472335	0.0327078	0.0516791	0.026195	0.0406729	0.0215069	0.0168423	0.018662	0.0156004	0.0158905	0.0152575	0.0149288	0.0116672	0.0114234	0.0149846	0.0172676	0.0168947	0.0326978
au	0.0316923	0.0219564	0.0165015	0.0115855	0.0104078	0.0134796	0.0149872	0.0127989	0.0154661	0.0214432	0.0277945	0.0171751	0.0151035	0.0107381	0.01101	0.0135734	0.0175336	0.00797501	0.0184556	0.0188892	0.0286292	0.0357028	0.036331	0.0307028	0.0383476	0.0370027	0.0397833	0.0314381	0.0362883	0.033561	0.0276723	0.0242923	0.0170593	0.0199909	0.00821804	0.0214048	0.023626	0.025075	0.0212123	0.0256472	0.0234412	0.0253509	0.0231492	0.0375073
ruisseau	0.00796225	0.00658202	0.00440595	0.00481393	0.00303284	0.00388644	0.00412434	0.00519851	0.00433046	0.00846774	0.015014	0.00955053	0.0183847	0.00899166	0.0135064	0.0116055	0.0172976	0.00629532	0.00775063	0.0112078	0.0185126	0.0178669	0.0196568	0.0238856	0.0277951	0.0282465	0.0216749	0.0353925	0.0225166	0.0453653	0.0236439	0.0431677	0.0133262	0.0199127	0.00681504	0.0295244	0.0545542	0.0473259	0.0627962	0.0594257	0.0385928	0.0453642	0.0415139	0.0807159
vouma	0.0225048	0.0203367	0.0139457	0.0097072	0.00653014	0.00598759	0.00645291	0.00975021	0.00927477	0.0112908	0.0113589	0.0126271	0.0202033	0.0146656	0.0245845	0.013752	0.0257047	0.0221381	0.0164099	0.0211439	0.0284873	0.0341793	0.0401295	0.0353386	0.0457667	0.0411968	0.0428782	0.0321239	0.0361824	0.0319518	0.023137	0.0279131	0.00724936	0.0101426	0.00436358	0.01373	0.0204807	0.0166312	0.0291566	0.0276208	0.0218048	0.0297787	0.0284365	0.0729519
chercher	0.0250801	0.0253878	0.0213765	0.0161815	0.00904899	0.00811427	0.00696955	0.00920739	0.0099436	0.00873342	0.00421237	0.00696727	0.00726167	0.00752315	0.0105991	0.00561056	0.0130744	0.0206184	0.0108069	0.0258169	0.0112	0.0174142	0.024807	0.0313759	0.0258737	0.0291687	0.0216457	0.0511018	0.0266085	0.0519474	0.0306058	0.0448987	0.027557	0.0291608	0.00738184	0.0371043	0.0546547	0.0318851	0.0310997	0.0216675	0.0310285	0.0316923	0.0309141	0.0466729
