 	w	a	á	y	i	r	i	i	n	g	á	é	d	z	e	n	g	á	l	ó	b	é	a	w	a	</S>
il	0.114191	0.320723	0.299337	0.124228	0.0576317	0.0130036	0.00203792	0.0017863	0.00220464	0.00278384	0.00248008	0.00246505	0.00281245	0.00517878	0.00514483	0.00535698	0.00527002	0.00528225	0.00404586	0.00371449	0.00463516	0.0043081	0.0045603	0.00239006	0.00212722	0.0023009
n'	0.130901	0.0811099	0.0887812	0.0635827	0.0793659	0.0741268	0.104902	0.0528374	0.023881	0.0302972	0.013456	0.0225712	0.0329103	0.027201	0.0127513	0.01095	0.00745753	0.0116953	0.0099427	0.00723766	0.00596024	0.00500234	0.00768381	0.00740769	0.0120741	0.075914
a	0.0160729	0.0145282	0.0127999	0.0152667	0.0189871	0.0241674	0.0277385	0.0362119	0.0430028	0.0656417	0.0646155	0.0712034	0.0579819	0.0462281	0.0384094	0.0428127	0.0303091	0.0372372	0.0415786	0.0282124	0.028627	0.0352027	0.0428391	0.0331014	0.0689763	0.058248
pas	0.0236684	0.0303022	0.017363	0.01508	0.0148673	0.0129592	0.0133436	0.0302504	0.0252001	0.0297506	0.0491062	0.102162	0.104745	0.0677128	0.0603224	0.051432	0.0558886	0.0366683	0.0648026	0.0212328	0.0281908	0.0256444	0.0226435	0.0121791	0.0475359	0.0369484
répondu	0.0165718	0.0122021	0.00965209	0.00906928	0.0128815	0.0118414	0.0248638	0.0324674	0.0360154	0.0386349	0.0404057	0.0450921	0.0245148	0.0311461	0.0418333	0.0452904	0.0626401	0.044896	0.0481509	0.055137	0.0625495	0.0491385	0.0663712	0.0239992	0.0764196	0.0782159
quand	0.0508812	0.0368879	0.0242533	0.0235842	0.0141122	0.0242833	0.0453545	0.0498345	0.0365256	0.0262996	0.0157763	0.013724	0.0187206	0.0377627	0.0692275	0.0615864	0.025606	0.0207757	0.0557192	0.0383366	0.0305562	0.0253637	0.0190902	0.0144078	0.0472541	0.174077
je	0.0133415	0.0104751	0.00601783	0.00686118	0.00642491	0.0139259	0.0270147	0.0276914	0.02695	0.0342513	0.0334098	0.0290602	0.0229389	0.019957	0.0409649	0.0504091	0.0532468	0.0429182	0.0627069	0.0423836	0.0369785	0.042641	0.0446042	0.0568427	0.0954908	0.152494
l'	0.0156271	0.022265	0.0148924	0.0143521	0.0164622	0.0293407	0.0514034	0.0386321	0.0372577	0.0310512	0.0240798	0.0264911	0.0210704	0.0307454	0.0580116	0.0478048	0.0282286	0.0170356	0.055125	0.0370512	0.0296117	0.023474	0.0356595	0.0413291	0.0510753	0.201923
ai	0.0524432	0.047199	0.0422866	0.0590292	0.0362034	0.0396815	0.0327765	0.0516198	0.0598885	0.0607924	0.0593146	0.0628181	0.0390436	0.0438989	0.0486136	0.030328	0.0312829	0.0130462	0.0207879	0.0141578	0.0108782	0.0130318	0.0110952	0.0166949	0.0085323	0.094556
appelé	0.0428274	0.0597091	0.0529136	0.0429398	0.03627	0.031861	0.0231238	0.0364993	0.0314471	0.0381372	0.0368896	0.0397719	0.0395015	0.0471147	0.036067	0.0314629	0.0358825	0.031059	0.0385461	0.0229751	0.0215609	0.0194914	0.0210622	0.0267004	0.0613286	0.0948579
</S>	0.022305	0.0222038	0.0223032	0.022939	0.0233081	0.0232251	0.0171984	0.0200165	0.019073	0.0225099	0.0208298	0.0262568	0.00903933	0.0155818	0.0325241	0.0245651	0.0358581	0.0437556	0.0502191	0.0496658	0.0507561	0.0455568	0.0612496	0.0778418	0.106715	0.134503
