 	m	v	á	n	d	é	l	á	a	b	ó	m	ó	n	á	s	á	k	ω	p	é	t	s	i	n	a	á	m	i	t	á	á	n	y	a	m	a	</S>
le	0.00492695	0.00515816	0.00632542	0.00704439	0.0061275	0.00761441	0.0254284	0.0329366	0.0476032	0.050297	0.0628021	0.0533343	0.0849428	0.11598	0.0844646	0.0395909	0.0193621	0.0129726	0.0102389	0.0053847	0.00833943	0.0084005	0.00726562	0.00731812	0.00699449	0.0087776	0.0147423	0.0162559	0.0151323	0.0157673	0.0199083	0.021643	0.0272217	0.0327157	0.0355027	0.0314768	0.0221092	0.0178934
chien	0.0215409	0.0847199	0.0859971	0.0781563	0.0687497	0.0532169	0.0301884	0.0394481	0.0542965	0.0692019	0.0968819	0.0399037	0.0452676	0.0262153	0.026478	0.0063001	0.00522448	0.00326048	0.00255503	0.00125168	0.00165246	0.00133974	0.00137296	0.00341524	0.00287458	0.0045314	0.00390394	0.00630745	0.012934	0.016012	0.0121201	0.0139255	0.0318265	0.0220626	0.0125689	0.00914279	0.00291635	0.00223983
aboie	0.0349336	0.023638	0.0294333	0.0275361	0.0396569	0.121511	0.082204	0.0956211	0.0191762	0.0140808	0.00934748	0.0104577	0.00974458	0.0116111	0.0147542	0.0166616	0.0149023	0.0119179	0.015945	0.0124535	0.0170332	0.0179527	0.0216617	0.0252706	0.017797	0.0175151	0.0177603	0.0282501	0.0359725	0.027626	0.0184386	0.0253833	0.0339175	0.033371	0.0183299	0.0160253	0.00664595	0.0054629
là-bas	0.0206961	0.0231724	0.0299184	0.0258721	0.0317694	0.041166	0.0428904	0.0589998	0.0467782	0.055398	0.0412736	0.0494097	0.0437642	0.0381232	0.030999	0.0260692	0.0298846	0.0177356	0.0169146	0.0193102	0.0305254	0.0257315	0.0262604	0.0193957	0.0249596	0.022197	0.0205401	0.0177975	0.0144025	0.01165	0.0103042	0.00771959	0.00733289	0.00814591	0.00865051	0.0132647	0.015288	0.0256897
dans	0.038129	0.0323423	0.0261555	0.0240302	0.0297116	0.0274115	0.0293899	0.0287724	0.0298817	0.0298148	0.0291429	0.0269541	0.0321944	0.0343766	0.0264485	0.0251157	0.0232166	0.0239877	0.0224983	0.0262033	0.0234434	0.0224473	0.0265754	0.0228371	0.0215258	0.0216376	0.0209835	0.0192066	0.0183851	0.0195668	0.0204948	0.0213146	0.0229369	0.0239404	0.0258765	0.0238786	0.0313585	0.047814
la	0.00877059	0.00754594	0.00732637	0.00664794	0.00850333	0.0115105	0.0151286	0.0113129	0.0166402	0.00946878	0.0098394	0.0137934	0.0201606	0.0265542	0.0296573	0.0335128	0.0522281	0.0402121	0.0445568	0.0376385	0.0434852	0.0485996	0.0665628	0.0527478	0.0393536	0.0408287	0.0349921	0.0298384	0.0205908	0.020563	0.0241942	0.0245748	0.0211812	0.0202846	0.0189014	0.0213056	0.023584	0.0374039
forêt	0.0294459	0.0190318	0.0145278	0.011429	0.0186968	0.00945852	0.00848654	0.0113448	0.0167016	0.0168589	0.0174943	0.0158939	0.0206843	0.0245108	0.025618	0.0316544	0.0354563	0.0211261	0.0241248	0.0167415	0.0233826	0.0269021	0.0283584	0.0296456	0.0238024	0.023781	0.0349125	0.0190493	0.0246936	0.0323347	0.0274912	0.0311874	0.042133	0.0352052	0.0205253	0.0387415	0.045773	0.102795
parce	0.0555034	0.0303832	0.0238112	0.0174	0.0137467	0.00717366	0.00449716	0.00640564	0.010063	0.0106072	0.0154826	0.0181185	0.017787	0.0163383	0.0194941	0.0332479	0.0435277	0.0558968	0.0550787	0.0428069	0.0468309	0.049362	0.0451923	0.0382821	0.0423104	0.0239227	0.0188178	0.00931479	0.0107935	0.0118011	0.00841991	0.00918367	0.0145167	0.0107447	0.00670482	0.0199104	0.0340663	0.102457
qu'	0.0269952	0.0270577	0.0303861	0.0248405	0.0163541	0.0142799	0.0123463	0.0134855	0.00989773	0.00740791	0.00990777	0.00923533	0.00721065	0.0055066	0.00786301	0.0214718	0.0660206	0.0527268	0.0509369	0.0636661	0.0514278	0.0520903	0.0597066	0.0607293	0.0339108	0.0369184	0.0265847	0.0203764	0.0165754	0.0147577	0.0131792	0.0147288	0.0110203	0.0116835	0.0139149	0.0208978	0.026063	0.0378387
il	0.0558792	0.0452748	0.0345452	0.0295041	0.0182109	0.0207716	0.0133831	0.0143192	0.0119449	0.0101109	0.0108225	0.00933381	0.0113748	0.00913609	0.010598	0.0168057	0.0234259	0.0245923	0.0240116	0.0249522	0.0246924	0.0240422	0.0250367	0.0263342	0.0245794	0.0208732	0.0225609	0.0175696	0.0189502	0.0285046	0.0308376	0.0329518	0.0320584	0.0290836	0.0331381	0.033612	0.057671	0.0985072
