 	n	g	á	í	w	ú	r	u	o	s	i	á	a	b	v	i	á	s	á	n	g	o	n	d	a	</S>
je	0.178478	0.351292	0.132968	0.170476	0.0170606	0.00560936	0.00301801	0.00369038	0.00367888	0.00218553	0.00733119	0.00603604	0.00819879	0.00842882	0.00899163	0.00713373	0.00642313	0.00794429	0.00835865	0.00770275	0.00821594	0.00955336	0.00979156	0.00974825	0.0093738	0.00831105
viens	0.0431464	0.0212042	0.0431907	0.043991	0.0456258	0.111082	0.0637929	0.095498	0.113817	0.105415	0.0791177	0.0352233	0.0159	0.0126639	0.0125689	0.0141668	0.0136716	0.0119412	0.0138321	0.011814	0.0115699	0.0121565	0.00659666	0.00900744	0.0183767	0.0346308
de	0.026798	0.0220212	0.0228536	0.0165541	0.0246695	0.0144824	0.0156182	0.0359423	0.0388799	0.0597812	0.0658576	0.0726048	0.0749863	0.0399667	0.0332725	0.026958	0.0475177	0.0346385	0.0455763	0.0398449	0.0323595	0.0357059	0.0382206	0.0357224	0.0336517	0.0655161
semer	0.016815	0.00879228	0.0127614	0.00896846	0.033184	0.0403085	0.0396325	0.0373782	0.0306263	0.0355629	0.0329548	0.0441357	0.0442501	0.0210949	0.0396287	0.0368117	0.0613536	0.0395323	0.0508769	0.0515026	0.0414293	0.0470052	0.0430299	0.047592	0.0493456	0.0854269
l'	0.0193705	0.00854298	0.00686383	0.00570713	0.0207187	0.0246524	0.0222531	0.0214362	0.0220478	0.0186302	0.0236697	0.0262547	0.0299565	0.0193372	0.035539	0.0467177	0.0565265	0.0573449	0.0654117	0.0696309	0.0660189	0.0656087	0.0585585	0.0606298	0.0632435	0.085329
oseille	0.0107554	0.00841717	0.00803036	0.00820291	0.00782457	0.0137589	0.0134547	0.0212133	0.0364599	0.0286715	0.0365222	0.0211803	0.0235109	0.03264	0.0530427	0.0533193	0.052779	0.0613148	0.0417897	0.0613609	0.0617951	0.0500058	0.0421896	0.0513475	0.0513956	0.149018
dans	0.0170074	0.0185462	0.0139474	0.0129998	0.0106323	0.0123153	0.0133529	0.0159521	0.0225612	0.025847	0.0352474	0.0287186	0.0322781	0.0362722	0.0464879	0.0534851	0.0481706	0.05896	0.0547665	0.0718645	0.057976	0.0546686	0.0514681	0.0556272	0.0548687	0.095979
mon	0.0250923	0.0211385	0.0172399	0.0229731	0.0222553	0.0251849	0.0164023	0.0193191	0.0223678	0.0162148	0.0168986	0.00970617	0.0138435	0.0180272	0.0251699	0.0279379	0.0381014	0.0487986	0.0575701	0.0679017	0.0624159	0.0635093	0.0774997	0.0805068	0.0849532	0.0989722
champs	0.0278763	0.0238557	0.0189007	0.0265531	0.0260983	0.0220418	0.0125127	0.0110594	0.00971265	0.00836938	0.0101711	0.00997927	0.012948	0.0152407	0.0198609	0.022063	0.0300376	0.0403552	0.0446304	0.0592729	0.0683041	0.0816928	0.0929348	0.0893602	0.0987716	0.117398
</S>	0.0867132	0.035882	0.0203468	0.0266965	0.0206741	0.0210025	0.0211343	0.024503	0.0267357	0.0215026	0.0262152	0.0224083	0.0178509	0.0149368	0.0147607	0.0124855	0.0191438	0.0234534	0.0276486	0.0443152	0.0369834	0.0392967	0.0509645	0.083358	0.085835	0.175153
