 	m	ú	n	d	a	l	a	k	ó	l	i	m	o	o	p	έ	k	y	έ	n	έ	n	έ	b	u	é	e	</S>
dans	0.0147938	0.00864262	0.0113478	0.0105896	0.00805253	0.0265396	0.0204609	0.0316798	0.023769	0.0244916	0.0367933	0.0375569	0.0634037	0.058945	0.0613214	0.0515907	0.0633165	0.0420486	0.0439261	0.0487322	0.0344272	0.0462083	0.0516212	0.0464789	0.0293707	0.0362642	0.0305411	0.0370866
la	0.125587	0.0655081	0.0307073	0.021728	0.0194668	0.0190236	0.0211329	0.0322823	0.0327856	0.0318353	0.0331636	0.0512074	0.0332961	0.0786625	0.0647699	0.0494868	0.0547334	0.0344229	0.0298617	0.0301103	0.0329369	0.0169908	0.0116551	0.0143469	0.00968955	0.0110576	0.016416	0.0271351
nuit	0.059465	0.0384796	0.0226998	0.0201982	0.0187118	0.093458	0.185035	0.101513	0.087467	0.0257146	0.025675	0.0204106	0.0235977	0.0299398	0.0359582	0.0380566	0.0331486	0.0312499	0.0248534	0.0177408	0.0153501	0.0131614	0.00959949	0.00642861	0.00659857	0.00413731	0.00493159	0.0064201
la	0.0395586	0.0465849	0.0412018	0.043117	0.0578763	0.0848229	0.0683691	0.0416837	0.0321891	0.0200383	0.0235619	0.0256142	0.0212535	0.0158945	0.0205188	0.029507	0.0183891	0.030815	0.031471	0.024547	0.0325257	0.021489	0.0293431	0.022028	0.0290118	0.0330944	0.0640881	0.0514063
lampe	0.0534153	0.0411974	0.0397348	0.0325927	0.0202631	0.0537194	0.0741775	0.0898054	0.0755704	0.0332272	0.0362536	0.0381803	0.0459928	0.0353086	0.0494216	0.046205	0.0440482	0.0316433	0.028886	0.0227915	0.0141036	0.0106701	0.00651794	0.00557075	0.00543137	0.00756186	0.00947727	0.0482329
émet	0.0936679	0.0935435	0.0869246	0.0819293	0.0779656	0.0535338	0.0552492	0.0458427	0.0436443	0.0190906	0.0197046	0.0244437	0.0224728	0.0269487	0.0506579	0.0472359	0.0277954	0.0151412	0.00973791	0.00923715	0.00917148	0.00697851	0.00444376	0.0106815	0.00677875	0.0100162	0.0139072	0.033256
une	0.0556868	0.0776112	0.0855885	0.0872773	0.0640504	0.0446662	0.0423168	0.0327858	0.0304552	0.0252843	0.022102	0.024067	0.0259456	0.0318357	0.0553703	0.0643245	0.0359087	0.0195628	0.0121534	0.011972	0.0134315	0.00954175	0.00864643	0.0152106	0.0126921	0.0127779	0.0204143	0.0583208
lumière	0.0683029	0.11643	0.134629	0.140835	0.0828056	0.058323	0.0406929	0.0347745	0.0328308	0.0299366	0.0259174	0.0271771	0.0247362	0.0355657	0.0216926	0.0176264	0.0118862	0.00750087	0.00568774	0.00476774	0.00504913	0.00369	0.00269233	0.0041509	0.00557884	0.00717134	0.012172	0.0373776
éblouissante	0.0625094	0.0728192	0.0701388	0.0622673	0.0500593	0.0388594	0.0262961	0.0174147	0.0114574	0.00984291	0.0101188	0.0116984	0.0127657	0.0337123	0.0585232	0.0701734	0.0619501	0.041131	0.0241351	0.0261002	0.0249197	0.022519	0.0131145	0.0286868	0.0187739	0.0213295	0.0324746	0.0662093
</S>	0.062268	0.0465884	0.0304484	0.0208927	0.0359234	0.0223931	0.00876576	0.00644103	0.00475099	0.00509989	0.00475595	0.00640991	0.00436323	0.0106468	0.0241831	0.0379708	0.0360689	0.0504258	0.0516788	0.047889	0.04268	0.0360914	0.0319542	0.0406542	0.0497645	0.0522168	0.0942501	0.134425
