 	n	g	á	l	í	i	m	y	ω	n	g	ώ	o	k	w	á	í	o	b	o	s	ó	m	í	d	z	w	a	l	á	k	ώ	</S>
j'	0.0538967	0.425152	0.256354	0.186688	0.0399019	0.008844	0.00181371	0.00165322	0.000881569	0.000832011	0.000774777	0.000896748	0.0010777	0.0011968	0.00137409	0.00179123	0.00163639	0.00137626	0.00116613	0.00115191	0.00115501	0.00111133	0.00099668	0.00101447	0.000738998	0.000985115	0.000548852	0.000761156	0.000602445	0.00059626	0.00102117	0.00106078	0.000949199
aiguise	0.0292165	0.0134496	0.0178693	0.0103652	0.00968409	0.0118232	0.0255436	0.0287248	0.0580989	0.110382	0.13331	0.0853254	0.0372576	0.0448562	0.0431968	0.0618854	0.068205	0.0393169	0.0107353	0.00967967	0.00779906	0.00841812	0.00915599	0.0083573	0.00908511	0.0128546	0.00379269	0.0175919	0.00820296	0.00734213	0.00932635	0.0120007	0.0371476
la	0.0201896	0.0311979	0.0294825	0.0234252	0.0217663	0.0113354	0.00915548	0.0134928	0.0215769	0.0344258	0.0364565	0.0232789	0.021673	0.0368951	0.0433859	0.0429257	0.056652	0.054142	0.0762186	0.071825	0.0669558	0.0403515	0.0387675	0.0211296	0.030667	0.015368	0.0167748	0.0113227	0.0144392	0.0117394	0.00893818	0.0144438	0.0296019
machette	0.00441154	0.00449833	0.00672047	0.00609715	0.0102257	0.0116584	0.0264221	0.0338475	0.0592574	0.0417922	0.0303682	0.0299274	0.0397638	0.0709295	0.0702854	0.0445388	0.0473668	0.0420658	0.039183	0.0374642	0.0357378	0.0403838	0.0260809	0.0287837	0.0268287	0.0256197	0.0165383	0.019084	0.0255335	0.0191642	0.0182758	0.0285033	0.0326423
avant	0.0106507	0.00797837	0.0148395	0.0145408	0.0102635	0.0120036	0.0442918	0.0565703	0.0696073	0.0493334	0.0331016	0.0313121	0.0285182	0.0294978	0.0127351	0.0121029	0.0130772	0.00959297	0.0246698	0.0327134	0.0310287	0.0286919	0.0289436	0.034587	0.0452617	0.0300134	0.0202278	0.023883	0.0369206	0.0373398	0.0383783	0.0515244	0.0757995
d'	0.109253	0.084326	0.0220506	0.022001	0.0100798	0.0115118	0.0201377	0.0217278	0.0242117	0.0226717	0.0235979	0.0297823	0.0299705	0.0221846	0.0115185	0.0117124	0.0130091	0.00945095	0.0297436	0.0377494	0.0339147	0.0306395	0.0320882	0.0345613	0.0285642	0.0260045	0.0208626	0.0210127	0.0222648	0.0239755	0.0250386	0.0336203	0.100762
aller	0.0413666	0.0183248	0.0194053	0.0164276	0.00913405	0.0151545	0.0221842	0.0252667	0.0256741	0.034835	0.0393592	0.0412111	0.0442165	0.0487527	0.0358423	0.0438411	0.0396806	0.0250284	0.0343755	0.0359419	0.0288115	0.0299637	0.0266998	0.0298365	0.0287525	0.0249007	0.012116	0.0151194	0.0192454	0.0202776	0.0273011	0.0436743	0.0772794
en	0.0200896	0.0184377	0.0365424	0.0484254	0.013737	0.0170483	0.0228494	0.0265953	0.0318215	0.0245549	0.0209431	0.0321767	0.0355546	0.0293165	0.0144749	0.0165639	0.0164123	0.0117354	0.0239713	0.0349718	0.033106	0.0273828	0.0325843	0.0299569	0.0308944	0.0385597	0.0319061	0.0320981	0.0342308	0.0438085	0.0476933	0.0506278	0.0709294
forêt	0.0237637	0.0248854	0.0320023	0.0418838	0.0238399	0.0161629	0.0118089	0.011289	0.0091703	0.00912016	0.00722533	0.00624823	0.00705558	0.00789032	0.00613955	0.01302	0.0145247	0.0151023	0.0184767	0.0250412	0.0290465	0.0227971	0.0255132	0.0323047	0.0467514	0.0455259	0.0355084	0.0335071	0.0563916	0.0670087	0.0841321	0.0888015	0.108062
</S>	0.0142955	0.011974	0.0155712	0.0160128	0.0184586	0.0175205	0.0175836	0.0158537	0.0154178	0.016054	0.0121787	0.0082466	0.00676853	0.00473418	0.00278872	0.0105254	0.0100275	0.00901223	0.0121633	0.019318	0.026079	0.0188549	0.0318455	0.0461023	0.0541722	0.0407579	0.0395215	0.0382834	0.067584	0.0792934	0.0870638	0.0942263	0.121711
