 	b	í	s	í	l	é	e	b	é	r	á	m	b	á	s	i	s	ó	t	ε	r	ε	</S>
nous	0.132755	0.144533	0.186677	0.104013	0.0590891	0.0185315	0.0185242	0.0231175	0.0267142	0.0217091	0.0233664	0.0214205	0.02185	0.0382247	0.0326048	0.0352104	0.0269175	0.0155908	0.00906013	0.00611185	0.00756582	0.0100105	0.0164028
portons	0.0251768	0.0279068	0.0287907	0.0383548	0.0446145	0.0757206	0.0732087	0.0873872	0.0826769	0.0775269	0.0868332	0.0775312	0.0830327	0.0413172	0.0308076	0.0199223	0.019232	0.0199434	0.0170102	0.0157374	0.0118425	0.0085219	0.00690441
le	0.0401649	0.0810534	0.0661856	0.0859197	0.0505956	0.0361085	0.0279257	0.0203119	0.0190837	0.0305538	0.040826	0.0536868	0.0833595	0.0513213	0.0489495	0.0337401	0.0203585	0.0175996	0.0244804	0.0255377	0.0459614	0.0614665	0.0348098
cabri	0.004715	0.00534244	0.00739975	0.00869036	0.0160937	0.0289865	0.0455112	0.0462536	0.0531128	0.0479991	0.047228	0.0491933	0.0522447	0.0508344	0.0761743	0.0620469	0.0471826	0.042626	0.0505414	0.0598514	0.0647672	0.0625151	0.0706904
dans	0.0162487	0.00915844	0.00792733	0.0101119	0.0193288	0.0306229	0.0353397	0.0351681	0.0411773	0.0314799	0.0232242	0.0196614	0.0249143	0.0197432	0.029305	0.0358454	0.0381909	0.0324236	0.0462336	0.105658	0.10989	0.109459	0.168888
un	0.0841772	0.0749443	0.053476	0.0401882	0.0407861	0.0402879	0.0400049	0.0393832	0.0323585	0.0318009	0.0247548	0.0246108	0.0252571	0.0230847	0.0325589	0.0421408	0.0371379	0.036694	0.037139	0.0432376	0.0562937	0.0543001	0.0853833
panier	0.023486	0.022562	0.0224532	0.022698	0.0267528	0.0278168	0.0288109	0.0391538	0.037701	0.034585	0.0234013	0.0246964	0.037228	0.0347577	0.0503064	0.0489734	0.0536437	0.0633665	0.0490135	0.0781574	0.0608443	0.062599	0.126993
tissé	0.0568725	0.0508274	0.0471712	0.0437373	0.0426961	0.0298666	0.0293272	0.0254653	0.0190844	0.0200328	0.0137383	0.015943	0.0137695	0.0133183	0.0197004	0.0282033	0.037482	0.0467526	0.0532227	0.0869711	0.0734448	0.0697511	0.162622
en	0.0554413	0.0508743	0.0462781	0.0261673	0.0268084	0.0249099	0.0208071	0.0304207	0.0377283	0.0347237	0.0279697	0.0288844	0.0293129	0.0293766	0.0407235	0.0422454	0.0408054	0.0399945	0.0414914	0.0627127	0.074872	0.0745846	0.112868
palmes	0.0247558	0.0273413	0.0348363	0.0236941	0.025662	0.0267266	0.0360352	0.0358185	0.0476002	0.0417122	0.0403689	0.0344415	0.057684	0.0683712	0.0536481	0.0712032	0.0588814	0.0304483	0.031037	0.0357847	0.0560918	0.0567119	0.0811456
</S>	0.0445119	0.0351761	0.0350425	0.0341971	0.0366233	0.0331758	0.0364043	0.033957	0.0372248	0.0286366	0.021857	0.0191591	0.0282716	0.0298803	0.0360166	0.0481924	0.0417766	0.0321328	0.0378116	0.0592505	0.0744566	0.0696921	0.146553
