 	b	e	a	b	í	í	l	á	m	b	í	w	a	b	í	i	y	ε	l	í	s	έ	n	g	á	m	w	ε	</S>
la	0.0253332	0.013698	0.00656439	0.00846587	0.0065294	0.00376517	0.00906166	0.00643743	0.0345287	0.0447744	0.0758107	0.16119	0.1665	0.0979531	0.0262773	0.0197357	0.0189042	0.017903	0.0155127	0.0173549	0.0309269	0.0244299	0.0314684	0.0320812	0.028663	0.032139	0.0159863	0.0147658	0.0132389
nourriture	0.0908536	0.302802	0.203697	0.213274	0.0728076	0.0255699	0.0127894	0.00371268	0.00125922	0.000270415	0.000147292	0.000230841	0.000414855	0.000890731	0.00278157	0.00729739	0.00566813	0.00480777	0.0044548	0.0109545	0.0133969	0.00567104	0.00345825	0.00631407	0.00144225	0.00231009	0.00145728	0.000793452	0.000473292
qu'	0.0706789	0.0646562	0.0989432	0.0263052	0.0438592	0.0345819	0.0243285	0.0493267	0.0216038	0.0315693	0.0152826	0.0130999	0.016863	0.0158169	0.0316661	0.057461	0.0464313	0.0338023	0.0304229	0.0630898	0.0518003	0.0203242	0.0428848	0.0317877	0.020744	0.00997781	0.0079189	0.0139	0.0108737
il	0.103866	0.0765286	0.0507497	0.0208136	0.0196288	0.015891	0.0100688	0.0131653	0.0342729	0.0364462	0.0274296	0.029165	0.0463102	0.0281067	0.026743	0.0225729	0.0157358	0.0135066	0.0224983	0.0186126	0.0231191	0.0218127	0.0174226	0.0368696	0.0198312	0.0146076	0.0309775	0.0777727	0.125475
a	0.0537862	0.0472423	0.0720768	0.0545186	0.0829566	0.0480437	0.0761827	0.0359614	0.0594667	0.0388563	0.0278582	0.00890529	0.0150278	0.022844	0.0486097	0.0400934	0.0261991	0.0166874	0.0214278	0.0197826	0.0114203	0.0117375	0.0131468	0.0124133	0.0199076	0.0117267	0.0162834	0.0235787	0.063259
préparée	0.0266468	0.0250138	0.0522521	0.038937	0.0526637	0.034711	0.0447769	0.0238751	0.0538533	0.0358157	0.0115943	0.00384699	0.00604557	0.0078079	0.0129071	0.0202193	0.0430942	0.041908	0.0436554	0.0431574	0.0261561	0.0291463	0.0326372	0.0332925	0.0531493	0.0406318	0.0468704	0.0472656	0.068069
me	0.0961551	0.0592238	0.0560526	0.045272	0.0694714	0.0413185	0.0436647	0.0292326	0.0453371	0.0220099	0.0141262	0.0054658	0.00472174	0.0073887	0.0238043	0.0250852	0.0325581	0.0190686	0.0170014	0.0135876	0.00889119	0.0109926	0.0123215	0.0183672	0.0195645	0.0371376	0.0383984	0.0697472	0.114035
donne	0.0736495	0.0640813	0.0903222	0.0813527	0.139283	0.0711085	0.0439576	0.0144452	0.0286094	0.0133521	0.00437705	0.0033718	0.0037587	0.00342599	0.00254907	0.00380721	0.0132962	0.0214158	0.0121324	0.0124073	0.0148348	0.0141494	0.0198136	0.0155649	0.0225844	0.0243646	0.0338695	0.0525389	0.101577
la	0.0883543	0.073845	0.0921557	0.0393342	0.0498721	0.0408954	0.0304015	0.028304	0.0331355	0.0331057	0.0218564	0.0102945	0.00837739	0.0066281	0.00728063	0.0104251	0.0259513	0.0323801	0.0271314	0.0217091	0.0184636	0.0188114	0.0177757	0.026274	0.0240518	0.0302914	0.0360015	0.0501039	0.0967894
nausée	0.114662	0.101393	0.0604787	0.0406525	0.0242983	0.0125946	0.0105313	0.00612601	0.00919002	0.00752929	0.00772059	0.006775	0.00812039	0.00887064	0.00638473	0.0116576	0.0127588	0.0185521	0.0269266	0.0263724	0.0200267	0.0292194	0.0211525	0.0372452	0.0362962	0.0504542	0.058587	0.0739718	0.151452
</S>	0.124944	0.0708705	0.0736125	0.049203	0.0494899	0.0398144	0.0311991	0.0284529	0.0268569	0.0243288	0.0109968	0.00497733	0.0058493	0.00720773	0.00420448	0.00695998	0.0138304	0.0148788	0.0110992	0.00993451	0.0145968	0.0120607	0.0137292	0.0112119	0.018277	0.0383584	0.0429224	0.0858156	0.154318
