 	o	k	a	n	i	i	n	d	é	e	y	é	á	d	z	e	n	g	ó	l	ó	m	i	y	a	a	d	u	a	</S>
c'	0.00827389	0.0114912	0.0128265	0.0114333	0.0155713	0.0170745	0.019822	0.018086	0.0194104	0.0302343	0.0496709	0.0695375	0.0539762	0.0483105	0.0404832	0.0268987	0.0289393	0.0169356	0.0137392	0.0149119	0.0225915	0.0195882	0.0382417	0.0445244	0.0488263	0.0561903	0.0613412	0.0693416	0.0661559	0.0455728
est	0.0459311	0.0523378	0.0330268	0.036326	0.0416225	0.0498907	0.0261056	0.0275466	0.0145077	0.0126889	0.0144301	0.0202707	0.0243982	0.0273803	0.028485	0.0307647	0.0746966	0.0583156	0.0878733	0.0857846	0.0859677	0.047696	0.0356241	0.00689545	0.0064706	0.00709568	0.00429825	0.00406564	0.00466935	0.00483433
l'	0.101336	0.0625972	0.0554814	0.0729314	0.066086	0.0561458	0.0362856	0.0198847	0.0208333	0.04322	0.0233255	0.0315001	0.0307955	0.0301371	0.0576079	0.0597654	0.0335432	0.01589	0.0525622	0.0365815	0.0396186	0.00477471	0.00316993	0.00198509	0.00235533	0.00366135	0.00263384	0.00302494	0.00531898	0.0269472
oncle	0.0337643	0.0428647	0.0326331	0.031542	0.0190558	0.0173492	0.00887537	0.00706048	0.00635917	0.0111826	0.0104626	0.0126	0.0155027	0.0140134	0.0295819	0.0427924	0.0560842	0.0132971	0.0896559	0.0736341	0.0822716	0.0373897	0.0356589	0.0326458	0.0407684	0.0325245	0.0199432	0.031398	0.0379626	0.0811262
d'	0.0323117	0.0243731	0.0167134	0.0127351	0.0165485	0.0104718	0.0113623	0.00822145	0.00713614	0.0150342	0.0129037	0.0145377	0.0291211	0.0273391	0.0166111	0.0305688	0.0599871	0.0405095	0.137214	0.157976	0.117401	0.0309741	0.0245914	0.013695	0.017891	0.0161496	0.012762	0.01255	0.0244578	0.047852
adoua	0.0292542	0.0465765	0.0606049	0.0826194	0.103198	0.0810857	0.0468995	0.0448311	0.041342	0.0352106	0.0386252	0.0330004	0.0329291	0.0335125	0.0207764	0.0187931	0.0243539	0.00904247	0.0426322	0.0207758	0.0264084	0.00839275	0.00800752	0.0120466	0.0135773	0.0132951	0.0112875	0.013611	0.0157365	0.0315747
qui	0.0559008	0.0469825	0.0296301	0.027968	0.0248609	0.014268	0.0082079	0.00766102	0.00827786	0.0103847	0.0117301	0.0136056	0.0195868	0.0199917	0.0227617	0.0495728	0.0955056	0.101056	0.100918	0.0926469	0.0390204	0.0331358	0.0166882	0.011297	0.0111418	0.0118628	0.0135074	0.0168352	0.0229301	0.0620641
a	0.145416	0.100735	0.0577441	0.0394798	0.0246577	0.00683513	0.00305691	0.00331671	0.00284978	0.00697589	0.00784209	0.00951251	0.0113464	0.0118788	0.018368	0.0277587	0.03553	0.0567376	0.0755225	0.0699631	0.0283521	0.00988377	0.00709933	0.0150708	0.0174485	0.0294722	0.0265393	0.0406269	0.0442788	0.0657009
érigé	0.175836	0.0741578	0.0370059	0.0171362	0.00864725	0.00349494	0.00240121	0.0025397	0.00250404	0.00380576	0.0038428	0.00436629	0.0060398	0.00619323	0.013011	0.024951	0.0320061	0.0575815	0.0930193	0.0638305	0.0398227	0.0204675	0.0120443	0.0159706	0.0171451	0.0324807	0.0351624	0.0502651	0.0548266	0.089445
les	0.0572471	0.0373886	0.0236041	0.0205341	0.0224767	0.0190021	0.0131213	0.0119317	0.0113171	0.0147363	0.0134774	0.0149825	0.0198288	0.0197363	0.0205616	0.0378899	0.07128	0.0771443	0.0695657	0.0787071	0.0527502	0.0339668	0.0239709	0.0177726	0.0270453	0.0193036	0.0204487	0.0321273	0.0409559	0.0771262
murs	0.171498	0.0861366	0.0475631	0.0312006	0.0217974	0.0092597	0.00577766	0.00600217	0.00610101	0.00775797	0.00745251	0.00760197	0.00759651	0.00858221	0.0149417	0.0251349	0.0290634	0.0422877	0.0759392	0.0391944	0.0322723	0.0151756	0.00998357	0.0192643	0.0189026	0.0337287	0.0241312	0.0535056	0.0572238	0.0849231
de	0.0656141	0.0499646	0.0370534	0.0313338	0.0268278	0.0208665	0.0166685	0.0146558	0.0122786	0.0163408	0.0147303	0.0177667	0.0199079	0.0223474	0.0381884	0.0557743	0.0585343	0.0385937	0.0568289	0.0512425	0.0702057	0.0332486	0.0319522	0.0138897	0.0163021	0.0162327	0.0153574	0.0207437	0.0253352	0.0912143
cette	0.170696	0.0647243	0.0320203	0.0268376	0.0255447	0.0243995	0.0131739	0.0106248	0.0102191	0.0132494	0.0108214	0.0126041	0.0144853	0.0137731	0.0161208	0.0273746	0.027049	0.0255886	0.0634166	0.0539454	0.0473198	0.0217897	0.0250737	0.0177144	0.0238802	0.023168	0.0210622	0.0344391	0.0346246	0.0942604
maison	0.0810151	0.0379436	0.0243555	0.0206381	0.016489	0.0110999	0.00874949	0.00878224	0.0089243	0.00947867	0.00914615	0.00902	0.00930081	0.00949116	0.0100023	0.0127594	0.0143705	0.0279694	0.0513838	0.0320214	0.0300285	0.0193481	0.0158343	0.0281872	0.0402942	0.0540215	0.054717	0.0876024	0.0930911	0.163935
en	0.137939	0.0555499	0.0327006	0.0266915	0.0217035	0.0138	0.00909902	0.00888416	0.00928849	0.0109441	0.0100398	0.00968979	0.0108588	0.0122327	0.0146559	0.022527	0.0309165	0.0325022	0.0484349	0.0415377	0.0575977	0.0280419	0.019481	0.0179614	0.0289068	0.0316224	0.0326288	0.0502791	0.0541621	0.119323
terre	0.0521522	0.0221798	0.0135696	0.0120475	0.011485	0.0131321	0.0112439	0.0120789	0.0193737	0.0185234	0.0174774	0.0158544	0.0116159	0.0119884	0.0173764	0.01843	0.0126311	0.039292	0.0784274	0.0275206	0.0415272	0.0290282	0.0218899	0.0325762	0.0410434	0.0464186	0.0379431	0.0703304	0.0783871	0.164457
battue	0.213524	0.0825558	0.0416878	0.0317958	0.0254106	0.0172184	0.0127829	0.0132617	0.0146749	0.0181095	0.015981	0.0146282	0.014167	0.0155671	0.0169033	0.020466	0.0210295	0.025163	0.0320765	0.0128191	0.0149365	0.00824155	0.00646447	0.00687642	0.01213	0.0223367	0.0276968	0.0522224	0.0609492	0.128324
</S>	0.177035	0.10516	0.0667795	0.051414	0.0463295	0.0276611	0.0142652	0.0121925	0.0127379	0.0144923	0.014275	0.0140575	0.0173554	0.0214819	0.0191475	0.025692	0.0233376	0.00787512	0.0185839	0.021975	0.023043	0.0147942	0.0182631	0.0125403	0.0155973	0.0178557	0.0194561	0.0303829	0.0372021	0.0990171
