 	b	á	n	a	b	ó	b	á	a	b	h	í	á	a	n	y	ω	s	í	m	a	n	d	a	é	</S>
les	0.0335449	0.0605681	0.0276588	0.0339201	0.0479493	0.0162955	0.0138224	0.0120191	0.0186103	0.0294	0.0380469	0.0552699	0.0752959	0.0879844	0.0861446	0.0878109	0.0866301	0.0516489	0.027091	0.0191261	0.0211952	0.0191966	0.0172576	0.0142086	0.0109206	0.0083843
enfants	0.0854829	0.075058	0.105234	0.0847481	0.0925309	0.0552471	0.0726684	0.0402967	0.0492872	0.0371699	0.0269645	0.0300711	0.0255819	0.0180954	0.0138369	0.0193293	0.0148838	0.0154808	0.0224946	0.0187075	0.0235378	0.0156359	0.0161201	0.0159581	0.0173852	0.00819403
sont	0.0571949	0.0277816	0.0369449	0.0337118	0.0535051	0.0710295	0.0938127	0.0677891	0.0762037	0.0402168	0.0298436	0.0511608	0.0508914	0.028705	0.0326364	0.0297028	0.0335657	0.0328831	0.0286115	0.0264937	0.0287028	0.0215809	0.0174053	0.0115349	0.00908451	0.00900725
en	0.0147752	0.0197945	0.0420589	0.0279482	0.0222924	0.0226101	0.0344012	0.0252642	0.0286914	0.0279913	0.0368169	0.0349557	0.0442501	0.0549411	0.0553405	0.0713105	0.0881981	0.102132	0.0541263	0.0455233	0.0341629	0.0234663	0.0175698	0.0200825	0.0225316	0.0287655
train	0.0362113	0.0415695	0.0355646	0.0301106	0.0309061	0.034441	0.0399401	0.0351203	0.0433155	0.045962	0.0450581	0.0456079	0.0459371	0.0487719	0.0517852	0.0430659	0.0401239	0.0295262	0.0334034	0.0340465	0.034017	0.0316385	0.0311518	0.032893	0.0358315	0.0440012
de	0.102445	0.0629976	0.0453845	0.0601132	0.0402413	0.0494864	0.0556129	0.0719561	0.0469826	0.0269102	0.0224704	0.0306575	0.0272496	0.0290181	0.031694	0.0200747	0.0138393	0.0123625	0.0127308	0.0120753	0.0179851	0.0165501	0.0215565	0.0269931	0.0409232	0.10169
piéger	0.067882	0.0401576	0.0274402	0.0350641	0.0255221	0.0272123	0.0356301	0.0357589	0.0396079	0.039119	0.0343867	0.0321115	0.0222377	0.0276029	0.0256262	0.0348377	0.0499628	0.0732797	0.0595513	0.0437547	0.0487593	0.0420274	0.0346204	0.0237914	0.0310595	0.0429966
les	0.0739077	0.0460594	0.0442169	0.0513072	0.043715	0.0429422	0.0412114	0.0313105	0.0274517	0.023011	0.0192586	0.016212	0.0195826	0.015237	0.0268992	0.0216922	0.0283899	0.0327048	0.0341755	0.0348816	0.0334651	0.0355467	0.0439096	0.0391532	0.0519483	0.121811
oiseaux	0.0402758	0.0337181	0.0294211	0.0310793	0.0187474	0.015424	0.0170605	0.0126171	0.0152647	0.0152241	0.01886	0.0230054	0.0252798	0.0212728	0.0224323	0.0170201	0.0208374	0.0216349	0.0214748	0.0230693	0.0336954	0.0529546	0.0790067	0.0663918	0.104794	0.219438
avec	0.191412	0.086414	0.0641193	0.0396088	0.0193106	0.0178614	0.0171713	0.014546	0.0111019	0.0093855	0.00808503	0.00900604	0.0115888	0.0145098	0.0185161	0.0189918	0.0175885	0.0235997	0.0237017	0.0216352	0.021795	0.030105	0.0554022	0.0630543	0.0601779	0.131312
les	0.112648	0.0695798	0.0677235	0.0660905	0.0358696	0.0346804	0.0313561	0.0180683	0.0179069	0.0130927	0.00781312	0.00849364	0.00905349	0.0084355	0.014478	0.0132279	0.0139502	0.0124166	0.0115048	0.01304	0.0179057	0.0300707	0.0502501	0.0434137	0.0608321	0.218099
fruits	0.0296981	0.019726	0.0154488	0.0180537	0.0118333	0.0111555	0.00992301	0.0109564	0.00845195	0.00797203	0.00475491	0.0049834	0.00630334	0.00803254	0.0138855	0.0213235	0.0286398	0.0328181	0.0395317	0.0489542	0.0499652	0.0850597	0.121392	0.106966	0.130101	0.15407
andae	0.082214	0.0493844	0.0467063	0.0516395	0.032962	0.0457994	0.0521952	0.0408267	0.0332734	0.0190316	0.00930564	0.0071397	0.0107483	0.00687483	0.0140023	0.0157182	0.0177125	0.0140044	0.0132535	0.0151861	0.0124013	0.0261657	0.0458112	0.0435147	0.0773623	0.216767
</S>	0.0738402	0.0607389	0.0572398	0.0517533	0.0410078	0.0466726	0.0344865	0.0212241	0.0184424	0.0142784	0.0079808	0.00690972	0.00623931	0.00418328	0.00892888	0.00908832	0.0143215	0.0210274	0.0289693	0.0354131	0.0305204	0.0434727	0.0592923	0.046939	0.0787256	0.178304
