 	n	g	a	n	g	a	á	b	ω	n	d	z	i	e	k	ó	r	ó	y	é	é	d	z	é	l	o	y	ú	r	u	w	ó	</S>
le	0.0238501	0.0394042	0.0288435	0.0265106	0.0250472	0.0346429	0.0179568	0.020331	0.0321583	0.03106	0.0386439	0.0309117	0.0343703	0.0721968	0.0703282	0.0633527	0.0400168	0.0676746	0.0399325	0.0314858	0.0248696	0.0201309	0.0235033	0.016645	0.0218107	0.0218927	0.0194238	0.0208505	0.0198701	0.0128296	0.00784382	0.00860769	0.0130044
féticheur	0.0751565	0.101386	0.184368	0.14183	0.105502	0.0811633	0.09997	0.0579511	0.0560193	0.0222541	0.0105744	0.00625232	0.00439471	0.00113009	0.000635222	0.00182094	0.003605	0.00215319	0.00288874	0.00343889	0.00249176	0.00366813	0.00407542	0.00359265	0.00349183	0.00566316	0.00425347	0.00242415	0.00256713	0.00202288	0.000820332	0.00119117	0.00124382
a	0.0191306	0.0322745	0.0289566	0.0343964	0.0487549	0.0261919	0.0869228	0.147231	0.077742	0.0474043	0.0652004	0.072504	0.0669511	0.0216793	0.0239339	0.0236567	0.0257478	0.0167962	0.00828036	0.0079031	0.00719027	0.00549918	0.00657175	0.00655575	0.00703234	0.0116542	0.00635619	0.00878624	0.00897288	0.00961238	0.00834761	0.0113447	0.0204188
neutralisé	0.0241008	0.0246635	0.0248946	0.040422	0.0478479	0.0188942	0.0355441	0.0367724	0.0334089	0.0310684	0.0360154	0.0574925	0.0668849	0.0355282	0.0393146	0.0272343	0.0422627	0.0268506	0.0216985	0.019244	0.0209406	0.0187227	0.0122577	0.0254043	0.0232583	0.0245469	0.022364	0.0265787	0.0262465	0.0282406	0.0233641	0.0191935	0.0387394
l'	0.105803	0.0353112	0.0198311	0.0190684	0.0280352	0.0217859	0.0277101	0.0231518	0.0191543	0.0222984	0.0403533	0.0996952	0.0625672	0.0616401	0.0510588	0.0225297	0.0103604	0.0140363	0.0127038	0.0115973	0.012194	0.00963515	0.0109255	0.010862	0.0124635	0.0112785	0.0148096	0.0210262	0.0229579	0.0215251	0.0395469	0.0241426	0.0799412
amulette	0.0590157	0.0155431	0.0120552	0.0145542	0.021679	0.0204253	0.0319501	0.024324	0.0195202	0.0270966	0.0465685	0.0419365	0.0532506	0.0502372	0.0594284	0.045987	0.0288498	0.0360779	0.0281365	0.0308166	0.0304368	0.0220324	0.0169953	0.0201543	0.0180546	0.017388	0.0170381	0.0240273	0.0290478	0.025162	0.0222039	0.0215518	0.0684552
de	0.0597395	0.0451187	0.0405961	0.0331678	0.0320768	0.016508	0.0163698	0.0240419	0.016849	0.0134251	0.0162078	0.0286334	0.0186925	0.0145129	0.0153169	0.0149458	0.0139227	0.0130822	0.0213151	0.0171856	0.0241199	0.0225655	0.0243587	0.0414916	0.0431152	0.0403757	0.0456669	0.0426032	0.02872	0.0303991	0.0541121	0.0486105	0.0821542
cette	0.0458061	0.0278715	0.0210008	0.0185307	0.0189137	0.0148809	0.0113255	0.0130689	0.0114837	0.0111444	0.0109282	0.0155325	0.0124209	0.0106411	0.0158809	0.0154648	0.0176573	0.0157824	0.0221035	0.0197827	0.0252942	0.0318907	0.0326632	0.0510703	0.0518122	0.0537686	0.0572447	0.0515125	0.0334417	0.053482	0.0631595	0.0591913	0.0852487
femme	0.0637147	0.0461483	0.0293683	0.0281406	0.0172592	0.0116677	0.0123326	0.021169	0.0246625	0.0377344	0.0196652	0.0380897	0.0348911	0.0291386	0.0308809	0.0299008	0.0225782	0.0257363	0.0235478	0.0215062	0.0150102	0.0125015	0.0168752	0.0170591	0.0135065	0.0139428	0.0254448	0.0149564	0.0123645	0.015089	0.0505735	0.064895	0.15965
</S>	0.0505787	0.0311133	0.0267751	0.0257769	0.0249574	0.00824973	0.00929674	0.0109176	0.0114369	0.013429	0.0167258	0.0316083	0.0161425	0.0117951	0.0218923	0.0203643	0.016975	0.0140505	0.0194078	0.0140499	0.0219282	0.0229321	0.0194997	0.0422263	0.0426425	0.0349493	0.0399887	0.0423384	0.0304347	0.0401402	0.0634464	0.0524876	0.151443
