 	y	o	l	i	a	d	i	í	s	ó	l	ω	n	g	ώ	</S>
le	0.00465489	0.00473267	0.00676865	0.013502	0.0134961	0.0414744	0.066275	0.13754	0.0878399	0.102067	0.215239	0.144223	0.105325	0.0215251	0.013962	0.0213755
lézard	0.0575044	0.286311	0.21131	0.126883	0.0447794	0.137645	0.0698636	0.0374593	0.0158313	0.00707971	0.0025998	0.00107018	0.000744549	0.000364056	0.000244672	0.000310666
à	0.16792	0.113642	0.138068	0.0651384	0.041491	0.0470919	0.0574541	0.021511	0.0268058	0.0556553	0.0777861	0.0769212	0.0364185	0.0359048	0.0198901	0.0183017
gueule	0.0738711	0.119626	0.161188	0.133262	0.039058	0.0190565	0.00901505	0.00593815	0.0110175	0.033401	0.061864	0.0488356	0.0407886	0.0800072	0.0654088	0.0976627
rouge	0.0712899	0.0553006	0.0463957	0.0275739	0.0209499	0.0183459	0.0151831	0.00989903	0.0111257	0.0336094	0.0494621	0.0802528	0.140026	0.127318	0.124103	0.169164
vit	0.0540315	0.0401733	0.0323424	0.0152844	0.0121758	0.0111871	0.012022	0.0104562	0.00836163	0.0249117	0.0456612	0.0946999	0.1786	0.112307	0.128684	0.219102
dans	0.0432638	0.0323017	0.0263458	0.0158499	0.00835207	0.0120473	0.0181976	0.0126201	0.0170604	0.0290596	0.0686271	0.123896	0.162774	0.164181	0.124001	0.141423
la	0.0930728	0.0605897	0.0339412	0.0148122	0.0129045	0.0108686	0.0127635	0.0145998	0.0185232	0.0319065	0.0450858	0.0620164	0.127838	0.129306	0.136354	0.195418
plaine	0.0538189	0.0386357	0.0294451	0.0249815	0.0168514	0.020045	0.010554	0.00560045	0.00782149	0.0155359	0.027185	0.060775	0.132419	0.145554	0.131204	0.279574
</S>	0.102731	0.0647678	0.0751012	0.0924641	0.027545	0.0296001	0.0183019	0.00709126	0.00726811	0.0192747	0.0364888	0.0511349	0.0769498	0.124525	0.131381	0.135375
