 	b	ε	έ	b	ε	έ	l	a	p	o	o	é	d	í	l	a	n	g	o	n	d	a	y	á	a	k	ω	</S>
a	0.0209052	0.00888329	0.0125286	0.0115257	0.0086798	0.0150236	0.0247869	0.0345472	0.0189174	0.0190744	0.0190533	0.0396703	0.0644609	0.0550318	0.0586199	0.0396566	0.0507344	0.0609102	0.0531704	0.0469958	0.0442349	0.0411733	0.0485028	0.0519566	0.0365945	0.0368786	0.0350625	0.0424211
côté	0.0178086	0.0226902	0.0175543	0.0151863	0.010479	0.00990026	0.00733544	0.0055326	0.00334824	0.00247323	0.00524376	0.0144865	0.0403134	0.0610957	0.071035	0.0686912	0.0757523	0.122943	0.0729198	0.0603964	0.0633675	0.0568476	0.0425632	0.0447421	0.0344857	0.0278246	0.0137047	0.0112797
du	0.0208329	0.0237663	0.0188838	0.0183237	0.0209191	0.024384	0.0189524	0.0191132	0.0207712	0.0263943	0.0296979	0.0457709	0.0551062	0.0856142	0.0578597	0.0791292	0.0994785	0.0846681	0.0366169	0.0432434	0.0315219	0.0263737	0.0252739	0.0193962	0.0221876	0.02315	0.0143944	0.00817635
village	0.0126358	0.0226151	0.0170157	0.0134877	0.0111934	0.0127017	0.00887838	0.0139472	0.0164129	0.0234352	0.0440352	0.0545893	0.0357076	0.0378694	0.0365704	0.0873634	0.111393	0.0974706	0.0917051	0.056348	0.0460885	0.0446126	0.0367202	0.0172045	0.0183736	0.0113306	0.00813214	0.0121625
il	0.0279311	0.0306888	0.0355355	0.0445649	0.0670758	0.0706609	0.0561695	0.0635755	0.0561391	0.0450709	0.0464318	0.0573761	0.0371545	0.0407521	0.0217167	0.0346788	0.0229406	0.0150041	0.0112537	0.0129831	0.0106087	0.019024	0.0276138	0.0187757	0.0251178	0.0257378	0.0217699	0.0536491
y	0.0600637	0.0406363	0.0679688	0.0864539	0.0769969	0.0698699	0.0599769	0.0338067	0.0220121	0.0227355	0.0256694	0.0192427	0.0100035	0.0172951	0.0147932	0.0325399	0.0269134	0.0260039	0.014952	0.0178987	0.0188334	0.0314428	0.030061	0.0304387	0.0317994	0.0294627	0.0238759	0.0582533
a	0.0664845	0.0621977	0.0520616	0.0460479	0.0307463	0.0294657	0.0242432	0.0236191	0.0169421	0.0130435	0.0152141	0.0234503	0.0203778	0.0296475	0.0358312	0.0447857	0.0306566	0.021593	0.0123649	0.0152504	0.0143175	0.0243152	0.0332224	0.035606	0.0342821	0.0384697	0.0611606	0.144603
une	0.0636822	0.0549328	0.0452354	0.0284305	0.0195406	0.0183462	0.0132724	0.00841074	0.00679336	0.00673255	0.00877059	0.0148375	0.0162394	0.0203323	0.0154767	0.020124	0.0176554	0.0223287	0.0103014	0.0203712	0.0209166	0.0463551	0.0577875	0.0649592	0.0739866	0.0741396	0.0956182	0.134423
grande	0.115538	0.0680423	0.0544787	0.0360151	0.0115297	0.00706128	0.0037617	0.00431402	0.00318811	0.00321142	0.00573207	0.0152237	0.0229572	0.0275524	0.0398454	0.0305021	0.021478	0.0155004	0.00955683	0.0112822	0.00994706	0.0162701	0.0264979	0.0343774	0.0463227	0.0607669	0.118312	0.180735
bananeraie	0.166213	0.0941078	0.0560899	0.0335444	0.0164006	0.0112959	0.00590281	0.00599495	0.00468457	0.00497745	0.00639017	0.0119757	0.0109781	0.0111744	0.0200045	0.0134423	0.0135296	0.0143605	0.0118628	0.0147117	0.0147003	0.0174427	0.0193775	0.0266473	0.0616866	0.0594457	0.108165	0.164894
</S>	0.0980184	0.0957002	0.0626996	0.0467475	0.0276289	0.0199735	0.0147883	0.0112938	0.00617633	0.00549611	0.00650397	0.011909	0.0178585	0.0118615	0.0481492	0.0149959	0.00842659	0.00805885	0.00490715	0.00670499	0.00596804	0.0106109	0.0211846	0.0211485	0.08089	0.0736166	0.105426	0.153257
