 	n	g	á	í	p	i	i	n	y	ω	m	b	ώ	m	é	t	á	m	b	o	</S>
j'	0.152343	0.285959	0.182772	0.134781	0.0288596	0.0257943	0.0177905	0.0143625	0.0144036	0.0130464	0.0130719	0.0201566	0.0215432	0.0165983	0.0121388	0.00887047	0.00967392	0.0068163	0.00690194	0.00601995	0.00809667
ai	0.0618733	0.0788301	0.0776881	0.0317073	0.0169359	0.0343527	0.02076	0.105041	0.0986957	0.0892121	0.0323697	0.0320886	0.0205418	0.01067	0.0353987	0.0517944	0.0504734	0.0445072	0.0319592	0.0305787	0.0445218
attrapé	0.0378426	0.024429	0.0536605	0.0469658	0.0621117	0.0482784	0.0462397	0.0354726	0.0372313	0.0671673	0.057224	0.0566903	0.0558646	0.0259808	0.0426705	0.0526223	0.0404155	0.052963	0.0626039	0.0523247	0.0412414
une	0.0361216	0.0375526	0.035443	0.0180858	0.0284957	0.0549269	0.0435752	0.0251489	0.0324009	0.0371675	0.0373876	0.0468734	0.049752	0.0315436	0.039825	0.0472105	0.0456957	0.0584871	0.0671352	0.0959864	0.131185
anguille	0.0103882	0.0102331	0.0118755	0.0116247	0.0336715	0.0640559	0.0497736	0.0755687	0.0835299	0.0727489	0.0891614	0.0754328	0.0797535	0.0464801	0.0354192	0.0307795	0.0274056	0.0377968	0.0331607	0.0404756	0.0806647
dans	0.00787781	0.0109587	0.0123319	0.0125793	0.0221727	0.0184543	0.0148415	0.0223582	0.0352788	0.0379972	0.0651079	0.0707239	0.0821032	0.093473	0.0746987	0.0602049	0.0473491	0.0568648	0.0565516	0.0766699	0.121403
la	0.0539785	0.0483914	0.0242533	0.0332111	0.0207839	0.0214423	0.0224396	0.0233443	0.0266164	0.0245028	0.0258747	0.0337207	0.0453753	0.0585332	0.0541838	0.073284	0.0734014	0.0779734	0.0799884	0.0808914	0.0978102
nasse	0.025354	0.0260358	0.0258398	0.0279655	0.0264488	0.0404544	0.0345284	0.0477362	0.0631546	0.0453917	0.0555157	0.0567444	0.0476535	0.0414907	0.0478468	0.0527195	0.0445404	0.0560983	0.0722507	0.0693148	0.0929158
etambo	0.0962493	0.0524696	0.0452133	0.0333228	0.0221137	0.0216778	0.0239149	0.0191857	0.0284002	0.035365	0.0257767	0.0468182	0.0464917	0.041664	0.0272854	0.0513568	0.0481892	0.0579786	0.0706345	0.0711921	0.134701
</S>	0.128417	0.0488383	0.0441338	0.0144133	0.0159251	0.0131164	0.0161387	0.0149701	0.0251727	0.0377828	0.0251129	0.0467331	0.0535556	0.038113	0.0409778	0.0482372	0.0542541	0.0760631	0.0566022	0.08232	0.119122
