 	i	s	i	a	l	á	n	g	ó	o	y	a	n	g	á	á	b	h	i	á	b	a	r	e	k	a	á	</S>
la	0.0240673	0.0236484	0.00960275	0.00927813	0.0218228	0.024799	0.0361185	0.048319	0.0452214	0.0457648	0.0478901	0.0515772	0.0466682	0.0482257	0.0461983	0.0463702	0.0536716	0.0429597	0.0421112	0.0361696	0.0309699	0.0393699	0.0371294	0.0329934	0.0378413	0.0332172	0.0211078	0.0168873
lignée	0.12502	0.0798798	0.121403	0.167781	0.0682671	0.0436023	0.0398388	0.0314366	0.0216588	0.0048883	0.00797969	0.00737066	0.00811551	0.024483	0.0224384	0.0269976	0.0320302	0.0271885	0.0327972	0.0280229	0.0110461	0.0208906	0.0108126	0.00987451	0.0116016	0.00702366	0.0055546	0.00199672
de	0.0518628	0.0277991	0.018258	0.00999499	0.00842755	0.0109714	0.0150176	0.00817805	0.0118016	0.0253113	0.0245165	0.0840023	0.0680265	0.0931602	0.0585298	0.0594107	0.0655191	0.0547682	0.0510335	0.0417605	0.0546998	0.0764087	0.0289278	0.0119641	0.0167188	0.0105043	0.00863024	0.00379672
ma	0.012374	0.0163571	0.0296461	0.0343171	0.0327546	0.0301677	0.0304666	0.0357761	0.026104	0.0395849	0.0304838	0.0478847	0.0390068	0.0374337	0.0340185	0.0350913	0.0543538	0.036195	0.0384475	0.0341397	0.0459549	0.0268967	0.0254144	0.0294824	0.0254764	0.0290694	0.0444144	0.0986884
mère	0.0171998	0.0121859	0.0150764	0.0316192	0.0283714	0.0432443	0.0293395	0.0577647	0.0275052	0.0381242	0.0246177	0.0294178	0.0240674	0.0555515	0.0539746	0.0689354	0.0648205	0.062176	0.0372577	0.0460244	0.0602879	0.0304607	0.0292615	0.0212132	0.0195322	0.0243157	0.0211237	0.0265314
a	0.0325104	0.023277	0.0305665	0.0434272	0.0545131	0.0669109	0.0627554	0.0759135	0.0498613	0.0507406	0.0439795	0.0322007	0.0207953	0.020755	0.0209421	0.0364711	0.0351495	0.028514	0.0179034	0.0169753	0.0206991	0.0111539	0.0165798	0.0210031	0.018939	0.0274654	0.0472687	0.0727291
perdu	0.0480778	0.0275334	0.0275473	0.0308252	0.0319467	0.0377269	0.0376268	0.0489859	0.0405621	0.0537111	0.0486619	0.0506306	0.0403198	0.031078	0.0135557	0.00900498	0.0133974	0.018172	0.0344155	0.0359655	0.0345544	0.0338721	0.0350253	0.0392375	0.0392372	0.0413394	0.0378287	0.059161
beaucoup	0.0574268	0.0377364	0.0367967	0.0391283	0.0399346	0.0410744	0.0268966	0.0315733	0.0193621	0.0283022	0.0235257	0.0323412	0.031684	0.0196643	0.0107569	0.0157268	0.0239103	0.0191985	0.033237	0.0222194	0.0412019	0.0223558	0.0434566	0.048614	0.0393494	0.0444095	0.055072	0.115045
de	0.0995529	0.0563341	0.0451479	0.0379071	0.022893	0.0183507	0.016294	0.0192313	0.0110403	0.0177125	0.0137302	0.0169081	0.0135552	0.0210494	0.0170089	0.0270892	0.0576012	0.0428103	0.034265	0.0241636	0.030082	0.0162167	0.0270938	0.0433939	0.0305499	0.040952	0.0591319	0.139935
gens	0.110172	0.0576074	0.0518827	0.050637	0.0253043	0.0203289	0.0163692	0.0178964	0.010494	0.0135838	0.0123145	0.0135935	0.0133123	0.012919	0.00799254	0.0186319	0.0295765	0.0292847	0.0279618	0.0184949	0.0335356	0.0122475	0.0255276	0.0452315	0.0299306	0.0433586	0.0796937	0.172117
</S>	0.100225	0.0634357	0.0608927	0.0508861	0.0258665	0.0174837	0.0156352	0.016646	0.0107622	0.0161772	0.0121278	0.0168219	0.0151084	0.00847838	0.00741789	0.0099	0.0188529	0.0174655	0.0298471	0.0233367	0.0264696	0.0131497	0.0324958	0.0557124	0.0322018	0.0526214	0.0896807	0.160302
