 	w	a	á	y	i	r	i	i	n	g	á	é	d	z	e	n	g	á	l	ó	b	é	a	w	a	</S>
il	0.111372	0.497425	0.17713	0.0812816	0.051768	0.0273229	0.00603893	0.00223692	0.00186519	0.00173474	0.00191558	0.00184284	0.00175923	0.0033718	0.00308797	0.00333333	0.00334469	0.0033805	0.00313054	0.00328605	0.00299627	0.00323517	0.00220077	0.00230505	0.00136852	0.00126735
n'	0.0800242	0.0815101	0.166429	0.0952423	0.134745	0.0794197	0.0519506	0.0542426	0.0328289	0.0212415	0.023332	0.0171122	0.0101521	0.0167656	0.00860514	0.0108437	0.0118528	0.012396	0.00949891	0.0102387	0.00507155	0.00440338	0.00867579	0.0133017	0.0154371	0.0246788
a	0.025715	0.0221798	0.0263098	0.0218905	0.0373364	0.0331169	0.0271	0.0322704	0.0348214	0.0485575	0.0337037	0.0368515	0.0379513	0.0386735	0.0289395	0.0431302	0.0473775	0.052962	0.0503323	0.0484475	0.0469447	0.0304892	0.059693	0.0507917	0.0471587	0.0372562
pas	0.0291282	0.0353448	0.0220979	0.0183088	0.0127882	0.0136999	0.0163096	0.0148797	0.036258	0.0252594	0.032273	0.0506976	0.0795099	0.0529286	0.0501683	0.0806074	0.07074	0.071502	0.0703398	0.0312207	0.0454449	0.0179583	0.0351647	0.0196406	0.0346339	0.0330957
répondu	0.0146778	0.0156426	0.00767875	0.00658127	0.0102826	0.00942858	0.0118779	0.0226349	0.0168449	0.0396982	0.0173489	0.0220356	0.0192469	0.0267468	0.0167482	0.0234071	0.0360991	0.0221739	0.0360672	0.0811078	0.114777	0.0602412	0.108825	0.0607567	0.0974356	0.101635
quand	0.0238136	0.0196654	0.0251241	0.0196158	0.0256174	0.0384534	0.0527239	0.0787603	0.0734694	0.0374038	0.0212428	0.019938	0.0167512	0.0360076	0.0345841	0.017217	0.0324223	0.0127206	0.0162517	0.0288617	0.020681	0.0245822	0.0174974	0.0316776	0.0650773	0.20984
je	0.0134792	0.0158402	0.0119853	0.0117578	0.0240129	0.0318103	0.0272958	0.0363076	0.0292482	0.0207744	0.01951	0.022164	0.0240147	0.0347921	0.0459044	0.0374912	0.0553978	0.0548904	0.0556522	0.0470277	0.0490234	0.0398528	0.0541424	0.0686155	0.0787747	0.090235
l'	0.0161088	0.0267641	0.0178247	0.0169387	0.0252697	0.0279089	0.0418676	0.0436232	0.039162	0.0280039	0.0124126	0.012645	0.0117747	0.0171319	0.0219731	0.0191464	0.0330398	0.0192849	0.0252743	0.0361155	0.0459292	0.0384533	0.0389403	0.0800551	0.123567	0.180785
ai	0.0388415	0.0412665	0.0594536	0.0443597	0.0598491	0.0392065	0.0380022	0.0455766	0.0490339	0.0476237	0.053203	0.05334	0.0547998	0.0501434	0.053961	0.043907	0.0500847	0.0207645	0.0158588	0.0177729	0.015715	0.0149915	0.016118	0.0181605	0.0168569	0.0411099
appelé	0.0350211	0.0298536	0.0545004	0.033754	0.047692	0.0350928	0.0371541	0.0221566	0.038049	0.0225829	0.0257272	0.0276404	0.0382214	0.0483851	0.0448515	0.045662	0.0452516	0.0382557	0.0338214	0.0325099	0.0306659	0.0246999	0.0337049	0.0395741	0.0561237	0.0790487
</S>	0.0162773	0.0160699	0.0180038	0.0169557	0.0188061	0.0187686	0.0185931	0.0182777	0.0180441	0.019406	0.0195606	0.0237279	0.0268731	0.0348206	0.0505626	0.0454318	0.0590393	0.0513112	0.0410962	0.0549011	0.0743377	0.0613087	0.0651297	0.0679584	0.0711678	0.0735711
