 	m	w	á	n	a	y	a	n	g	á	y	a	a	d	z	á	l	o	n	g	w	ε	n	d	z	ε	á	m	i	b	h	á	m	a	</S>
mon	0.00553005	0.00706809	0.00833072	0.00552755	0.00719102	0.0123283	0.00810819	0.00616059	0.00684587	0.00966209	0.0110398	0.0156883	0.0337319	0.0511981	0.0545807	0.0712501	0.0713351	0.0863382	0.0658688	0.074142	0.0268184	0.0259853	0.024492	0.0204181	0.017733	0.019561	0.0238867	0.023239	0.0265699	0.0301726	0.0286421	0.0261554	0.0321519	0.0292624	0.0329867
enfant	0.0386694	0.0361813	0.0506645	0.107709	0.169834	0.137143	0.153505	0.138886	0.0384977	0.0392607	0.0232533	0.0105993	0.00882477	0.00678687	0.00296489	0.00270425	0.00112518	0.000913589	0.00104895	0.000902415	0.00567253	0.00330492	0.00270497	0.00238729	0.00174942	0.0012014	0.0011551	0.0019438	0.00182138	0.00236073	0.00247843	0.00100045	0.00180506	0.000530822	0.00041012
qui	0.0191306	0.0290969	0.0152429	0.0274765	0.0104253	0.0129572	0.00999352	0.0143064	0.0245784	0.0220225	0.0212127	0.0447093	0.0362066	0.0395785	0.0196306	0.0522934	0.0294619	0.0503947	0.0315668	0.0516924	0.0217077	0.0354059	0.0240879	0.0276226	0.0576473	0.0560276	0.0369623	0.0432324	0.0306601	0.025811	0.0229777	0.0210492	0.0117543	0.0116182	0.0114589
était	0.0146241	0.0126001	0.0121378	0.0104655	0.00607969	0.00517134	0.00684376	0.00891413	0.0102408	0.0145415	0.0187469	0.0184039	0.0205651	0.0279961	0.0236147	0.0338973	0.0212786	0.0396411	0.0228178	0.0388019	0.0202552	0.0290069	0.0270342	0.0348017	0.0261971	0.0248433	0.0190396	0.0364451	0.0510333	0.0494147	0.0542906	0.0530148	0.0774975	0.0654405	0.0643034
très	0.0336889	0.022174	0.0243693	0.0180312	0.0137266	0.013784	0.0128338	0.0135204	0.0126227	0.0136769	0.0172966	0.0195735	0.0166781	0.0188587	0.012268	0.0166202	0.01221	0.0226276	0.0171831	0.0234321	0.0406311	0.0407412	0.0395021	0.0419939	0.0398701	0.0459108	0.0305578	0.0378951	0.0330017	0.0334782	0.0433878	0.0460633	0.0568807	0.0427151	0.0721955
faible	0.0271459	0.0187908	0.0234528	0.0227734	0.0234172	0.0214068	0.0186761	0.02059	0.0166052	0.023426	0.0313253	0.0356724	0.0311625	0.0271327	0.0224225	0.0181868	0.018349	0.0178833	0.0231047	0.0228522	0.0251521	0.0296534	0.0383347	0.0518313	0.0336634	0.0367542	0.0374885	0.0370452	0.0223249	0.0330489	0.0329549	0.0256854	0.0450351	0.0276944	0.0589577
est	0.0416626	0.0295897	0.032732	0.0379307	0.0253759	0.0243184	0.0223346	0.0228345	0.0190582	0.0280486	0.0265559	0.0302166	0.0184893	0.017809	0.0148623	0.0140488	0.0145316	0.0167669	0.0224952	0.0217898	0.0382415	0.0469127	0.0472955	0.0373357	0.0358061	0.0346367	0.0275475	0.0233363	0.0242387	0.0300674	0.0283099	0.0266176	0.0420666	0.0273933	0.0487438
devenu	0.035203	0.032336	0.0351089	0.0348195	0.0243364	0.021108	0.0173972	0.0176539	0.012622	0.0126608	0.0116332	0.0139333	0.00801892	0.00964331	0.00779173	0.00791414	0.00643804	0.00874729	0.00992249	0.0100161	0.0132823	0.0204725	0.0217139	0.0261899	0.0370249	0.0534232	0.0482296	0.0300065	0.029445	0.0444147	0.0558684	0.0517539	0.0618712	0.0610737	0.107926
fort	0.0501728	0.0365086	0.0296558	0.0275238	0.014725	0.0100925	0.00744393	0.00739184	0.00665691	0.00703722	0.00740831	0.00945522	0.00859818	0.0152048	0.0112461	0.0153594	0.0118843	0.0216313	0.0145038	0.0222283	0.0182694	0.0193132	0.0187431	0.0202867	0.027274	0.0338682	0.0279521	0.0275153	0.0377551	0.0374244	0.045632	0.0454231	0.091689	0.0878508	0.126276
</S>	0.036348	0.0388872	0.0471409	0.0466322	0.0250397	0.0182894	0.0193698	0.0206901	0.0153601	0.0178298	0.0139001	0.0203588	0.00755748	0.0113681	0.0110281	0.0128802	0.011842	0.015621	0.0216689	0.0177645	0.0197119	0.0302813	0.0339376	0.0438689	0.0543108	0.0623082	0.0481991	0.0284617	0.0215407	0.0138156	0.0143078	0.0207114	0.0260178	0.0315724	0.121379
