 	n	g	á	í	k	ú	n	d	u	i	l	o	m	b	o	l	á	m	b	v	u	l	u	s	á	l	ε	b	h	ε	ε	</S>
j'	0.0803543	0.191931	0.122801	0.143947	0.0456317	0.0302308	0.00890608	0.0197796	0.0114258	0.0265381	0.0344722	0.0341008	0.0437016	0.0357041	0.033863	0.018871	0.01038	0.0107097	0.00879159	0.0108829	0.00908124	0.00861094	0.00779531	0.00673987	0.00845325	0.00620614	0.00588865	0.00332733	0.00360933	0.00360958	0.00539481	0.00826109
ai	0.16992	0.102112	0.0559168	0.0565511	0.0532101	0.0753638	0.0243136	0.0369408	0.0372267	0.0344514	0.0368552	0.022269	0.0295058	0.0361565	0.020042	0.0188398	0.0211653	0.0108954	0.0106652	0.00981799	0.0106781	0.0164766	0.0131086	0.0080811	0.0109531	0.00560018	0.00590009	0.00822768	0.00706765	0.0102272	0.0106966	0.0307647
découvert	0.0348719	0.0344406	0.0181592	0.026006	0.0432627	0.0341153	0.0387604	0.0459511	0.0637762	0.0568903	0.0661612	0.0755307	0.0536825	0.0380342	0.0390812	0.0196045	0.00922565	0.015247	0.0135133	0.016865	0.0216225	0.019747	0.0219858	0.0148897	0.015678	0.0207164	0.0179007	0.0218487	0.0267354	0.0232417	0.0281635	0.0242917
le	0.0231208	0.0199686	0.0186621	0.0281166	0.0300807	0.0284826	0.023276	0.0282543	0.0353529	0.0325034	0.0516413	0.0497694	0.0409629	0.0300774	0.0339652	0.0375434	0.020243	0.0430164	0.0343665	0.0437189	0.0361909	0.0275218	0.0331309	0.0217353	0.0155763	0.0293689	0.0162929	0.0245668	0.0286165	0.0296242	0.0410003	0.0432525
sentier	0.00593898	0.00391382	0.00468247	0.00609366	0.0146105	0.0128145	0.0341259	0.0318233	0.0502563	0.030617	0.0417687	0.0277142	0.0287828	0.0163609	0.0188235	0.0202462	0.0237277	0.0244198	0.0252139	0.0315419	0.0406932	0.0384135	0.0421281	0.0518291	0.0603444	0.0621155	0.0505521	0.0404875	0.0317977	0.0403933	0.0355068	0.0522625
d'	0.0225683	0.0096046	0.00604231	0.00612557	0.0104145	0.0123059	0.0227227	0.0231544	0.0234263	0.0200813	0.0183982	0.0140865	0.0105488	0.00730241	0.0143106	0.0172424	0.0191275	0.0266464	0.0302391	0.034965	0.0487415	0.0465752	0.0636604	0.0585066	0.0420561	0.0648317	0.0500343	0.0457779	0.0513479	0.0502396	0.064442	0.064474
une	0.119207	0.0271068	0.0107545	0.00977037	0.034956	0.0366461	0.0528317	0.0397671	0.0406972	0.0326346	0.049147	0.0413136	0.0392302	0.0274806	0.0250778	0.0193994	0.0173025	0.016298	0.0127277	0.0136245	0.0209572	0.0178663	0.0203126	0.0210078	0.0213966	0.0250152	0.0222466	0.0251941	0.0256658	0.0302665	0.0367047	0.0673936
antilope	0.0161989	0.00947592	0.00885621	0.0102517	0.0189169	0.0156742	0.0308522	0.0212892	0.0319124	0.021457	0.0315414	0.0265946	0.0349732	0.034796	0.0291107	0.0392081	0.0391847	0.0326017	0.0304288	0.0299176	0.0306813	0.025789	0.0160086	0.0163663	0.0190712	0.0254135	0.0182119	0.0360861	0.0433083	0.0764714	0.0783704	0.100981
dans	0.0190694	0.0128872	0.0102255	0.00779099	0.0106435	0.0098054	0.0189658	0.0125005	0.0250111	0.015633	0.0270653	0.0221827	0.0355071	0.0423507	0.0244305	0.0480759	0.0411927	0.0222738	0.0177217	0.0176613	0.0216821	0.0176572	0.0115267	0.0124805	0.0134426	0.0169814	0.0143962	0.0291038	0.0436403	0.0928276	0.106774	0.178493
la	0.0541998	0.0413213	0.0315002	0.0151088	0.0158905	0.0165537	0.0183424	0.0190477	0.0182694	0.0169933	0.0197207	0.0242534	0.0155058	0.0128133	0.0156901	0.0178674	0.00979567	0.011105	0.00943239	0.0125974	0.0164309	0.0176719	0.0178958	0.0199918	0.0160403	0.0162885	0.0164655	0.0250716	0.0359513	0.0789215	0.0924244	0.250838
forêt	0.0112733	0.00971674	0.00927273	0.00753021	0.00746587	0.00814104	0.0126966	0.00751123	0.0108737	0.00741749	0.0102421	0.00814079	0.0119437	0.0147271	0.0113627	0.0293591	0.0258168	0.0185793	0.0145978	0.0187686	0.0205694	0.0205438	0.0200472	0.0257674	0.0284892	0.0352174	0.0339791	0.0674703	0.0740786	0.129643	0.12069	0.168067
nommée	0.129889	0.0692586	0.0260552	0.0163449	0.0125047	0.014602	0.0123799	0.00997172	0.0105099	0.00724004	0.0100836	0.0115762	0.0108937	0.0121326	0.00852939	0.0162102	0.0143428	0.0147712	0.0132787	0.0144904	0.0297011	0.0285117	0.0339515	0.0352296	0.0279796	0.0330793	0.0273215	0.0324051	0.0470989	0.0622072	0.0734796	0.133971
lebhee	0.0848364	0.0354365	0.0168345	0.00888294	0.00830645	0.00835603	0.0102831	0.00812065	0.0147298	0.00837201	0.015471	0.0178632	0.0220661	0.026618	0.0171749	0.0373935	0.0305255	0.0214338	0.0142506	0.0148325	0.0196489	0.0159866	0.0129934	0.0185432	0.0191226	0.0195753	0.0205586	0.0343708	0.0597449	0.10012	0.0782281	0.17932
</S>	0.152953	0.0683389	0.0348478	0.0186188	0.0155025	0.0162302	0.0130706	0.0157664	0.0137728	0.0124984	0.0193238	0.0172368	0.00952181	0.00506484	0.0047358	0.00613068	0.00855056	0.0131026	0.0162498	0.017875	0.0274226	0.0264536	0.0365913	0.0411307	0.0331609	0.0443378	0.0360523	0.0403116	0.0482059	0.0550959	0.059081	0.0727648
