 	m	í	m	y	e	r	é	m	á	t	ú	e	m	á	n	g	á	m	í	i	m	á	n	ω	</S>
celles-ci	0.0110745	0.020206	0.0116611	0.0145871	0.0193986	0.0220018	0.035265	0.0446551	0.0535215	0.0548231	0.0706887	0.0711191	0.0889553	0.0954437	0.0751633	0.0596062	0.0497632	0.0240973	0.0383436	0.0335601	0.0272464	0.0183939	0.0170572	0.018395	0.0249731
sont	0.0821844	0.0554134	0.0475892	0.0364553	0.0240255	0.0122424	0.00913	0.00562262	0.0101518	0.0120843	0.0256342	0.0341316	0.035077	0.0455551	0.0240181	0.0471999	0.068028	0.0482629	0.0725383	0.10617	0.0502498	0.0461445	0.0518777	0.0303879	0.019826
mes	0.103059	0.0899711	0.0776629	0.05415	0.036029	0.0274221	0.0160237	0.00998612	0.0301478	0.0298977	0.0263768	0.0277529	0.0224288	0.017865	0.0212045	0.0221909	0.0348008	0.0385585	0.0516192	0.0713964	0.0527094	0.0462067	0.0460804	0.0303928	0.0160677
boucles	0.0513385	0.0377235	0.0449304	0.0431765	0.0380212	0.0464181	0.0418299	0.0285142	0.0386738	0.0243669	0.0189897	0.014136	0.0233028	0.0187721	0.0254744	0.0323313	0.0597842	0.143345	0.0463933	0.0616774	0.0361532	0.0259818	0.0294185	0.0331441	0.0361031
d'	0.0498114	0.0492834	0.0422164	0.0291733	0.024204	0.020289	0.0151195	0.0189831	0.0454347	0.0625526	0.0481412	0.0392569	0.0472808	0.0306728	0.0355523	0.0207698	0.0135495	0.0274934	0.0222799	0.0256343	0.0347457	0.034509	0.052778	0.0633467	0.146922
oreilles	0.0486138	0.0675108	0.0764679	0.0782604	0.0849299	0.0779712	0.0527735	0.0372663	0.0337678	0.0127774	0.0128674	0.0125329	0.0183565	0.015264	0.017026	0.0226264	0.0316246	0.0434088	0.0477766	0.0517126	0.0271164	0.0310684	0.0257271	0.0119214	0.0606319
celles-là	0.113267	0.0544576	0.0486695	0.0489119	0.0403623	0.0481759	0.0545747	0.0506744	0.0465944	0.0322394	0.0296573	0.0297795	0.0281708	0.0227956	0.0214853	0.0209933	0.0341438	0.042403	0.0365236	0.0322282	0.0310425	0.030079	0.023949	0.0160949	0.0627267
sont	0.0576795	0.0402664	0.0303404	0.0351175	0.0284825	0.0311605	0.0375554	0.0480081	0.0438878	0.0528317	0.0747211	0.052916	0.048088	0.033668	0.0225691	0.0209747	0.0213263	0.0321045	0.0375869	0.0309118	0.0522452	0.044158	0.0303952	0.0216259	0.0713794
à	0.130303	0.0649286	0.0378608	0.0272861	0.0183682	0.0158099	0.0173513	0.0135186	0.0162434	0.0118663	0.0133316	0.010387	0.012851	0.0104845	0.0108224	0.0202177	0.0319748	0.0654325	0.0515405	0.0449231	0.0750351	0.0659479	0.0761632	0.0572864	0.100066
toi	0.0733636	0.0410287	0.0292449	0.0154504	0.00934313	0.00814194	0.00873176	0.00747178	0.00794705	0.00516898	0.00540957	0.00512874	0.00645058	0.00622929	0.00607506	0.00743112	0.0117694	0.0381195	0.0436041	0.0313299	0.0676627	0.071217	0.077867	0.152628	0.263185
</S>	0.115688	0.0551981	0.0434842	0.0299465	0.0176699	0.0097179	0.00948585	0.0057501	0.00692166	0.00377256	0.00388001	0.00349743	0.0039613	0.00441833	0.00491105	0.00647955	0.0123515	0.0515425	0.0538297	0.0470721	0.0655207	0.0734164	0.0834819	0.0985947	0.189408
