 	p	á	n	d	e	y	á	d	z	w	é	m	b	é	b	á	a	b	h	á	m	b	í	s	á	m	í	l	ώ	n	d	z	ώ	</S>
c'	0.0216377	0.0209179	0.0108457	0.0155344	0.0106569	0.0260436	0.0491598	0.0412794	0.0439662	0.0473872	0.045062	0.0518147	0.0492521	0.0515752	0.0529071	0.0436518	0.0418254	0.0267638	0.0331063	0.0391848	0.0366344	0.0331007	0.0397544	0.023055	0.0252272	0.0146675	0.0150741	0.0108775	0.0135647	0.0125879	0.0127029	0.00950244	0.0159196	0.0147592
est	0.0670113	0.0351486	0.0219805	0.0209173	0.0182648	0.0195093	0.0175856	0.0245782	0.0314791	0.03325	0.0531164	0.05096	0.0720027	0.0547431	0.0573478	0.0484833	0.0369677	0.0245419	0.0227247	0.0289041	0.0249687	0.0332505	0.0280913	0.0240761	0.0232791	0.0184702	0.0150977	0.0187401	0.0142911	0.0172884	0.0164714	0.00785726	0.00856338	0.0100386
avec	0.0607498	0.0684279	0.0375028	0.0230828	0.0363992	0.0368328	0.0549765	0.0502441	0.0536754	0.075215	0.0396783	0.0492848	0.0488337	0.0469331	0.0434797	0.026996	0.0187745	0.0058923	0.00966469	0.00762069	0.0039024	0.00764668	0.00826656	0.0123441	0.0138288	0.0154506	0.0124768	0.0179177	0.0191859	0.0238785	0.0184706	0.0189994	0.0118137	0.0215539
des	0.0801616	0.094974	0.0839324	0.0582299	0.0656405	0.045814	0.032915	0.0153965	0.0193382	0.0319693	0.0328461	0.0696624	0.056118	0.0470503	0.0362208	0.0296887	0.0249265	0.0176865	0.0215528	0.0133171	0.00955277	0.00793797	0.00638674	0.00501829	0.00701346	0.00772945	0.00465323	0.00573212	0.00685499	0.00786483	0.0139478	0.00921343	0.00975528	0.020899
tiges	0.0401879	0.0235358	0.0206354	0.019153	0.0171687	0.0235814	0.0249064	0.0150593	0.018425	0.0559191	0.0440587	0.0942816	0.0741449	0.0389492	0.0524322	0.0447135	0.0431675	0.0421086	0.0236565	0.0150046	0.0251562	0.0102729	0.0117122	0.00929967	0.0146428	0.0130827	0.00491724	0.00864896	0.0100574	0.0193166	0.0314836	0.0300793	0.0353785	0.0448625
de	0.0596614	0.030031	0.0215584	0.0286268	0.0273828	0.0479838	0.0481029	0.0335525	0.0358735	0.043336	0.0519803	0.0567797	0.0654819	0.0459559	0.0595538	0.0546478	0.0371654	0.0419583	0.0184571	0.0165811	0.0126008	0.0084912	0.00773027	0.00762332	0.0111166	0.0103417	0.00421578	0.00554186	0.00456966	0.0073057	0.013448	0.0131111	0.0173352	0.0518984
bois	0.0482027	0.0212893	0.0200692	0.0248461	0.0296574	0.0395764	0.034476	0.0272805	0.022861	0.0217713	0.0206618	0.0234077	0.0261294	0.016847	0.0235902	0.023815	0.0217494	0.0269108	0.0159487	0.0172197	0.0281123	0.0230848	0.022459	0.0267997	0.0324557	0.0311083	0.024661	0.0229892	0.0288804	0.029094	0.0406267	0.0408684	0.0436609	0.09889
ou	0.0565115	0.0405842	0.0386058	0.0434543	0.0367389	0.0387084	0.0239607	0.0215089	0.0248871	0.0360502	0.0327347	0.0520507	0.045624	0.0181304	0.0242288	0.0229984	0.0169391	0.0171954	0.0176444	0.0162271	0.016704	0.0131259	0.0125462	0.0159031	0.0186157	0.0172046	0.0123477	0.0155705	0.0180014	0.0207502	0.0429558	0.0469494	0.0378283	0.086714
de	0.04052	0.0195992	0.0147214	0.0193533	0.0139999	0.0190552	0.0140698	0.0123241	0.00953386	0.016454	0.00909676	0.0165474	0.0138392	0.0062936	0.00952069	0.0100639	0.0122494	0.0131936	0.0161516	0.0152707	0.0332307	0.0304932	0.0344804	0.0410799	0.0456252	0.0402802	0.0397323	0.0383221	0.0520033	0.0560623	0.0587813	0.0690581	0.0572149	0.101779
métal	0.144018	0.0478431	0.0340308	0.0254804	0.0213441	0.0184436	0.0136974	0.0093067	0.00702635	0.00558764	0.00484535	0.00575865	0.00540185	0.00457801	0.00505716	0.00615992	0.00761977	0.00919013	0.0127235	0.017716	0.0233929	0.0330799	0.0334788	0.0378728	0.037448	0.029514	0.035486	0.0347366	0.0347495	0.0359354	0.0345003	0.0493168	0.0514562	0.123204
