 	o	b	i	a	y	a	w	a	á	m	i	k	a	n	á	i	b	h	ώ	ω	l	á	á	d	z	á	l	a	b	á	s	í	á	b	á	a	</S>
son	0.0160557	0.0157834	0.0143255	0.0133605	0.0164596	0.0175452	0.0158953	0.0490543	0.0442994	0.0421271	0.0434091	0.0462754	0.0454692	0.0427342	0.0249455	0.0252129	0.045337	0.017064	0.0175433	0.0173537	0.0171384	0.033262	0.0313656	0.0157253	0.0245873	0.0202888	0.0192908	0.018487	0.0175034	0.020896	0.0230754	0.0366364	0.0390466	0.040668	0.0296584	0.0252322	0.0168881
ami	0.025178	0.0795875	0.1318	0.144225	0.0907217	0.0610339	0.0819753	0.09872	0.0398135	0.0249576	0.0290076	0.0361807	0.0376826	0.0206845	0.0199549	0.00862545	0.00221569	0.00196586	0.00165165	0.00128503	0.0014837	0.00172448	0.00169257	0.00193704	0.00264071	0.00410902	0.00374496	0.00859032	0.0071722	0.00882107	0.00356556	0.00553991	0.00236191	0.00606989	0.00176835	0.00102042	0.000491295
a	0.053866	0.0258212	0.0391987	0.0431818	0.0507297	0.0849823	0.125024	0.0696055	0.0444151	0.0330202	0.046286	0.0257662	0.0273845	0.00971935	0.0122368	0.0076004	0.00778446	0.00898118	0.00590395	0.00628552	0.0123438	0.0158465	0.0145495	0.00814061	0.0294359	0.0242359	0.0222787	0.0209663	0.0201755	0.022237	0.0256695	0.0187418	0.00698194	0.00863195	0.00539285	0.010252	0.00632745
soulevé	0.0305091	0.0586549	0.0755823	0.0623335	0.0492429	0.0441105	0.0500084	0.0233531	0.0301289	0.0263091	0.0311922	0.0263963	0.0124754	0.0145108	0.0119711	0.0141697	0.0183713	0.0220455	0.016617	0.0282849	0.0395219	0.0241521	0.0329867	0.0200993	0.0401428	0.0317761	0.0304091	0.0254351	0.0147596	0.0156921	0.00788876	0.00864673	0.00994976	0.00771023	0.00923567	0.00871173	0.0266155
le	0.0417512	0.0304234	0.0302064	0.0282985	0.0269958	0.0303389	0.0292368	0.0180653	0.0218149	0.0249319	0.0152033	0.0221027	0.0146132	0.01255	0.0116149	0.0192543	0.0147863	0.0188426	0.0173395	0.0252655	0.0308795	0.0287089	0.022598	0.0371914	0.0374715	0.0383473	0.0452318	0.0434619	0.0396037	0.0510383	0.0333756	0.016529	0.0206983	0.0184702	0.0218829	0.0242009	0.0366756
problème	0.0423604	0.0239282	0.0239207	0.0191449	0.0216949	0.0237977	0.0170909	0.014632	0.0148215	0.0156136	0.0121849	0.0174299	0.0221517	0.0219989	0.0293117	0.0198895	0.0286569	0.0251591	0.0312581	0.0312608	0.0327704	0.0464632	0.0399026	0.0486225	0.0548353	0.0495694	0.0578425	0.0156731	0.0158224	0.0109272	0.0129916	0.0236556	0.00916915	0.0210259	0.00883693	0.0377672	0.0578187
qu'	0.0204105	0.0194169	0.0268865	0.0184739	0.0227965	0.0185733	0.0103394	0.00715012	0.00939005	0.00826193	0.0090666	0.0123055	0.0246947	0.0228505	0.0446378	0.025123	0.0540078	0.0249081	0.034135	0.0267766	0.0221171	0.0353127	0.0338067	0.0471181	0.0477736	0.0345945	0.0356653	0.00999426	0.0108131	0.00558505	0.00877563	0.0136926	0.0088795	0.0197825	0.0108327	0.0647792	0.150273
il	0.0337919	0.0186438	0.0168413	0.0187943	0.0210768	0.0262725	0.0116073	0.00918683	0.0110856	0.0117203	0.0136031	0.036345	0.0182476	0.0159698	0.0116759	0.0118725	0.0245435	0.0114519	0.0137293	0.0167723	0.0184969	0.0357825	0.0241755	0.0373098	0.0468508	0.0447287	0.0623018	0.0437959	0.0282283	0.0339926	0.0259857	0.01919	0.0305205	0.0286706	0.0382119	0.0327559	0.0957712
y	0.236801	0.0592619	0.0307839	0.0139811	0.00894178	0.00619002	0.00630864	0.00169277	0.00168344	0.00174678	0.00216112	0.00517427	0.00532758	0.00658559	0.019313	0.0199603	0.0150737	0.0221875	0.0189866	0.0209975	0.0104091	0.0133701	0.0207817	0.0564893	0.0172226	0.0423895	0.0347327	0.0273563	0.0170179	0.0441597	0.0232484	0.0137085	0.0106507	0.0191268	0.0149212	0.045807	0.0854506
avait	0.0670903	0.0276054	0.0166241	0.0137889	0.00942057	0.00485163	0.00591379	0.00152116	0.00123784	0.0010578	0.00163076	0.00165245	0.0035696	0.00442709	0.0106462	0.0154497	0.0116446	0.0240373	0.017992	0.024416	0.018316	0.017421	0.026044	0.0690015	0.0320359	0.0630487	0.0610433	0.0616062	0.0443772	0.0670831	0.0423528	0.0244896	0.0240138	0.0189889	0.0258638	0.0437412	0.0959958
