 	b	á	a	á	b	h	é	m	b	i	k	ó	l	i	t	s	i	i	n	a	á	p	f	é	s	á	a	t	s	á	a	b	v	ú	s	á	</S>
ils	0.0524545	0.206593	0.225242	0.187659	0.0633166	0.0344109	0.0296931	0.00964175	0.0198464	0.00556866	0.010154	0.00939342	0.00974773	0.00958438	0.00544462	0.00568778	0.00493174	0.00284152	0.00208131	0.0027642	0.00381911	0.00392752	0.0056205	0.00377431	0.00600926	0.00525559	0.0056153	0.0101755	0.00864718	0.0076804	0.0060647	0.00533716	0.00476726	0.00513751	0.00740786	0.0067166	0.00698677
ont	0.0218246	0.0142303	0.01398	0.0131706	0.0130795	0.0248403	0.040566	0.0869053	0.0662141	0.0380949	0.0709012	0.0626991	0.0812732	0.0310889	0.0277984	0.035176	0.0135465	0.0150732	0.0275432	0.020742	0.0157664	0.0143918	0.0141279	0.0280432	0.0251889	0.0290344	0.028901	0.0243026	0.0185815	0.015152	0.0137959	0.0111362	0.0131313	0.0110599	0.0111677	0.00481544	0.00265671
marché	0.0347909	0.0112802	0.0137338	0.0123487	0.0136058	0.0195088	0.0295129	0.0234459	0.0216442	0.0255249	0.0226331	0.0280947	0.0384634	0.0390592	0.0400726	0.046172	0.0505565	0.0373326	0.0279696	0.0155274	0.0134441	0.0112337	0.0159387	0.0221789	0.0272418	0.0368178	0.0444741	0.0407218	0.0411459	0.0391922	0.0372301	0.0328901	0.0362912	0.0192094	0.012493	0.0089904	0.00922949
toute	0.0124002	0.0130591	0.0137214	0.0106396	0.00811002	0.00977887	0.00899944	0.0101324	0.0130726	0.0124521	0.0128707	0.0106933	0.00959825	0.0105066	0.0119408	0.0129928	0.0237034	0.0227913	0.0259316	0.0241704	0.0306919	0.0317619	0.036782	0.0301472	0.0384706	0.0343669	0.0365715	0.0572823	0.0860478	0.0604272	0.0830489	0.0542558	0.0479481	0.033941	0.0310033	0.0185034	0.0111856
la	0.00816618	0.00767712	0.00690068	0.00593317	0.00675621	0.00734823	0.00899283	0.0164636	0.0216923	0.0251554	0.0280956	0.0299615	0.031634	0.0334657	0.029942	0.0277219	0.0293978	0.0332884	0.0315103	0.033424	0.0291299	0.0329614	0.0394288	0.0457544	0.0458452	0.0445381	0.0448048	0.0439532	0.03729	0.035181	0.032368	0.019289	0.02231	0.0200307	0.0263146	0.0249032	0.0323708
nuit	0.0169126	0.019152	0.00853106	0.0055917	0.00508264	0.00505281	0.00823542	0.0124254	0.0141704	0.0141063	0.0166718	0.0166138	0.0188842	0.0234178	0.0231523	0.0222159	0.0288636	0.0305452	0.0292223	0.0328532	0.0354812	0.0419612	0.0435798	0.0547677	0.0418166	0.0507834	0.0532553	0.0530491	0.0494355	0.0407121	0.0443661	0.0283199	0.0283499	0.0195051	0.0200446	0.0203488	0.0225233
et	0.0109726	0.00752081	0.00657663	0.00454458	0.00593197	0.00980312	0.00999411	0.0106514	0.0112674	0.0297605	0.0215952	0.0292526	0.0285689	0.0275448	0.0319005	0.0326296	0.0261398	0.0266348	0.0230416	0.0288953	0.031243	0.0377179	0.0356226	0.0375381	0.0351361	0.0307356	0.0313093	0.0336246	0.0322209	0.0321007	0.0365778	0.0380218	0.0375897	0.0406719	0.0378666	0.0417429	0.0470544
son	0.024226	0.0167575	0.0139335	0.0100835	0.0159083	0.0186757	0.0136917	0.0263776	0.0227237	0.0297201	0.0282721	0.0333661	0.0234491	0.0179902	0.0190772	0.0243334	0.0158673	0.0192308	0.0145085	0.0237217	0.0222193	0.0250427	0.02286	0.0213224	0.0232081	0.0206939	0.0256532	0.0338861	0.0262611	0.0258565	0.0320315	0.0372195	0.0365642	0.0477177	0.0529967	0.061885	0.0726684
arrivés	0.0166794	0.00826515	0.00934643	0.00859504	0.00842505	0.00621011	0.0063523	0.00507985	0.00519699	0.014668	0.00920172	0.0128795	0.00960686	0.00903947	0.0136113	0.013798	0.0189546	0.0262329	0.0258053	0.0311224	0.0351974	0.0421723	0.0397006	0.0311175	0.0350184	0.0241413	0.0298373	0.047129	0.0450964	0.0445623	0.0414819	0.0467167	0.0457811	0.0512676	0.0514083	0.0579257	0.0723761
à	0.0254601	0.00825183	0.010981	0.0078607	0.0133257	0.012426	0.0132509	0.00694166	0.00646014	0.0116315	0.0110695	0.0125865	0.00880734	0.00529429	0.00688024	0.00631544	0.0150954	0.0281449	0.0412426	0.044863	0.051086	0.0540988	0.0462651	0.0327816	0.0456285	0.0228523	0.0245564	0.0298334	0.0284111	0.0271097	0.0251523	0.0257426	0.0284499	0.03686	0.0443075	0.0679412	0.112035
l'	0.0448961	0.0125463	0.0182021	0.0127521	0.023667	0.0270757	0.0233402	0.0124953	0.0176892	0.00937489	0.0140782	0.0107081	0.00784589	0.00604381	0.00689859	0.00805776	0.0116777	0.0246143	0.0274715	0.034366	0.0341221	0.0381378	0.0282459	0.0268499	0.0250791	0.0217085	0.0200053	0.0229851	0.02315	0.0238545	0.0264483	0.0296935	0.0377279	0.0383488	0.0448385	0.0801324	0.124871
aube	0.0129752	0.00440949	0.0053358	0.00446422	0.00543534	0.00392181	0.00504089	0.00281042	0.00359429	0.00821744	0.00866296	0.010393	0.00821502	0.00869543	0.0069575	0.00728196	0.0170333	0.0323261	0.0443412	0.0436503	0.0512116	0.0462424	0.0400537	0.0370053	0.0409726	0.0286539	0.0332865	0.0394784	0.0325988	0.0400167	0.0360328	0.0435806	0.0365592	0.0395282	0.0500256	0.0605168	0.100475
</S>	0.0376029	0.0114965	0.0109582	0.00757469	0.00578481	0.010356	0.0146596	0.0148985	0.0110126	0.0254451	0.0286932	0.0389425	0.0339749	0.0380539	0.0394152	0.042455	0.0275191	0.0249653	0.0266407	0.0371829	0.0313995	0.035711	0.0327465	0.0259401	0.0372132	0.034061	0.0422943	0.0444263	0.0328074	0.0222828	0.0285499	0.0245403	0.0199984	0.0190701	0.0178807	0.026092	0.0373547
