 	e	s	i	i	y	ó	n	g	w	e	l	é	é	d	í	l	o	p	f	u	a	</S>
le	0.011916	0.0155089	0.0242423	0.0389663	0.0547008	0.0554343	0.0381924	0.0440485	0.0381232	0.0325182	0.0391823	0.0398713	0.0402208	0.0373117	0.0382284	0.0448165	0.0768762	0.103374	0.0661481	0.0782106	0.048234	0.0338748
tisserin	0.00395106	0.0079885	0.0132534	0.026378	0.0583898	0.0477333	0.0670342	0.13195	0.167695	0.114321	0.138976	0.054575	0.0230545	0.0157838	0.0208732	0.0205016	0.0232681	0.021889	0.0242729	0.0107105	0.00350146	0.00389967
à	0.0702209	0.0462406	0.0458601	0.0524482	0.0401818	0.0317084	0.0250168	0.0352687	0.0248976	0.0621337	0.0635007	0.0524246	0.0239716	0.0282704	0.0556539	0.0560531	0.0507909	0.0710369	0.0877331	0.0353542	0.0282911	0.0129426
ventre	0.0777589	0.0733692	0.0895703	0.0718649	0.0520921	0.047845	0.0246076	0.0301696	0.0184672	0.0240538	0.0207681	0.0356377	0.027861	0.0336782	0.0424799	0.0535989	0.0445585	0.0482416	0.0422222	0.0316491	0.0330167	0.0764895
noir	0.0473056	0.0233107	0.0173891	0.0226436	0.0234578	0.0183662	0.0209112	0.0361525	0.033843	0.0246692	0.0656136	0.104576	0.149297	0.0701129	0.0539533	0.0319683	0.0402758	0.0488792	0.0438721	0.0296656	0.0295206	0.0642165
est	0.0549817	0.0787904	0.065768	0.0595093	0.0572418	0.0719745	0.076848	0.0712118	0.0193349	0.0123605	0.0129352	0.0199154	0.0191341	0.0117908	0.0150824	0.0168185	0.0245286	0.0196526	0.0333829	0.0388472	0.0503604	0.169531
un	0.114356	0.127998	0.126318	0.07093	0.0431726	0.0417904	0.038812	0.0347493	0.0344295	0.0164141	0.0227798	0.0259069	0.00851465	0.00885933	0.00858583	0.0119966	0.012093	0.0283817	0.028412	0.0216205	0.0428833	0.130997
bel	0.293087	0.195426	0.0730814	0.0510689	0.031206	0.0236376	0.0165475	0.0165857	0.00989355	0.00706366	0.0113402	0.0101814	0.00944109	0.00711864	0.00413052	0.0102696	0.0115908	0.0224616	0.012816	0.0255667	0.0253644	0.132122
oiseau	0.331054	0.22979	0.118391	0.0621653	0.0391957	0.0241384	0.0120574	0.0135338	0.00417675	0.00587763	0.00508456	0.00336339	0.00340513	0.003941	0.00316083	0.00853056	0.00694586	0.0149432	0.0063499	0.00760625	0.0221248	0.0741643
</S>	0.119808	0.0667177	0.0513609	0.0574978	0.0480826	0.0331265	0.0288025	0.0315046	0.0137259	0.0164463	0.019914	0.0123717	0.0138184	0.00681694	0.00682301	0.0165315	0.0212232	0.0336404	0.0398774	0.0580159	0.0857787	0.218116
