 	l	y	o	ó	b	í	i	b	h	o	n	á	á	m	ó	p	ó	s	á	b	e	a	</S>
les	0.0706062	0.0640433	0.024313	0.0133624	0.0125376	0.0194216	0.0367776	0.053067	0.0449912	0.0678968	0.0638046	0.0524952	0.0497567	0.054262	0.0627173	0.0551292	0.0370823	0.0353613	0.0443637	0.0465357	0.0369724	0.0271356	0.0273673
pauvres	0.0823819	0.0454138	0.0295723	0.0231448	0.0359248	0.0242915	0.0670789	0.0987904	0.0750479	0.114376	0.0805454	0.0469747	0.0363715	0.0463229	0.0669283	0.0292538	0.0160989	0.0173967	0.0231694	0.0182005	0.0119386	0.00664442	0.0041331
se	0.0246827	0.0212753	0.0153435	0.0162569	0.0346187	0.0437136	0.108733	0.112064	0.11921	0.0775927	0.0531911	0.0566512	0.0619378	0.0597587	0.0537941	0.0332749	0.0199783	0.0192444	0.0156524	0.0154546	0.0170769	0.00914035	0.0113544
lancent	0.0205133	0.0375853	0.054897	0.0597968	0.0679995	0.0526209	0.0464371	0.0445729	0.0480047	0.0525711	0.0633166	0.0590901	0.0371803	0.05974	0.0340676	0.0265246	0.0335584	0.0426737	0.0260121	0.0350091	0.0402372	0.0257341	0.0318575
dans	0.017651	0.0297261	0.0538734	0.0774906	0.0908236	0.0711386	0.0666083	0.0667716	0.0670432	0.0396883	0.0282174	0.0233839	0.0238324	0.0274293	0.0174248	0.0199138	0.0294238	0.0321729	0.019365	0.0277437	0.0547381	0.051421	0.0641192
le	0.0328096	0.0432182	0.052572	0.0583733	0.0669376	0.0570046	0.0541875	0.0522027	0.056896	0.0529835	0.0421181	0.0322986	0.0271864	0.0319954	0.026043	0.0266343	0.0303951	0.0307424	0.0389331	0.0356216	0.0446459	0.0644018	0.0417995
monde	0.0253106	0.0280981	0.0253253	0.0270284	0.0231497	0.0267772	0.0214999	0.017773	0.0220688	0.0250041	0.0243501	0.0265362	0.0355934	0.0427823	0.0434006	0.0689224	0.0629792	0.0647366	0.0514558	0.0625438	0.0761461	0.0851338	0.113385
des	0.0440861	0.0552551	0.0516045	0.0536447	0.0419199	0.0412383	0.0171071	0.0149729	0.0155966	0.0172995	0.0189927	0.0198536	0.0177089	0.0199617	0.0158121	0.0253174	0.0378974	0.0437079	0.0304537	0.0359773	0.0717309	0.0785727	0.231289
fétiches	0.0772762	0.0720079	0.061581	0.0531718	0.0276787	0.0173449	0.00866788	0.00769	0.00797601	0.00933848	0.0101441	0.0116573	0.0150335	0.0293958	0.0333976	0.0550919	0.0401874	0.0581664	0.0310478	0.0415515	0.0964878	0.0862886	0.148817
à	0.0599945	0.0407426	0.0355292	0.0353484	0.0281527	0.0121112	0.00480356	0.00589756	0.00481857	0.0052018	0.00409626	0.00457486	0.00681184	0.0151074	0.0162662	0.0366114	0.0552319	0.070522	0.0658197	0.0706021	0.0944873	0.152773	0.174496
cause	0.0606328	0.039995	0.0359906	0.0347306	0.0236318	0.00595205	0.00357094	0.00345919	0.0031913	0.00344395	0.00320672	0.00311909	0.00304541	0.00592747	0.0121148	0.0312383	0.0566127	0.0827289	0.0828595	0.0814071	0.105332	0.161167	0.156643
de	0.0563278	0.0357263	0.0349419	0.0348277	0.0321143	0.0158228	0.00618348	0.00798789	0.00684701	0.00775884	0.00578888	0.00581093	0.00656146	0.0123262	0.0169379	0.0454894	0.0745102	0.0891918	0.0895274	0.0871285	0.09075	0.0977963	0.139643
leur	0.0456129	0.0385571	0.0375701	0.0348742	0.0243832	0.00843336	0.00511336	0.00584707	0.00559386	0.00562744	0.00476604	0.00479177	0.00555212	0.0114112	0.0204977	0.0398756	0.0515664	0.0796675	0.0830735	0.10446	0.120939	0.121195	0.140592
cupidité	0.0622254	0.0374069	0.0310582	0.0218113	0.0107409	0.00646805	0.00730259	0.00652279	0.00580145	0.00588411	0.00577302	0.00523086	0.00545814	0.00739626	0.0151511	0.0360568	0.0481213	0.0560672	0.0577362	0.0703885	0.0969585	0.161424	0.239017
</S>	0.0544919	0.0477818	0.0669207	0.057078	0.043359	0.0200697	0.0163665	0.01527	0.0144481	0.0168375	0.0197091	0.0206057	0.01731	0.0174727	0.0136498	0.0169879	0.0307633	0.042596	0.0584243	0.0660507	0.0859461	0.0918432	0.166018
