 	b	í	s	í	l	é	t	ε	i	p	f	e	n	d	é	l	á	a	k	y	é	n	á	k	ó	ó	</S>
nous	0.206291	0.255779	0.0781533	0.0286244	0.0223363	0.0132225	0.0151967	0.00953935	0.0142837	0.0171358	0.0190814	0.0207459	0.0225719	0.0290903	0.0305952	0.0201732	0.021993	0.0202073	0.0113266	0.0158175	0.0138988	0.0194177	0.0180635	0.0192282	0.0162786	0.0184642	0.0224847
avons	0.0388466	0.0708851	0.0264367	0.0217225	0.0264477	0.0345134	0.0510561	0.134228	0.101071	0.0759584	0.113846	0.0631167	0.0409137	0.0252366	0.028451	0.0237123	0.0143756	0.0172115	0.0144085	0.0149657	0.01355	0.0166083	0.0131993	0.0083918	0.00395413	0.00315828	0.00373529
vu	0.0226496	0.0213737	0.0424613	0.0480291	0.0535839	0.0394335	0.0310169	0.0574903	0.0506717	0.0765678	0.0768207	0.0949186	0.0927967	0.106687	0.0397406	0.0229605	0.0197192	0.0151003	0.0105367	0.0101734	0.00985887	0.00759003	0.00744404	0.00814658	0.00871837	0.0151224	0.0103887
un	0.0309388	0.0260952	0.0257002	0.0250025	0.027042	0.0271964	0.0270559	0.0404813	0.0454691	0.0519217	0.054313	0.0536825	0.0494654	0.053523	0.0378518	0.0460609	0.0391726	0.0285084	0.0220009	0.0210167	0.0209919	0.023253	0.0230616	0.0307477	0.0359054	0.0614815	0.0720606
singe	0.0147833	0.0158649	0.0149206	0.0166646	0.021366	0.0268514	0.0292067	0.047399	0.0578362	0.0846666	0.0785464	0.0626752	0.0545127	0.0522571	0.0361001	0.0409719	0.0317544	0.0323803	0.0336284	0.0392113	0.0340913	0.0289523	0.0288697	0.0258111	0.0262619	0.0257226	0.0386938
vert	0.0242726	0.020928	0.0104687	0.0196894	0.0202697	0.017886	0.0203131	0.0229503	0.0190239	0.0162692	0.015168	0.0180133	0.0219158	0.022568	0.030927	0.0468675	0.056471	0.0527629	0.0615214	0.0541168	0.0554599	0.0492257	0.0552201	0.0595851	0.0631234	0.0644484	0.0805346
qui	0.0537214	0.0377347	0.0205103	0.0222326	0.0256784	0.0209802	0.0236574	0.0246266	0.0251045	0.0192305	0.0176561	0.0170451	0.0168022	0.0148846	0.0177182	0.0268525	0.0402595	0.033217	0.0518795	0.0450466	0.0536446	0.0518011	0.049875	0.0517726	0.0665149	0.0711696	0.100384
traversait	0.0562415	0.0412505	0.019915	0.0183608	0.0166916	0.0150075	0.0173867	0.0204832	0.0199453	0.0176432	0.0168439	0.0163507	0.0205872	0.0166726	0.0223712	0.0316392	0.0487492	0.0468455	0.0601451	0.0588468	0.0577166	0.0573276	0.0569887	0.0575351	0.0620667	0.0608939	0.0654948
la	0.0232904	0.0182179	0.0171916	0.0164991	0.0137793	0.0128979	0.0119157	0.0133447	0.0180387	0.0205892	0.0190525	0.0178063	0.0241795	0.020468	0.0303846	0.0340568	0.0546127	0.0454145	0.0650943	0.0560034	0.0574828	0.0610968	0.0576468	0.0632027	0.0724592	0.0757395	0.0795348
route	0.0146683	0.0127645	0.0117214	0.00726842	0.00593433	0.00709177	0.00963489	0.0146671	0.0162316	0.0181775	0.0184956	0.0191454	0.0199379	0.0135203	0.0186472	0.0229472	0.0318301	0.0336862	0.0578579	0.0505347	0.0582714	0.0740831	0.0771513	0.0866066	0.0940248	0.101428	0.103673
</S>	0.0300349	0.0220684	0.0228006	0.0209984	0.016226	0.0210018	0.0234871	0.0386341	0.0432309	0.0465281	0.0474287	0.0310606	0.0293633	0.0262578	0.0180426	0.0254778	0.0356254	0.0252747	0.0360192	0.0332613	0.0303947	0.0423154	0.0403737	0.0455166	0.0559632	0.0737822	0.118832
