 	y	í	b	h	a	l	á	m	w	á	n	a	w	ó	í	m	i	s	á	á	o	l	á	n	g	á	s	á	n	g	á	</S>
le	0.0257999	0.0166052	0.0120913	0.00788737	0.00631457	0.00655935	0.0118301	0.0225079	0.03595	0.0404015	0.0282598	0.11104	0.0544157	0.0408787	0.0739827	0.0379202	0.0507734	0.0187811	0.0396779	0.030863	0.0189904	0.0151573	0.0112528	0.0210335	0.0247339	0.0392036	0.0341521	0.0423073	0.0329307	0.0259037	0.0416406	0.0201549
fait	0.365855	0.247497	0.14642	0.0651161	0.0779159	0.00581066	0.00643597	0.0028876	0.00279934	0.00113857	0.000679336	0.000254947	0.000996274	0.0010245	0.002728	0.00634593	0.012959	0.00851762	0.00309863	0.00369002	0.00334709	0.000941392	0.00260723	0.00113547	0.00378674	0.00453417	0.00343722	0.00445323	0.00967845	0.00125069	0.00175424	0.000903406
que	0.119229	0.077781	0.0337979	0.0155519	0.0166207	0.00690725	0.010659	0.0127767	0.0120889	0.00716662	0.0126551	0.00955441	0.0230871	0.0158756	0.0466878	0.0507666	0.0258496	0.0430729	0.0829449	0.103641	0.0335976	0.0353831	0.0603277	0.025558	0.0334441	0.0149216	0.014781	0.00792823	0.0115175	0.012018	0.0149638	0.00884519
cet	0.038116	0.0333018	0.0209627	0.016476	0.00987118	0.00635531	0.00745831	0.0064659	0.0156186	0.0115415	0.0118254	0.0125973	0.0223855	0.0513423	0.0339342	0.0464636	0.07511	0.047583	0.031657	0.0458277	0.0600126	0.0364471	0.0426239	0.0252966	0.0356639	0.0193709	0.0390469	0.0281762	0.0367463	0.0344517	0.0327613	0.0645091
enfant	0.0243361	0.0325718	0.0322192	0.0265679	0.0489473	0.0255703	0.0420958	0.037839	0.0447793	0.0102555	0.00745108	0.00462783	0.0100887	0.0237555	0.0170633	0.0341699	0.0309574	0.0435535	0.0305258	0.0323528	0.0275889	0.0223406	0.0290007	0.028703	0.0285006	0.0422541	0.0454326	0.0408724	0.041422	0.0276215	0.0449504	0.0615852
vole	0.0754433	0.0646601	0.0662789	0.0428036	0.038448	0.0441888	0.0262477	0.0297619	0.0319527	0.00722745	0.005858	0.00332371	0.00781485	0.00778396	0.0107629	0.0121447	0.0295951	0.0242389	0.0201405	0.0192216	0.0173053	0.0171794	0.0200889	0.0178151	0.0135946	0.0223395	0.0230565	0.0236775	0.0250455	0.061668	0.0672686	0.123065
des	0.029858	0.0697779	0.0774902	0.0952602	0.0724724	0.0885542	0.0608819	0.0487732	0.0578647	0.0167795	0.00600939	0.00735424	0.00925988	0.00580649	0.0116548	0.00675957	0.00657761	0.00702194	0.00988573	0.00909359	0.00808436	0.0205934	0.0184434	0.0136163	0.00635439	0.00907589	0.0273741	0.0180692	0.0113124	0.035839	0.0321667	0.101935
choses	0.0773766	0.0761593	0.0754266	0.0575368	0.0576268	0.016277	0.0206886	0.00998639	0.0089872	0.00488236	0.0043418	0.0032082	0.00391273	0.00328582	0.00133647	0.00512621	0.0102728	0.00743427	0.00738878	0.0160701	0.0113613	0.00445196	0.00656353	0.00695004	0.0171764	0.0360419	0.0102624	0.0222792	0.0467991	0.0758638	0.10989	0.185036
me	0.146853	0.0779648	0.067896	0.0486052	0.0329598	0.0217862	0.0130296	0.0155818	0.017293	0.00973624	0.010869	0.00879251	0.00944523	0.0154507	0.00547018	0.00836901	0.0238536	0.0117584	0.0082258	0.0106767	0.0221441	0.0123813	0.0208259	0.0127272	0.0179082	0.0330019	0.0232036	0.0238133	0.0650456	0.0349051	0.0356676	0.133759
dépasse	0.133843	0.0644243	0.0445599	0.024985	0.0175064	0.00719878	0.00763434	0.00475795	0.00607455	0.00317906	0.00372928	0.0032541	0.00387146	0.00805141	0.00352256	0.0125204	0.0224675	0.013163	0.00535609	0.0104211	0.010783	0.00580074	0.0195485	0.0154212	0.0362314	0.0646068	0.0262068	0.0354162	0.0856799	0.0703102	0.0786373	0.150838
</S>	0.212923	0.0699809	0.0481396	0.0349126	0.0421168	0.0174502	0.014682	0.00540659	0.00889493	0.00630936	0.00398267	0.00393822	0.00682558	0.0216836	0.00364881	0.0177307	0.0245406	0.0217597	0.00775076	0.0129356	0.0214074	0.00718981	0.00964632	0.0120888	0.0326926	0.0578158	0.0247511	0.0298871	0.0902139	0.0252884	0.0256067	0.0777994
