 	n	g	á	l	a	p	ó	a	í	k	á	m	b	i	f	u	l	u	m	í	d	z	ó	</S>
hier	0.0715472	0.0496261	0.050594	0.064461	0.055839	0.0375845	0.0234307	0.0236848	0.0414201	0.0436188	0.0395347	0.043062	0.0468114	0.0472661	0.0505224	0.0513082	0.0571961	0.0465994	0.0330135	0.031352	0.0297477	0.0224948	0.0155783	0.0237076
je	0.0712719	0.0131023	0.0132644	0.0192792	0.0203002	0.0822113	0.125818	0.153469	0.107232	0.0660297	0.0591066	0.0208318	0.0191655	0.0200339	0.0206905	0.0273157	0.0389718	0.0169226	0.0167883	0.0216771	0.0217669	0.00988389	0.0143685	0.0204996
n'	0.0588997	0.0298612	0.0113999	0.00833475	0.0108816	0.0146434	0.0296056	0.0536316	0.0387061	0.031689	0.0582224	0.0595466	0.12026	0.100595	0.0977018	0.0587623	0.0369746	0.0334375	0.0289679	0.035169	0.0201846	0.021124	0.0189562	0.0224453
ai	0.123144	0.0564646	0.0213538	0.0247921	0.0261917	0.029232	0.0380448	0.0303665	0.025218	0.0170753	0.0107784	0.0164269	0.0215247	0.0239438	0.0513296	0.0377697	0.0293143	0.0440567	0.0762528	0.0876169	0.027924	0.0487838	0.0636768	0.0687184
pas	0.102183	0.039977	0.0376166	0.061969	0.0951192	0.130269	0.0576687	0.0501115	0.0372436	0.0247901	0.0336628	0.034235	0.0226377	0.020995	0.018626	0.0176707	0.0209594	0.0241024	0.023637	0.0341683	0.0228792	0.022743	0.028543	0.0381924
pu	0.0225893	0.0141926	0.0207632	0.0244402	0.0320556	0.0486894	0.0572467	0.0375987	0.0375361	0.0300254	0.0379662	0.0428436	0.0371257	0.0290517	0.0255359	0.0274186	0.0270376	0.0344361	0.0330164	0.0463029	0.0442603	0.0560022	0.0748325	0.159033
dormir	0.0307133	0.0149374	0.014431	0.0154974	0.0166056	0.0243082	0.0385744	0.0334153	0.0375176	0.0288035	0.0375026	0.0362323	0.0458899	0.0494613	0.0462026	0.0470053	0.0530753	0.059125	0.0538902	0.0612666	0.0493357	0.050818	0.0480435	0.107348
à	0.0627393	0.0258603	0.0232165	0.0240411	0.0239308	0.0202864	0.0193175	0.0183768	0.021284	0.0168073	0.0206218	0.0194751	0.01991	0.0186933	0.020342	0.0223733	0.0278294	0.051629	0.0467248	0.0847431	0.0873831	0.0935593	0.0963929	0.134463
cause	0.0410974	0.028542	0.0268467	0.026209	0.0236178	0.0185083	0.0184955	0.0201318	0.0256905	0.0219137	0.0236051	0.0269171	0.0301767	0.0310335	0.0326896	0.0314073	0.0321706	0.0461947	0.044267	0.0784962	0.075275	0.0787223	0.0996605	0.118332
des	0.0583399	0.0366321	0.0268628	0.0252784	0.0217039	0.0169078	0.0163049	0.0196414	0.0163868	0.013989	0.0163129	0.0165118	0.020789	0.022808	0.0303505	0.0329868	0.036823	0.0522233	0.0470509	0.0834686	0.0858825	0.0958864	0.100978	0.105881
moucherons	0.0589669	0.0418609	0.0277049	0.0220597	0.0180524	0.0203038	0.0208549	0.0269105	0.0253353	0.0172213	0.0157648	0.0199643	0.0241044	0.0300388	0.0411087	0.0438812	0.0398282	0.0439124	0.048985	0.0551061	0.0446967	0.0631436	0.118045	0.13215
</S>	0.158359	0.0585583	0.0370041	0.044577	0.0514202	0.0565522	0.0208834	0.0184998	0.0207494	0.0122262	0.013364	0.0142906	0.0137432	0.01752	0.0213556	0.0183486	0.0250732	0.0436171	0.0457999	0.0633146	0.0570579	0.0580147	0.0634593	0.0662117
