 	m	o	r	o	y	e	e	w	ú	r	ú	o	k	u	n	g	ú	w	ó	a	d	í	l	a	n	d	ε	l	i	k	a	s	ó	o	</S>
cet	0.0105768	0.0132968	0.0172522	0.0351026	0.0380731	0.0330668	0.0407858	0.0591326	0.0335356	0.0345056	0.036648	0.0398843	0.0504446	0.0485226	0.081872	0.0910796	0.0291899	0.0223777	0.0185015	0.0153086	0.0155615	0.013249	0.0119703	0.0147186	0.01437	0.0159834	0.0188408	0.0200652	0.0211919	0.0244445	0.0189123	0.0212511	0.0151325	0.0116655	0.0134869
homme	0.0449047	0.0479655	0.0692205	0.0681468	0.0914433	0.0732396	0.0299696	0.129328	0.0517059	0.0232715	0.0151954	0.0116641	0.00653379	0.00577896	0.0069166	0.0271094	0.0307485	0.03314	0.0415618	0.0274704	0.0171971	0.0151725	0.0135577	0.023218	0.0245293	0.017394	0.00740834	0.0123907	0.0136787	0.00802422	0.0055325	0.00266453	0.00148666	0.00126987	0.00116194
qui	0.0646107	0.0468249	0.0308049	0.0188643	0.0170469	0.0273954	0.0299444	0.00567913	0.0104842	0.0206755	0.0266183	0.0455108	0.0482227	0.0322785	0.0314462	0.0382771	0.0244953	0.00677439	0.0113658	0.0329433	0.0507656	0.0356771	0.0378777	0.0459949	0.0354029	0.0405493	0.0446156	0.0384274	0.0273897	0.0264605	0.0140323	0.0115218	0.00849692	0.00805331	0.00447222
vient	0.0138698	0.0200395	0.0390284	0.0496163	0.064968	0.0862062	0.0393809	0.0143374	0.0121994	0.0116153	0.0175565	0.0151471	0.0304004	0.028383	0.0280225	0.0227761	0.035222	0.0205518	0.0238559	0.031852	0.0277313	0.0308628	0.0290491	0.0556802	0.040357	0.0493494	0.0330615	0.0247053	0.0108275	0.0103562	0.00849972	0.017183	0.0163857	0.0204381	0.0204849
du	0.054354	0.0599491	0.0636931	0.0503412	0.0442383	0.0494078	0.0343881	0.0355547	0.0257204	0.0186121	0.025451	0.0206471	0.0288742	0.0277561	0.0219661	0.0129824	0.0149946	0.0155432	0.0170915	0.0259953	0.0281268	0.040515	0.0231026	0.0251713	0.0179248	0.0226394	0.0207168	0.0173284	0.0159627	0.0102878	0.0147377	0.0272401	0.0209365	0.0248876	0.0428621
vil	0.0598791	0.0420486	0.0356439	0.0401661	0.0413011	0.0370233	0.032168	0.0346931	0.026741	0.0188865	0.0140654	0.0224031	0.0435166	0.0256661	0.0336639	0.0482424	0.0539775	0.051536	0.0371144	0.0184043	0.0134254	0.0136766	0.0147261	0.0209731	0.0207869	0.0247416	0.021846	0.0205567	0.0186118	0.0159039	0.0180057	0.0214213	0.0135756	0.0150207	0.0295883
lage	0.10228	0.0621942	0.0599964	0.0427517	0.0313131	0.0258957	0.0266895	0.0203551	0.046158	0.0311727	0.027506	0.024949	0.0155672	0.00530407	0.00761204	0.0115277	0.00769749	0.00906602	0.00786113	0.00710899	0.00418496	0.0102714	0.00912772	0.0225465	0.0235071	0.0340903	0.0276321	0.031142	0.0221725	0.0261417	0.0330536	0.0317803	0.0292062	0.0458027	0.0763353
d'	0.062219	0.0476945	0.0411798	0.0370918	0.0354527	0.0285432	0.0219205	0.0185791	0.0286452	0.0217539	0.0385586	0.0386059	0.024095	0.017375	0.0151253	0.0170568	0.010806	0.0121496	0.0113435	0.00488589	0.00290325	0.00641366	0.00589663	0.0139715	0.0183067	0.0297798	0.0138945	0.0159169	0.0141666	0.0209659	0.0310392	0.0398678	0.044711	0.0779727	0.131113
okoungou	0.131916	0.0844126	0.0545442	0.0391408	0.025979	0.0118512	0.00653229	0.011162	0.0170487	0.0164381	0.0332247	0.0328335	0.0203994	0.00634299	0.0037886	0.00406433	0.00390309	0.00413893	0.00606714	0.00416418	0.00304434	0.00836691	0.00509272	0.0113288	0.0145753	0.014298	0.00897521	0.0104909	0.00902798	0.0240438	0.0282585	0.0421359	0.0574639	0.0891123	0.155834
a	0.120089	0.0767783	0.0710086	0.0451904	0.0301154	0.0267776	0.0254901	0.0348258	0.0612077	0.0495388	0.0587475	0.0460978	0.0279451	0.0272892	0.0231138	0.0219897	0.0107658	0.0112684	0.00788712	0.00527467	0.00488187	0.00723821	0.00989556	0.0145174	0.0136671	0.0135848	0.00626027	0.00843584	0.0097366	0.00807151	0.00927295	0.0108214	0.0142672	0.0256723	0.0622762
