 	b	e	a	b	i	n	á	b	í	í	l	á	m	b	á	w	a	í	d	í	o	k	w	á	k	a	á	</S>
certains	0.0166735	0.00954542	0.0127061	0.0139644	0.0113091	0.0109976	0.00953063	0.0217767	0.0218278	0.0389532	0.0609625	0.111293	0.136745	0.0951106	0.0650578	0.0680357	0.0303633	0.0231196	0.0330892	0.0468712	0.0211054	0.0341723	0.0167984	0.0181924	0.0158175	0.0203103	0.0217514	0.0139195
plats	0.0793908	0.145181	0.0592068	0.0651056	0.0905371	0.0244704	0.0156868	0.0122127	0.00913458	0.0112264	0.019904	0.0145958	0.00836734	0.0116413	0.0117372	0.00930452	0.00996803	0.0154584	0.0226554	0.0404129	0.0413201	0.0815362	0.0484553	0.0300394	0.0412799	0.0358447	0.0324358	0.0128917
qu'	0.0416861	0.0504272	0.0406544	0.0248213	0.0215145	0.0260754	0.0272888	0.043226	0.0275844	0.0255809	0.0325409	0.0148685	0.0395589	0.0290585	0.0545366	0.0470146	0.0518173	0.063507	0.0585118	0.0701615	0.0216645	0.0478917	0.0408866	0.0131183	0.0223479	0.0252413	0.0237146	0.0147006
il	0.0291274	0.0281216	0.0303575	0.0308525	0.0303384	0.0564762	0.0394562	0.0327004	0.0228129	0.0285742	0.050042	0.0623749	0.0742955	0.0341537	0.0486647	0.0768649	0.0505759	0.0389712	0.0426337	0.0203812	0.0285743	0.016478	0.0223891	0.0158637	0.0128542	0.0126258	0.0233734	0.0400665
prépare	0.0294248	0.0366943	0.0261197	0.0292284	0.0319186	0.050126	0.0437741	0.0502872	0.0494465	0.0370835	0.0312041	0.0283043	0.0312881	0.0297459	0.0361697	0.0331524	0.025822	0.0267808	0.0452961	0.0190508	0.0341581	0.0282018	0.0312987	0.0201399	0.0254052	0.0245113	0.0354877	0.10988
ne	0.0383914	0.0363122	0.0357119	0.0462977	0.0377854	0.051783	0.0498325	0.0403408	0.0367694	0.0442405	0.0321917	0.0280219	0.0244324	0.0284558	0.0466294	0.0312819	0.0311077	0.0397214	0.0271373	0.022271	0.0238097	0.0238227	0.0226912	0.0252487	0.0249187	0.0247939	0.0502814	0.0757184
sont	0.0277486	0.0244893	0.0248094	0.0304714	0.0305252	0.0347957	0.042625	0.0497683	0.0411643	0.0394607	0.0245912	0.0246843	0.0294401	0.0359196	0.0368931	0.0221048	0.0143366	0.0174817	0.0338036	0.0346047	0.0229087	0.0254291	0.0264514	0.0358602	0.0318832	0.0505739	0.0642265	0.122949
pas	0.0404081	0.0362913	0.0339624	0.0351555	0.0335152	0.0234256	0.0286797	0.021385	0.0219822	0.024985	0.0223227	0.0291211	0.035273	0.0405112	0.0293425	0.0149349	0.0113171	0.012942	0.0259759	0.0143364	0.018236	0.0273372	0.0188032	0.0224528	0.0466903	0.0635297	0.114253	0.152831
salés	0.0287474	0.0273706	0.0310622	0.0385548	0.0342268	0.0352373	0.0230032	0.0160019	0.0135208	0.0141338	0.00878952	0.00795171	0.00803439	0.00864474	0.0125782	0.00788035	0.00449344	0.00934634	0.0352478	0.0427877	0.0624701	0.0755277	0.066716	0.0540365	0.0688123	0.0695714	0.0844267	0.110826
</S>	0.056924	0.0443398	0.0367849	0.0374434	0.0287236	0.0189359	0.0148093	0.0116175	0.0122297	0.0118638	0.0111377	0.0102555	0.0105581	0.012652	0.00902737	0.00348987	0.00345213	0.00594132	0.0278905	0.0267528	0.0368132	0.0536354	0.0346559	0.0369089	0.0736132	0.104494	0.124451	0.140599
