 	a	m	w	ε	n	έ	b	á	m	b	o	n	d	z	i	b	ó	b	á	a	s	é	á	i	k	a	n	g	o	</S>
les	0.140138	0.0339544	0.0510434	0.018795	0.0344635	0.0442915	0.0394539	0.0369784	0.0324214	0.0430556	0.0242243	0.0598428	0.0236415	0.0135803	0.0217832	0.013854	0.0228664	0.0191093	0.0407703	0.0339696	0.0320553	0.0331271	0.0327117	0.0212786	0.0276184	0.0218459	0.0217797	0.0165034	0.0193801	0.0254631
chefs	0.0413807	0.0433292	0.0690706	0.0843705	0.0758194	0.103705	0.0912446	0.0727582	0.059234	0.0609925	0.043584	0.0546717	0.0194466	0.013895	0.0106136	0.00921697	0.00986542	0.0101498	0.00808733	0.0143318	0.00953135	0.0107101	0.0178701	0.0108922	0.0120935	0.00606826	0.011069	0.00888684	0.0143815	0.00273003
traditionnels	0.0620424	0.0559229	0.0301994	0.0224708	0.0215075	0.0327447	0.0245515	0.0371851	0.0447511	0.0398039	0.0522056	0.0343512	0.0292545	0.0224064	0.0271193	0.033307	0.0374642	0.0387414	0.0377254	0.0424794	0.0259625	0.0338213	0.0415114	0.0363151	0.0265736	0.0183998	0.0313122	0.0155058	0.029737	0.0146276
de	0.0215564	0.0233412	0.0235878	0.0231833	0.0266409	0.0298205	0.0369557	0.0547254	0.0779084	0.0757318	0.069246	0.0430447	0.0404727	0.028768	0.0278003	0.0267928	0.0309728	0.0275539	0.0341698	0.0215939	0.0233352	0.0220999	0.0133636	0.0135393	0.0132253	0.0144885	0.0234047	0.0347516	0.0435662	0.0543592
boundji	0.0299973	0.0299835	0.025879	0.029771	0.0311832	0.0330396	0.0462474	0.0482764	0.0387731	0.0336957	0.0338441	0.0310274	0.0414954	0.0506125	0.0443067	0.0349725	0.0299917	0.0277764	0.0262801	0.0247566	0.0255453	0.0249901	0.0231056	0.0236961	0.0230657	0.0241025	0.0277584	0.0322995	0.0309874	0.0725398
sont	0.0151156	0.0172119	0.0119533	0.0182209	0.0213762	0.0230723	0.0322751	0.0353302	0.0407781	0.0338058	0.0328896	0.0258562	0.0216975	0.0296441	0.0286681	0.0329003	0.0370664	0.0315431	0.0363173	0.0357432	0.0361451	0.0397135	0.0384779	0.0385812	0.0383778	0.039439	0.0426573	0.0470081	0.0427993	0.0753355
en	0.0276971	0.0283582	0.0175311	0.0323463	0.0324433	0.0411989	0.0442245	0.0576477	0.046327	0.0311023	0.0260646	0.0182241	0.0267138	0.0432138	0.0496769	0.0405803	0.0270435	0.0156127	0.0125956	0.0158278	0.0119338	0.014027	0.0237134	0.0209214	0.0224451	0.0233656	0.0621255	0.0606761	0.0620216	0.0643409
train	0.0292459	0.0276601	0.0306344	0.0312851	0.0366521	0.0418074	0.0339361	0.0557342	0.0310935	0.0180685	0.0172461	0.0170632	0.024545	0.0394908	0.0313586	0.0248589	0.0161342	0.012327	0.0123322	0.0186092	0.0178372	0.0174998	0.0265579	0.0218999	0.0274157	0.0261603	0.0899313	0.0686538	0.0850775	0.068884
de	0.0503452	0.0659962	0.0522738	0.0526958	0.0236594	0.0270591	0.0380278	0.0520191	0.0544583	0.0411955	0.0356853	0.0437892	0.0347714	0.0326531	0.031515	0.014167	0.0159208	0.00686125	0.0169807	0.0116184	0.0164164	0.0142497	0.0143477	0.0142777	0.0140042	0.0171809	0.035607	0.0417406	0.0357455	0.0947379
chanter	0.068459	0.0565338	0.0375265	0.0458457	0.0408998	0.0414876	0.0302868	0.0521235	0.0258946	0.0144907	0.0159721	0.0117048	0.0166842	0.0195815	0.0173164	0.0124406	0.0240418	0.0161683	0.0266306	0.0282816	0.0341696	0.0279391	0.0319699	0.0240221	0.0292254	0.0323409	0.0538832	0.047318	0.0512576	0.0655039
l'	0.0970899	0.110212	0.0666277	0.0401429	0.024633	0.0226137	0.018323	0.0254872	0.0133832	0.00934296	0.00922274	0.0108028	0.0069497	0.0107174	0.0103322	0.0090858	0.0114203	0.0132829	0.015475	0.0168338	0.0183343	0.0194458	0.0258475	0.0232292	0.0276377	0.0281741	0.0348477	0.032974	0.0856317	0.1619
hymne	0.0524943	0.10737	0.0479324	0.0476415	0.0265219	0.020541	0.0247773	0.0194871	0.0187063	0.0144362	0.0114232	0.0179639	0.0206917	0.0340992	0.0414857	0.0303765	0.0226384	0.023986	0.0171273	0.013998	0.0130897	0.0130955	0.0158665	0.0129039	0.0225193	0.0295885	0.0352242	0.0503244	0.0767658	0.116925
à	0.096468	0.0527723	0.0285877	0.0247193	0.0139115	0.0132617	0.0134595	0.0245832	0.0152351	0.010458	0.0141642	0.015954	0.0192643	0.0246629	0.0415384	0.025159	0.0271552	0.0202919	0.0261417	0.0265489	0.0281072	0.0264754	0.0214229	0.0157246	0.0212158	0.0330545	0.0595407	0.0590993	0.0865949	0.114428
la	0.0213918	0.0250254	0.0214721	0.0285085	0.0289959	0.0260491	0.018913	0.0300878	0.0196841	0.0138855	0.00831455	0.00727681	0.00868665	0.0124068	0.0212083	0.0199038	0.0306289	0.0177231	0.0167587	0.0182692	0.0198532	0.0225856	0.0358716	0.0326819	0.0486982	0.0583627	0.060456	0.0711076	0.108176	0.147017
sagesse	0.0122654	0.014632	0.0127108	0.016234	0.0149261	0.0155595	0.0130745	0.0189875	0.0135015	0.00694087	0.00542234	0.00646006	0.00693659	0.00886173	0.0146423	0.0196795	0.0352718	0.0220967	0.0221298	0.0248071	0.0261471	0.0298684	0.0424533	0.0354982	0.0543786	0.0716149	0.0805156	0.0957036	0.120946	0.137734
traditionnnelle	0.0404513	0.0438982	0.0294621	0.0278081	0.017985	0.0141885	0.0117119	0.0154228	0.0131711	0.0100672	0.00930347	0.0104569	0.00715565	0.00815711	0.0119475	0.0162088	0.019638	0.0180724	0.0213493	0.0213048	0.0206253	0.0254234	0.024511	0.0211839	0.0334761	0.0382124	0.0471778	0.0582608	0.116309	0.24706
</S>	0.0771592	0.0659675	0.0390521	0.0278664	0.0186681	0.012743	0.0120307	0.0144118	0.0140054	0.0136037	0.0168134	0.0222447	0.0162238	0.0168453	0.020244	0.0196832	0.0190889	0.0163894	0.0191771	0.0175632	0.0186188	0.0241974	0.017326	0.022866	0.0270873	0.0317265	0.029791	0.0605209	0.0959989	0.192086
