 	n	ω	ó	f	u	r	u	m	b	o	o	k	w	έ	ε	</S>
a	0.0171249	0.0111999	0.00905715	0.00962759	0.0141577	0.0250509	0.0291471	0.0278462	0.0463115	0.0610164	0.186263	0.0926412	0.131204	0.144861	0.116575	0.0779157
combien	0.145578	0.117478	0.0790088	0.0276124	0.0167511	0.0221275	0.0228646	0.0308085	0.0489047	0.0527227	0.0847687	0.0721309	0.103458	0.0883786	0.0560469	0.0313616
tu	0.11509	0.10884	0.0652313	0.0514616	0.0233894	0.0149009	0.0172673	0.0163893	0.0268672	0.0293046	0.0328825	0.0432485	0.0673214	0.185967	0.12436	0.0774791
as	0.126611	0.0711997	0.0547711	0.0522522	0.043778	0.0297499	0.0228019	0.0316424	0.0413889	0.0626375	0.0731531	0.0628988	0.0384264	0.0986695	0.0778253	0.112195
payé	0.0917965	0.109846	0.152575	0.127988	0.0460114	0.065495	0.0446837	0.033408	0.0335033	0.0249428	0.0209685	0.0382783	0.0559912	0.0395519	0.0314348	0.0835262
le	0.0530205	0.0395922	0.039633	0.0438695	0.033307	0.0225176	0.020545	0.0243795	0.0404733	0.0352211	0.0308364	0.0616326	0.0610478	0.0836152	0.140257	0.270052
passage	0.105077	0.128677	0.111269	0.0672764	0.0282995	0.0519699	0.0423312	0.0263235	0.0243042	0.0293231	0.0222414	0.0306341	0.0280536	0.0468356	0.0632123	0.194172
du	0.107577	0.0710192	0.056241	0.0560857	0.0362071	0.0203653	0.0228831	0.0221317	0.0316772	0.0331578	0.0383098	0.0737326	0.0713512	0.0850961	0.113953	0.160211
fleuve	0.183927	0.103766	0.0589006	0.0271765	0.0123207	0.0344056	0.0356007	0.0245955	0.031104	0.0285719	0.0228537	0.0449557	0.0410801	0.0833498	0.0867921	0.1806
</S>	0.0887309	0.058637	0.0608056	0.0699832	0.0461876	0.0392603	0.0374436	0.0289895	0.0466383	0.0297442	0.0263119	0.0712531	0.0832806	0.0827215	0.0833699	0.146643
