 	n	g	á	í	d	z	e	e	l	í	i	b	y	é	é	l	á	n	ω	n	d	z	á	á	n	ω	ó	d	z	e	o	b	ó	n	d	a	k	a	á	</S>
je	0.25036	0.210026	0.162777	0.111609	0.0385775	0.0175146	0.0119568	0.00841265	0.0124972	0.0113647	0.00718792	0.0057532	0.00509392	0.00444752	0.00552695	0.00532679	0.00559758	0.00665461	0.00635315	0.00462856	0.0046163	0.00494024	0.004609	0.00421417	0.00357464	0.00300814	0.00228715	0.00282256	0.00402674	0.00400346	0.00430529	0.00509604	0.006945	0.00758684	0.00764173	0.00808697	0.00734688	0.00709157	0.00852149	0.00761037
t'	0.0937705	0.0442244	0.0528139	0.0445446	0.0377777	0.0189942	0.0190732	0.0204646	0.0208852	0.0250188	0.0189156	0.0251561	0.0465775	0.0607742	0.0483978	0.0730904	0.0372078	0.0184464	0.0188015	0.0111216	0.00965539	0.00768618	0.0196761	0.0205175	0.0328129	0.0375252	0.0312844	0.0264557	0.00665794	0.00650903	0.00295238	0.0031371	0.0019842	0.00517731	0.00448998	0.0127318	0.00664428	0.00743208	0.00705371	0.013561
appellais	0.0669026	0.0315908	0.0242306	0.0182116	0.0153367	0.0260574	0.0117529	0.00642293	0.00615617	0.00783142	0.008526	0.00457992	0.00401924	0.00425139	0.00660075	0.0155786	0.0201384	0.0118379	0.0167534	0.0176619	0.00732248	0.0216897	0.0256226	0.0305507	0.0371493	0.0372798	0.0604869	0.0819629	0.0775859	0.0699514	0.0328317	0.0603604	0.0260581	0.0246569	0.0155066	0.0150546	0.009439	0.0124456	0.0122758	0.017329
à	0.0598113	0.0186978	0.0199601	0.0289176	0.0284438	0.0193387	0.014581	0.00761225	0.0105478	0.0143045	0.0184787	0.0129897	0.0119297	0.00957955	0.0131887	0.016414	0.0171116	0.0198281	0.0264017	0.0425211	0.0508346	0.0495869	0.0476305	0.0429396	0.0450795	0.0365044	0.0620671	0.0443771	0.036804	0.0289155	0.0238607	0.0224481	0.00840961	0.00581907	0.00595844	0.00642935	0.00756719	0.00863495	0.0119406	0.0435348
haute	0.01154	0.00321713	0.00218042	0.00210409	0.00298399	0.0088014	0.00919874	0.00890423	0.00898772	0.010593	0.00957593	0.00553282	0.0054366	0.00581434	0.00876272	0.0145725	0.0173197	0.0162957	0.0238783	0.0272015	0.0229579	0.0278819	0.0287377	0.0407426	0.0442761	0.0505223	0.0684987	0.078669	0.0677602	0.0537444	0.0549463	0.0596888	0.0448452	0.0276043	0.0227108	0.0158083	0.0195643	0.0152623	0.025345	0.0275331
voix	0.00680582	0.00247158	0.00203852	0.00418271	0.0035866	0.00807382	0.00917186	0.0110508	0.0110089	0.0129017	0.00857172	0.00639385	0.00538233	0.00672095	0.0103081	0.0133783	0.0194802	0.0180802	0.0294616	0.0292791	0.0364085	0.0308815	0.0267029	0.0358169	0.0294354	0.0297	0.0468573	0.0779031	0.0501085	0.0603381	0.043616	0.0511493	0.0485434	0.0333833	0.0270428	0.0163378	0.0170327	0.0237473	0.0360337	0.0606126
mais	0.00438271	0.00238108	0.00208399	0.00489585	0.00297622	0.00486654	0.00467911	0.0055806	0.00533792	0.00643097	0.00655625	0.00681978	0.00607101	0.00754425	0.0104266	0.0105283	0.0183783	0.0188878	0.0303227	0.0350796	0.0431085	0.0421485	0.0480524	0.0503499	0.04656	0.0495264	0.0891002	0.0709805	0.0526358	0.0480463	0.0431225	0.0432674	0.0295832	0.0184391	0.0162522	0.00981208	0.0160667	0.0168946	0.0322641	0.03956
tu	0.0207712	0.0101222	0.0107314	0.0239787	0.01183	0.0164128	0.0116251	0.0134712	0.0126111	0.0115031	0.00804711	0.00799828	0.00739298	0.00796187	0.0106761	0.0112357	0.0176238	0.0184926	0.0366215	0.0329921	0.023409	0.0233411	0.0332453	0.037801	0.0260756	0.0254857	0.0246227	0.0265093	0.0285589	0.0384948	0.0245987	0.0349581	0.0303571	0.0250578	0.0238107	0.0222287	0.023825	0.0377379	0.0800464	0.107737
ne	0.0405455	0.0173502	0.0217066	0.031894	0.015685	0.0160813	0.0197354	0.0190023	0.0149593	0.0159682	0.0110093	0.00999578	0.00958375	0.0096195	0.0108967	0.0103111	0.0109233	0.0118168	0.0221852	0.0293824	0.0307232	0.0364975	0.0309326	0.0308061	0.0251553	0.0282161	0.0339522	0.031577	0.0277596	0.0330142	0.0201827	0.0231638	0.0288695	0.0335777	0.0352623	0.0344872	0.0340971	0.0376819	0.0430307	0.0523616
m'	0.0409382	0.0433535	0.0453865	0.0469099	0.019208	0.0125201	0.00797364	0.00712494	0.0051163	0.00791081	0.00746965	0.00948964	0.00773367	0.0101199	0.0112458	0.0103812	0.0106395	0.0157312	0.0205539	0.0508498	0.0492127	0.0568551	0.0458845	0.0447174	0.0453114	0.0377568	0.0568879	0.0438664	0.0361815	0.0216038	0.0133126	0.00999999	0.00902254	0.0101622	0.0100376	0.0163411	0.0115753	0.0264527	0.0225549	0.0416077
