 	m	ó	m	e	e	s	á	m	w	á	n	a	y	a	n	ω	o	k	á	n	d	á	m	ú	</S>
fais	0.0191096	0.0215774	0.0160215	0.0134237	0.0148415	0.0226442	0.0473218	0.0439468	0.0576322	0.0574822	0.0675299	0.0481106	0.0623191	0.0728017	0.0507757	0.0354268	0.0217428	0.019856	0.013289	0.0249006	0.0274895	0.0420878	0.0587463	0.0728883	0.0680351
essayer	0.206946	0.0918779	0.0388252	0.0220069	0.0151558	0.0242446	0.0715514	0.075793	0.0701759	0.0344925	0.0465484	0.0199875	0.040825	0.0401696	0.0258164	0.0220126	0.0245014	0.0263517	0.0274489	0.021345	0.0192616	0.0135374	0.00783527	0.00665652	0.00663388
cet	0.0994265	0.0766494	0.0704173	0.078929	0.0520176	0.0950581	0.0788613	0.0704667	0.0369299	0.0200676	0.0266933	0.0133408	0.0143524	0.0194579	0.0268918	0.024191	0.0264029	0.0204373	0.0214521	0.0237048	0.0220996	0.0208444	0.0255492	0.020918	0.014841
habit	0.0976217	0.0614326	0.0715311	0.0484798	0.0532829	0.0797854	0.0389167	0.0448192	0.0237114	0.0138885	0.0168989	0.010721	0.0436694	0.0282157	0.0370578	0.0280913	0.0343653	0.0212171	0.0296281	0.0367461	0.0413164	0.0399798	0.0302792	0.0282439	0.0401004
à	0.216917	0.131977	0.0737975	0.0248332	0.0174611	0.0235332	0.0249591	0.022121	0.0140959	0.0126823	0.0125103	0.00832643	0.0112251	0.0150885	0.0265346	0.023801	0.0375031	0.0207226	0.0191245	0.0219966	0.0226128	0.0324747	0.046101	0.0581275	0.0814744
ton	0.0490908	0.0560766	0.0403249	0.0265718	0.0319276	0.0480327	0.0503993	0.0534276	0.0475506	0.0515595	0.0471461	0.0342631	0.025279	0.0325758	0.0302908	0.0268877	0.0276925	0.0233123	0.0207678	0.0248501	0.0267214	0.0317818	0.0393049	0.0494629	0.104702
enfant	0.0481091	0.081274	0.0829515	0.0654266	0.0357778	0.0347759	0.0243483	0.0274586	0.0178635	0.0136108	0.0143426	0.0123456	0.00924293	0.0105384	0.0101754	0.012546	0.022683	0.0253905	0.0255761	0.0372973	0.042893	0.0433612	0.0641369	0.0617388	0.176136
s'	0.0766347	0.050939	0.0377655	0.0307636	0.0201153	0.0200455	0.0207654	0.0193026	0.0177786	0.0170563	0.0161239	0.0150479	0.0192054	0.0252201	0.0288777	0.0338584	0.0313763	0.0409112	0.0239609	0.0461766	0.0547483	0.0650055	0.0915006	0.0918034	0.105017
il	0.22719	0.0778484	0.0398261	0.0331542	0.0181642	0.0137363	0.00692341	0.00571632	0.00442178	0.00513811	0.00339391	0.00366107	0.00389208	0.00525651	0.0136988	0.0221284	0.0358796	0.0348351	0.0336126	0.0623815	0.0684258	0.0695501	0.0629631	0.0653226	0.0828799
te	0.174229	0.0471102	0.0215763	0.0156601	0.00990425	0.00741158	0.00331764	0.00263217	0.00316219	0.00325344	0.00281699	0.00280693	0.00297647	0.00338165	0.0121803	0.0186144	0.0471708	0.0618355	0.0799531	0.0909302	0.0765985	0.0739836	0.068947	0.0753516	0.0941966
plait	0.157432	0.0421523	0.0179465	0.0109836	0.00698521	0.00524488	0.0030349	0.00262388	0.00328418	0.00415542	0.00354309	0.00349887	0.00323142	0.00400444	0.0110379	0.0155015	0.0320698	0.0563893	0.0893229	0.0919963	0.0776712	0.0805125	0.0728221	0.0806713	0.123885
</S>	0.264807	0.0963922	0.040978	0.0219038	0.0171508	0.0155329	0.00546019	0.00544483	0.0035134	0.00487745	0.00351382	0.00390662	0.00575498	0.00617665	0.0147384	0.0240419	0.0421986	0.0348461	0.0426636	0.0468131	0.0498981	0.0566825	0.0507094	0.0487143	0.0932809
