 	a	b	i	a	b	á	n	d	z	é	s	i	b	ó	b	á	a	d	z	ε	έ	w	a	t	s	í	n	a	w	a	a	d	í	e	y	e	b	h	é	</S>
ses	0.1008	0.0614691	0.0219926	0.0213205	0.0234012	0.0380961	0.0248382	0.0350701	0.0350337	0.0299889	0.0228007	0.0227533	0.0250513	0.0312021	0.0297344	0.0498876	0.0376174	0.0332216	0.0346535	0.0187355	0.0164422	0.0192871	0.00883585	0.0139342	0.0322024	0.0169611	0.0181666	0.0113017	0.0059103	0.0164476	0.00641562	0.0173387	0.00940186	0.0141899	0.0221528	0.0170138	0.0137187	0.0171183	0.0121203	0.0133727
copains	0.0473967	0.0534635	0.111868	0.101333	0.156557	0.0883848	0.0588971	0.0389149	0.0246389	0.0168859	0.0156801	0.0178628	0.0140529	0.0110573	0.0163291	0.0142428	0.018452	0.0112924	0.0111631	0.0110724	0.00751131	0.00618932	0.0160552	0.00570358	0.00804752	0.010395	0.00667957	0.00494838	0.00270629	0.00355014	0.00661416	0.00396761	0.0103348	0.0169592	0.0121413	0.00907666	0.0113466	0.0086025	0.00474679	0.00487988
se	0.0822647	0.0677173	0.0663927	0.0506519	0.0332566	0.03546	0.032369	0.0497961	0.051956	0.0499569	0.0474919	0.0471963	0.0400115	0.0547499	0.0455338	0.0332512	0.0214557	0.0165301	0.0138949	0.00906137	0.0158481	0.0160715	0.00518614	0.00289176	0.00613301	0.00409628	0.00629344	0.00745055	0.0119503	0.00506246	0.00967707	0.00878055	0.00672543	0.0104956	0.00815385	0.00720786	0.00453072	0.00349359	0.0053889	0.0055649
moquent	0.0142447	0.0232629	0.0298391	0.029902	0.0295221	0.0305888	0.0399017	0.0485515	0.0584209	0.0621482	0.0567772	0.0728948	0.0624869	0.063306	0.0453837	0.0531014	0.0315392	0.035425	0.0226666	0.023787	0.0379315	0.0110265	0.0145039	0.00662576	0.0132796	0.00412956	0.00504399	0.00641709	0.00146163	0.0018344	0.0088048	0.00727119	0.00723373	0.00388435	0.00466838	0.00392964	0.00336404	0.00599714	0.00567317	0.0131698
de	0.0410569	0.0352188	0.0329489	0.0360278	0.0382706	0.0392101	0.0389767	0.0284996	0.0315214	0.0298109	0.0279259	0.0277262	0.0418097	0.0299786	0.0234243	0.0267539	0.0309764	0.0275954	0.0412499	0.0199552	0.0270673	0.0123104	0.0158522	0.0118332	0.0179303	0.00988391	0.00912335	0.0106397	0.00298286	0.00792642	0.0127192	0.0141537	0.0162398	0.0243128	0.0224551	0.0221132	0.0218904	0.0192136	0.0265216	0.0458939
lui	0.0612089	0.0380287	0.0288258	0.0347381	0.0305838	0.0292735	0.0391691	0.0355864	0.0382354	0.0278007	0.0326825	0.0318673	0.0267373	0.0402629	0.0212325	0.0247868	0.0261286	0.0165054	0.0265916	0.011682	0.0275561	0.011861	0.00719887	0.00712301	0.0202063	0.00506303	0.00727203	0.00772564	0.00685867	0.00932191	0.018015	0.0212707	0.0184758	0.0270988	0.0269446	0.025991	0.0246638	0.0217496	0.0305941	0.0530829
parce	0.0217881	0.0159486	0.0159251	0.0189479	0.0249408	0.0264494	0.0322328	0.0304018	0.0314033	0.0265027	0.0253062	0.02614	0.023758	0.0274923	0.0154739	0.0218598	0.0272774	0.031668	0.03605	0.0192585	0.0480722	0.0182365	0.0146428	0.0186815	0.0234483	0.00908327	0.0133096	0.0132703	0.00432878	0.00993863	0.0130412	0.0175942	0.0224812	0.0211673	0.0281062	0.026189	0.0259484	0.0407574	0.0530003	0.0798786
qu'	0.0359906	0.0174769	0.0148548	0.0199457	0.0194864	0.0221366	0.0309083	0.0305598	0.0316595	0.0282798	0.0364841	0.0334554	0.0523204	0.0450798	0.0438709	0.0414586	0.0298644	0.03723	0.0411397	0.0242492	0.0339688	0.02609	0.0175346	0.0204317	0.0163077	0.0134628	0.011978	0.0183337	0.0109365	0.0075705	0.00672198	0.0093299	0.00993201	0.010469	0.0144105	0.0135272	0.0142513	0.0256951	0.0318347	0.050763
il	0.0462355	0.0314295	0.0352298	0.0435226	0.0406473	0.0367413	0.036995	0.0292092	0.0204785	0.0180764	0.0151603	0.0143358	0.017848	0.0179594	0.013387	0.0170947	0.0139845	0.01908	0.0191343	0.012543	0.0185346	0.0104217	0.0149696	0.0212071	0.0179981	0.0179087	0.0107865	0.0153202	0.00769298	0.0101687	0.0143761	0.0214575	0.0197618	0.0256705	0.0305651	0.0298056	0.025675	0.0329201	0.0406195	0.115048
est	0.104932	0.0490052	0.0428656	0.0433251	0.0287948	0.0185611	0.0223095	0.0156982	0.0150566	0.0132041	0.0124922	0.0131915	0.014359	0.0122592	0.0161971	0.0120601	0.0191133	0.0203629	0.0180113	0.0158318	0.0270086	0.0123761	0.0393854	0.0372939	0.0245303	0.0109937	0.00638644	0.00990302	0.00422167	0.00497493	0.0067206	0.00654688	0.0126157	0.0188052	0.0261404	0.0319645	0.0313057	0.0396935	0.0428293	0.0986735
encore	0.0475382	0.0257274	0.0236437	0.020959	0.0212319	0.0207673	0.0260955	0.0240696	0.0211124	0.0229804	0.0168725	0.0200278	0.0164726	0.0136353	0.0139321	0.0141145	0.0392126	0.0238103	0.0258155	0.0214296	0.0329572	0.0119039	0.0292424	0.0273105	0.0309162	0.00967439	0.0092259	0.00978052	0.00155715	0.0054128	0.00506955	0.00405397	0.0108433	0.0108007	0.0184969	0.0129568	0.0199496	0.0584364	0.0657443	0.166219
puceau	0.0278484	0.0281672	0.0301917	0.0271226	0.0265713	0.0228041	0.0264243	0.0226468	0.0151216	0.0133991	0.00911222	0.0103225	0.00715627	0.0100695	0.00628977	0.00873566	0.0138959	0.0151339	0.0155446	0.0117863	0.0475995	0.0265798	0.00997486	0.00987298	0.0107173	0.00537596	0.00692179	0.0188646	0.00478813	0.0100899	0.0268402	0.0140201	0.0364737	0.0294745	0.0369209	0.0394885	0.0354387	0.0639298	0.085987	0.132298
</S>	0.0312762	0.0257278	0.0261312	0.0257098	0.0259927	0.0244926	0.0256941	0.0198795	0.0131564	0.0122651	0.00929841	0.009895	0.00708915	0.00924823	0.00479093	0.00598587	0.0123232	0.0122433	0.0127339	0.011035	0.0299328	0.0188688	0.0109745	0.0103618	0.0222487	0.00653168	0.00760968	0.0110881	0.0024833	0.00907157	0.0202137	0.0154146	0.0336174	0.0293102	0.047946	0.0376807	0.0394312	0.0640958	0.112765	0.145386
